! 12C range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0547691 	0.001000	0.0547691 	0.001000	0.0559689 	0.001000	0.0559689 	0.001000	0.0559673 	0.001000	0         	0.001000	0         	0.001000	0.000544796	0.001000	0.000958163	0.001000	0.000442719	
0.002000	0.112415  	0.002000	0.109538  	0.002000	0.111938  	0.002000	0.111938  	0.002000	0.111935  	0.002000	0.00554682	0.002000	0.00554682	0.002000	0.00159533	0.002000	0.00271043	0.002000	0.00136725	
0.005000	0.266728  	0.005000	0.25615   	0.005000	0.262365  	0.005000	0.262365  	0.005000	0.262359  	0.005000	0.00670197	0.005000	0.00670197	0.005000	0.00593624	0.005000	0.00970514	0.005000	0.0053539 	
0.008000	0.40156   	0.008000	0.384254  	0.008000	0.393939  	0.008000	0.393939  	0.008000	0.393933  	0.008000	0.00675494	0.008000	0.00675494	0.008000	0.011109  	0.008000	0.0178396 	0.008000	0.0102345 	
0.010000	0.483964  	0.010000	0.462546  	0.010000	0.474312  	0.010000	0.474312  	0.010000	0.474305  	0.010000	0.00694125	0.010000	0.00694125	0.010000	0.0147907 	0.010000	0.0235603 	0.010000	0.0137517 	
0.015000	0.671367  	0.015000	0.640596  	0.015000	0.657312  	0.015000	0.657312  	0.015000	0.657304  	0.015000	0.00789398	0.015000	0.00789398	0.015000	0.0244563 	0.015000	0.0384125 	0.015000	0.0230878 	
0.020000	0.840478  	0.020000	0.801268  	0.020000	0.821035  	0.020000	0.821035  	0.020000	0.821027  	0.020000	0.00912613	0.020000	0.00912613	0.020000	0.034452  	0.020000	0.0536046 	0.020000	0.0328442 	
0.025000	0.994953  	0.025000	0.948034  	0.025000	0.969432  	0.025000	0.969432  	0.025000	0.969424  	0.025000	0.0103368 	0.025000	0.0103368 	0.025000	0.0444904 	0.025000	0.0687519 	0.025000	0.0427098 	
0.030000	1.13638   	0.030000	1.0824    	0.030000	1.10534   	0.030000	1.10534   	0.030000	1.10533   	0.030000	0.011433  	0.030000	0.011433  	0.030000	0.0542763 	0.030000	0.0833868 	0.030000	0.0525306 	
0.035000	1.26748   	0.035000	1.20697   	0.035000	1.23104   	0.035000	1.23104   	0.035000	1.23103   	0.035000	0.012404  	0.035000	0.012404  	0.035000	0.0637795 	0.035000	0.0974928 	0.035000	0.061095  	
0.040000	1.39029   	0.040000	1.32364   	0.040000	1.34834   	0.040000	1.34834   	0.040000	1.34833   	0.040000	0.0132635 	0.040000	0.0132635 	0.040000	0.0726488 	0.040000	0.110591  	0.040000	0.0679502 	
0.045000	1.5063    	0.045000	1.43386   	0.045000	1.45865   	0.045000	1.45865   	0.045000	1.45864   	0.045000	0.0140288 	0.045000	0.0140288 	0.045000	0.0799677 	0.045000	0.121368  	0.045000	0.0735949 	
0.050000	1.6167    	0.050000	1.53875   	0.050000	1.56307   	0.050000	1.56307   	0.050000	1.56306   	0.050000	0.0147155 	0.050000	0.0144815 	0.050000	0.0860257 	0.050000	0.130269  	0.050000	0.0784998 	
0.055000	1.72192   	0.055000	1.63872   	0.055000	1.66246   	0.055000	1.66246   	0.055000	1.66245   	0.055000	0.0153371 	0.055000	0.0147649 	0.055000	0.0913019 	0.055000	0.138002  	0.055000	0.0827442 	
0.060000	1.82224   	0.060000	1.73403   	0.060000	1.75754   	0.060000	1.75754   	0.060000	1.75753   	0.060000	0.0159045 	0.060000	0.015027  	0.060000	0.0959504 	0.060000	0.144797  	0.060000	0.0865053 	
0.070000	2.01088   	0.070000	1.91326   	0.070000	1.93701   	0.070000	1.93701   	0.070000	1.937     	0.070000	0.0169107 	0.070000	0.0155002 	0.070000	0.103834  	0.070000	0.156282  	0.070000	0.0929905 	
0.080000	2.18706   	0.080000	2.08065   	0.080000	2.10506   	0.080000	2.10506   	0.080000	2.10505   	0.080000	0.0177875 	0.080000	0.0159222 	0.080000	0.110393  	0.080000	0.165793  	0.080000	0.098429  	
0.090000	2.35392   	0.090000	2.23919   	0.090000	2.2643    	0.090000	2.2643    	0.090000	2.26429   	0.090000	0.0185705 	0.090000	0.0163074 	0.090000	0.116023  	0.090000	0.173921  	0.090000	0.103116  	
0.100000	2.51347   	0.100000	2.39077   	0.100000	2.41665   	0.100000	2.41665   	0.100000	2.41664   	0.100000	0.0192846 	0.100000	0.0166659 	0.100000	0.120979  	0.100000	0.181046  	0.100000	0.107276  	
0.120000	2.81654   	0.120000	2.67871   	0.120000	2.70617   	0.120000	2.70617   	0.120000	2.70616   	0.120000	0.0205718 	0.120000	0.0173295 	0.120000	0.129395  	0.120000	0.19307   	0.120000	0.114496  	
0.140000	3.10544   	0.140000	2.9532    	0.140000	2.98185   	0.140000	2.98185   	0.140000	2.98184   	0.140000	0.021741  	0.140000	0.0179519 	0.140000	0.136564  	0.140000	0.203229  	0.140000	0.120643  	
0.160000	3.38602   	0.160000	3.21978   	0.160000	3.24892   	0.160000	3.24892   	0.160000	3.24891   	0.160000	0.0228448 	0.160000	0.0185563 	0.160000	0.142935  	0.160000	0.212191  	0.160000	0.126103  	
0.180000	3.66278   	0.180000	3.48273   	0.180000	3.51085   	0.180000	3.51085   	0.180000	3.51084   	0.180000	0.0239156 	0.180000	0.0191572 	0.180000	0.148633  	0.180000	0.220141  	0.180000	0.131169  	
0.200000	3.93811   	0.200000	3.74431   	0.200000	3.77001   	0.200000	3.77001   	0.200000	3.77      	0.200000	0.0249739 	0.200000	0.0197642 	0.200000	0.15399   	0.200000	0.227568  	0.200000	0.135836  	
0.250000	4.62932   	0.250000	4.40103   	0.250000	4.41542   	0.250000	4.41542   	0.250000	4.41541   	0.250000	0.0276432 	0.250000	0.0213462 	0.250000	0.166135  	0.250000	0.244207  	0.250000	0.146701  	
0.300000	5.32824   	0.300000	5.06507   	0.300000	5.06762   	0.300000	5.06762   	0.300000	5.06761   	0.300000	0.0304214 	0.300000	0.0230683 	0.300000	0.177327  	0.300000	0.25932   	0.300000	0.15678   	
0.350000	6.02664   	0.350000	5.72862   	0.350000	5.73291   	0.350000	5.73291   	0.350000	5.7329    	0.350000	0.0333443 	0.350000	0.025072  	0.350000	0.187894  	0.350000	0.273402  	0.350000	0.166465  	
0.400000	6.72884   	0.400000	6.39578   	0.400000	6.41367   	0.400000	6.41367   	0.400000	6.41365   	0.400000	0.0364135 	0.400000	0.0273364 	0.400000	0.198092  	0.400000	0.286838  	0.400000	0.175949  	
0.450000	7.43792   	0.450000	7.06947   	0.450000	7.10668   	0.450000	7.10668   	0.450000	7.10667   	0.450000	0.0395664 	0.450000	0.0297643 	0.450000	0.208068  	0.450000	0.299867  	0.450000	0.185186  	
0.500000	8.15281   	0.500000	7.74869   	0.500000	7.81098   	0.500000	7.81098   	0.500000	7.81097   	0.500000	0.04278   	0.500000	0.0323019 	0.500000	0.217739  	0.500000	0.312373  	0.500000	0.19434   	
0.600000	9.61391   	0.600000	9.13687   	0.600000	9.25677   	0.600000	9.25677   	0.600000	9.25675   	0.600000	0.0494095 	0.600000	0.037634  	0.600000	0.236733  	0.600000	0.336671  	0.600000	0.212341  	
0.700000	11.1367   	0.700000	10.5837   	0.700000	10.7562   	0.700000	10.7562   	0.700000	10.7562   	0.700000	0.0563376 	0.700000	0.0432484 	0.700000	0.255415  	0.700000	0.360256  	0.700000	0.230252  	
0.800000	12.7225   	0.800000	12.0904   	0.800000	12.3132   	0.800000	12.3132   	0.800000	12.3132   	0.800000	0.0635978 	0.800000	0.0491176 	0.800000	0.27405   	0.800000	0.383513  	0.800000	0.248257  	
0.900000	14.3756   	0.900000	13.6609   	0.900000	13.9276   	0.900000	13.9276   	0.900000	13.9276   	0.900000	0.0711734 	0.900000	0.0551998 	0.900000	0.2927    	0.900000	0.406569  	0.900000	0.266383  	
1.000000	16.0972   	1.000000	15.2966   	1.000000	15.5991   	1.000000	15.5991   	1.000000	15.5991   	1.000000	0.0790557 	1.000000	0.0614723 	1.000000	0.311472  	1.000000	0.429583  	1.000000	0.284731  	
1.250000	20.6506   	1.250000	19.6228   	1.250000	20.0284   	1.250000	20.0284   	1.250000	20.0284   	1.250000	0.100104  	1.250000	0.0779368 	1.250000	0.358574  	1.250000	0.486469  	1.250000	0.331641  	
1.500000	25.5807   	1.500000	24.3068   	1.500000	24.8344   	1.500000	24.8344   	1.500000	24.8344   	1.500000	0.123329  	1.500000	0.0956743 	1.500000	0.406683  	1.500000	0.543619  	1.500000	0.374907  	
1.750000	30.9028   	1.750000	29.3633   	1.750000	30.0174   	1.750000	30.0174   	1.750000	30.0173   	1.750000	0.148721  	1.750000	0.114647  	1.750000	0.455562  	1.750000	0.60105   	1.750000	0.409546  	
2.000000	36.6241   	2.000000	34.7991   	2.000000	35.5717   	2.000000	35.5717   	2.000000	35.5717   	2.000000	0.17622   	2.000000	0.134795  	2.000000	0.493866  	2.000000	0.645131  	2.000000	0.446232  	
2.250000	42.7889   	2.250000	40.6563   	2.250000	41.4952   	2.250000	41.4952   	2.250000	41.4952   	2.250000	0.205821  	2.250000	0.156102  	2.250000	0.534401  	2.250000	0.691758  	2.250000	0.485014  	
2.500000	49.4038   	2.500000	46.944    	2.500000	47.7869   	2.500000	47.7869   	2.500000	47.7869   	2.500000	0.23754   	2.500000	0.178567  	2.500000	0.577179  	2.500000	0.740885  	2.500000	0.525927  	
3.000000	63.1901   	3.000000	60.7704   	3.000000	61.4729   	3.000000	61.4729   	3.000000	61.4729   	3.000000	0.307414  	3.000000	0.226986  	3.000000	0.669509  	3.000000	0.846501  	3.000000	0.614246  	
3.500000	78.5586   	3.500000	76.2269   	3.500000	76.6269   	3.500000	76.6269   	3.500000	76.6268   	3.500000	0.385984  	3.500000	0.2801    	3.500000	0.770879  	3.500000	0.961734  	3.500000	0.711298  	
4.000000	95.4878   	4.000000	93.2896   	4.000000	93.2447   	4.000000	93.2447   	4.000000	93.2446   	4.000000	0.473353  	4.000000	0.337932  	4.000000	0.881302  	4.000000	1.08641   	4.000000	0.817149  	
4.500000	113.958   	4.500000	111.937   	4.500000	111.321   	4.500000	111.321   	4.500000	111.321   	4.500000	0.569579  	4.500000	0.400446  	4.500000	1.00077   	4.500000	1.22038   	4.500000	0.931822  	
5.000000	133.95    	5.000000	132.155   	5.000000	130.85    	5.000000	130.85    	5.000000	130.85    	5.000000	0.674699  	5.000000	0.467601  	5.000000	1.12926   	5.000000	1.36353   	5.000000	1.05533   	
