! 1H energy loss (dE/dX) in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0210765 	0.001000	0.0275445 	0.001000	0.0359915 	0.001000	0.0359915 	0.001000	0.0359808 	0.001000	0.0241814 	0.001000	0.00336317	
0.002000	0.0256205 	0.002000	0.0332072 	0.002000	0.0411883 	0.002000	0.0411883 	0.002000	0.041182  	0.002000	0.0308206 	0.002000	0.00238653	
0.005000	0.0340437 	0.005000	0.0438488 	0.005000	0.0501657 	0.005000	0.0501657 	0.005000	0.0501629 	0.005000	0.0424737 	0.005000	0.00137511	
0.008000	0.039721  	0.008000	0.0510721 	0.008000	0.0558778 	0.008000	0.0558778 	0.008000	0.055876  	0.008000	0.0500683 	0.008000	0.00100388	
0.010000	0.0427921 	0.010000	0.0549943 	0.010000	0.0588811 	0.010000	0.0588811 	0.010000	0.0588796 	0.010000	0.0541354 	0.010000	0.000858916	
0.015000	0.0516646 	0.015000	0.0627226 	0.015000	0.0648489 	0.015000	0.0648489 	0.015000	0.064852  	0.015000	0.0620858 	0.015000	0.00063681	
0.020000	0.0589238 	0.020000	0.068908  	0.020000	0.0695145 	0.020000	0.0695145 	0.020000	0.0695138 	0.020000	0.0683938 	0.020000	0.000514201	
0.025000	0.0649239 	0.025000	0.0740282 	0.025000	0.073393  	0.025000	0.073393  	0.025000	0.0733925 	0.025000	0.0735942 	0.025000	0.000434069	
0.030000	0.0698519 	0.030000	0.0783346 	0.030000	0.0767645 	0.030000	0.0767645 	0.030000	0.076764  	0.030000	0.0779575 	0.030000	0.000377185	
0.035000	0.0738304 	0.035000	0.0819786 	0.035000	0.0795715 	0.035000	0.0795715 	0.035000	0.0795711 	0.035000	0.0816441 	0.035000	0.000334506	
0.040000	0.0769555 	0.040000	0.0850611 	0.040000	0.0819123 	0.040000	0.0819123 	0.040000	0.081912  	0.040000	0.0847599 	0.040000	0.000301186	
0.045000	0.0793134 	0.045000	0.0876554 	0.045000	0.0838579 	0.045000	0.0838579 	0.045000	0.0838576 	0.045000	0.0873811 	0.045000	0.000274379	
0.050000	0.0809869 	0.050000	0.089818  	0.050000	0.0854623 	0.050000	0.0854623 	0.050000	0.0854621 	0.050000	0.0895657 	0.050000	0.000252302	
0.055000	0.0820574 	0.055000	0.0915946 	0.055000	0.0867687 	0.055000	0.0867687 	0.055000	0.0867685 	0.055000	0.0913608 	0.055000	0.000233774	
0.060000	0.0826051 	0.060000	0.0930243 	0.060000	0.0878125 	0.060000	0.0878125 	0.060000	0.0878123 	0.060000	0.0928063 	0.060000	0.000217983	
0.070000	0.0824373 	0.070000	0.0949764 	0.070000	0.0892283 	0.070000	0.0892283 	0.070000	0.0892281 	0.070000	0.094784  	0.070000	0.000192445	
0.080000	0.0810456 	0.080000	0.0959109 	0.080000	0.0899053 	0.080000	0.0899053 	0.080000	0.0899052 	0.080000	0.0957383 	0.080000	0.000172635	
0.090000	0.0788927 	0.090000	0.0960279 	0.090000	0.0899962 	0.090000	0.0899962 	0.090000	0.0899961 	0.090000	0.0958711 	0.090000	0.000156783	
0.100000	0.0763292 	0.100000	0.0954997 	0.100000	0.0896233 	0.100000	0.0896233 	0.100000	0.0896232 	0.100000	0.0953559 	0.100000	0.000143785	
0.120000	0.0708723 	0.120000	0.0930756 	0.120000	0.0878685 	0.120000	0.0878685 	0.120000	0.0878684 	0.120000	0.092952  	0.120000	0.000123686	
0.140000	0.0657542 	0.140000	0.0895545 	0.140000	0.0852451 	0.140000	0.0852451 	0.140000	0.0852451 	0.140000	0.0894457 	0.140000	0.000108818	
0.160000	0.0613109 	0.160000	0.0855452 	0.160000	0.0821592 	0.160000	0.0821592 	0.160000	0.0821591 	0.160000	0.0854479 	0.160000	9.7339e-05	
0.180000	0.0575567 	0.180000	0.0814242 	0.180000	0.0788787 	0.180000	0.0788787 	0.180000	0.0788787 	0.180000	0.081336  	0.180000	8.81883e-05	
0.200000	0.0543978 	0.200000	0.0774071 	0.200000	0.0755758 	0.200000	0.0755758 	0.200000	0.0755758 	0.200000	0.0773264 	0.200000	8.07096e-05	
0.250000	0.0483988 	0.250000	0.0684121 	0.250000	0.0678088 	0.250000	0.0678088 	0.250000	0.0678087 	0.250000	0.0683452 	0.250000	6.68385e-05	
0.300000	0.0441213 	0.300000	0.0611218 	0.300000	0.0611542 	0.300000	0.0611542 	0.300000	0.0611542 	0.300000	0.0610646 	0.300000	5.72448e-05	
0.350000	0.0408367 	0.350000	0.0553065 	0.350000	0.0556375 	0.350000	0.0556375 	0.350000	0.0556375 	0.350000	0.0552564 	0.350000	5.01875e-05	
0.400000	0.0381732 	0.400000	0.0506323 	0.400000	0.0510884 	0.400000	0.0510884 	0.400000	0.0510884 	0.400000	0.0505875 	0.400000	4.47633e-05	
0.450000	0.0359316 	0.450000	0.0468162 	0.450000	0.0473132 	0.450000	0.0473132 	0.450000	0.0473132 	0.450000	0.0467757 	0.450000	4.04555e-05	
0.500000	0.0339967 	0.500000	0.0436457 	0.500000	0.0441452 	0.500000	0.0441452 	0.500000	0.0441452 	0.500000	0.0436088 	0.500000	3.6946e-05	
0.600000	0.0307848 	0.600000	0.0386685 	0.600000	0.0391355 	0.600000	0.0391355 	0.600000	0.0391355 	0.600000	0.0386369 	0.600000	3.15614e-05	
0.700000	0.028196  	0.700000	0.0349106 	0.700000	0.0353417 	0.700000	0.0353417 	0.700000	0.0353417 	0.700000	0.034883  	0.700000	2.76129e-05	
0.800000	0.0260487 	0.800000	0.0319447 	0.800000	0.0323496 	0.800000	0.0323496 	0.800000	0.0323496 	0.800000	0.0319202 	0.800000	2.45859e-05	
0.900000	0.0242318 	0.900000	0.029525  	0.900000	0.029913  	0.900000	0.029913  	0.900000	0.029913  	0.900000	0.0295028 	0.900000	2.21871e-05	
1.000000	0.022671  	1.000000	0.0275009 	1.000000	0.0278786 	1.000000	0.0278786 	1.000000	0.0278786 	1.000000	0.0274806 	1.000000	2.02364e-05	
1.250000	0.0195772 	1.250000	0.023604  	1.250000	0.0239716 	1.250000	0.0239716 	1.250000	0.0239716 	1.250000	0.0235874 	1.250000	1.66433e-05	
1.500000	0.0172724 	1.500000	0.0207725 	1.500000	0.0211379 	1.500000	0.0211379 	1.500000	0.0211379 	1.500000	0.0207584 	1.500000	1.41786e-05	
1.750000	0.0154832 	1.750000	0.0186024 	1.750000	0.0189664 	1.750000	0.0189664 	1.750000	0.0189664 	1.750000	0.0185901 	1.750000	1.23772e-05	
2.000000	0.0140509 	2.000000	0.0168771 	2.000000	0.0172388 	2.000000	0.0172388 	2.000000	0.0172388 	2.000000	0.0168661 	2.000000	1.09999e-05	
2.250000	0.0128764 	2.250000	0.0154677 	2.250000	0.015826  	2.250000	0.015826  	2.250000	0.015826  	2.250000	0.0154577 	2.250000	9.91088e-06	
2.500000	0.0118434 	2.500000	0.0142919 	2.500000	0.0146459 	2.500000	0.0146459 	2.500000	0.0146459 	2.500000	0.0142829 	2.500000	9.02701e-06	
3.000000	0.0103414 	3.000000	0.0124364 	3.000000	0.0127797 	3.000000	0.0127797 	3.000000	0.0127797 	3.000000	0.0124288 	3.000000	7.67712e-06	
3.500000	0.00920149	3.500000	0.0110336 	3.500000	0.0113649 	3.500000	0.0113649 	3.500000	0.0113649 	3.500000	0.0110269 	3.500000	6.69244e-06	
4.000000	0.0083043 	4.000000	0.00993236	4.000000	0.0102516 	4.000000	0.0102516 	4.000000	0.0102516 	4.000000	0.00992642	4.000000	5.94081e-06	
4.500000	0.00757829	4.500000	0.00904305	4.500000	0.00935043	4.500000	0.00935043	4.500000	0.00935043	4.500000	0.0090377 	4.500000	5.34731e-06	
5.000000	0.00697778	5.000000	0.00830865	5.000000	0.00860474	5.000000	0.00860474	5.000000	0.00860474	5.000000	0.00830378	5.000000	4.86618e-06	
5.500000	0.00647218	5.500000	0.00769113	5.500000	0.00797658	5.500000	0.00797658	5.500000	0.00797658	5.500000	0.00768666	5.500000	4.46789e-06	
6.000000	0.0060402 	6.000000	0.0071641 	6.000000	0.00743958	6.000000	0.00743958	6.000000	0.00743959	6.000000	0.00715997	6.000000	4.13246e-06	
6.500000	0.00566653	6.500000	0.00670865	6.500000	0.0069748 	6.500000	0.0069748 	6.500000	0.00697481	6.500000	0.0067048 	6.500000	3.84591e-06	
7.000000	0.00533988	7.000000	0.00631083	7.000000	0.00656827	7.000000	0.00656827	7.000000	0.00656828	7.000000	0.00630723	7.000000	3.59813e-06	
7.500000	0.00505174	7.500000	0.00596014	7.500000	0.00620945	7.500000	0.00620945	7.500000	0.00620945	7.500000	0.00595676	7.500000	3.38166e-06	
8.000000	0.00479553	8.000000	0.00564851	8.000000	0.00589021	8.000000	0.00589021	8.000000	0.00589022	8.000000	0.00564532	8.000000	3.19083e-06	
8.500000	0.00456612	8.500000	0.00536964	8.500000	0.00560421	8.500000	0.00560421	8.500000	0.00560422	8.500000	0.00536661	8.500000	3.02128e-06	
9.000000	0.00435944	9.000000	0.0051185 	9.000000	0.0053464 	9.000000	0.0053464 	9.000000	0.0053464 	9.000000	0.00511563	9.000000	2.86959e-06	
9.500000	0.0041722 	9.500000	0.00489109	9.500000	0.00511272	9.500000	0.00511272	9.500000	0.00511272	9.500000	0.00488836	9.500000	2.73304e-06	
