! 2H range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0660871 	0.001000	0.0660871 	0.001000	0.0519895 	0.001000	0.0519895 	0.001000	0.0520005 	0.001000	0         	0.001000	0         	0.001000	0.000497321	0.001000	0.000858115	0.001000	0.000392633	
0.002000	0.134543  	0.002000	0.132174  	0.002000	0.103979  	0.002000	0.103979  	0.002000	0.104001  	0.002000	0.00496987	0.002000	0.00496987	0.002000	0.0014563 	0.002000	0.0024274 	0.002000	0.00121357	
0.005000	0.296021  	0.005000	0.288066  	0.005000	0.235326  	0.005000	0.235326  	0.005000	0.23536   	0.005000	0.00585761	0.005000	0.00585761	0.005000	0.00511408	0.005000	0.00823485	0.005000	0.00446622	
0.008000	0.427641  	0.008000	0.415132  	0.008000	0.349029  	0.008000	0.349029  	0.008000	0.349068  	0.008000	0.00589648	0.008000	0.00589648	0.008000	0.00939839	0.008000	0.0148663 	0.008000	0.00838847	
0.010000	0.506267  	0.010000	0.491038  	0.010000	0.419181  	0.010000	0.419181  	0.010000	0.419221  	0.010000	0.006037  	0.010000	0.006037  	0.010000	0.0124722 	0.010000	0.0195637 	0.010000	0.011241  	
0.015000	0.683212  	0.015000	0.661862  	0.015000	0.581659  	0.015000	0.581659  	0.015000	0.581703  	0.015000	0.00680049	0.015000	0.00680049	0.015000	0.0206909 	0.015000	0.0319712 	0.015000	0.0189621 	
0.020000	0.841531  	0.020000	0.814703  	0.020000	0.731397  	0.020000	0.731397  	0.020000	0.731443  	0.020000	0.00788124	0.020000	0.00788124	0.020000	0.0294859 	0.020000	0.0450812 	0.020000	0.0273267 	
0.025000	0.987357  	0.025000	0.955484  	0.025000	0.872227  	0.025000	0.872227  	0.025000	0.872274  	0.025000	0.00905576	0.025000	0.00905576	0.025000	0.0387144 	0.025000	0.0587071 	0.025000	0.0361856 	
0.030000	1.12418   	0.030000	1.08757   	0.030000	1.00625   	0.030000	1.00625   	0.030000	1.0063    	0.030000	0.0102272 	0.030000	0.0102272 	0.030000	0.0481375 	0.030000	0.0724693 	0.030000	0.0454442 	
0.035000	1.25422   	0.035000	1.21311   	0.035000	1.13499   	0.035000	1.13499   	0.035000	1.13504   	0.035000	0.0113638 	0.035000	0.0113638 	0.035000	0.0577286 	0.035000	0.0863466 	0.035000	0.053828  	
0.040000	1.37903   	0.040000	1.33361   	0.040000	1.25964   	0.040000	1.25964   	0.040000	1.25969   	0.040000	0.0124598 	0.040000	0.0124598 	0.040000	0.0670413 	0.040000	0.0997293 	0.040000	0.0608906 	
0.045000	1.49975   	0.045000	1.45015   	0.045000	1.38107   	0.045000	1.38107   	0.045000	1.38111   	0.045000	0.0135175 	0.045000	0.0135175 	0.045000	0.0750457 	0.045000	0.111179  	0.045000	0.0670497 	
0.050000	1.61723   	0.050000	1.56357   	0.050000	1.49995   	0.050000	1.49995   	0.050000	1.5       	0.050000	0.0145416 	0.050000	0.0152683 	0.050000	0.0820481 	0.050000	0.121153  	0.050000	0.0726475 	
0.055000	1.73217   	0.055000	1.67452   	0.055000	1.61683   	0.055000	1.61683   	0.055000	1.61688   	0.055000	0.0155376 	0.055000	0.0172093 	0.055000	0.0884199 	0.055000	0.13019   	0.055000	0.0777032 	
0.060000	1.84511   	0.060000	1.78356   	0.060000	1.73214   	0.060000	1.73214   	0.060000	1.73219   	0.060000	0.0165106 	0.060000	0.0189549 	0.060000	0.0942816 	0.060000	0.13847   	0.060000	0.0824182 	
0.070000	2.06678   	0.070000	1.99756   	0.070000	1.95944   	0.070000	1.95944   	0.070000	1.95949   	0.070000	0.0184061 	0.070000	0.0220635 	0.070000	0.10485   	0.070000	0.153314  	0.070000	0.0910548 	
0.080000	2.28513   	0.080000	2.20836   	0.080000	2.18411   	0.080000	2.18411   	0.080000	2.18416   	0.080000	0.0202606 	0.080000	0.0248494 	0.080000	0.114343  	0.080000	0.166552  	0.080000	0.0989194 	
0.090000	2.50233   	0.090000	2.41804   	0.090000	2.40786   	0.090000	2.40786   	0.090000	2.40791   	0.090000	0.0220997 	0.090000	0.0274409 	0.090000	0.123125  	0.090000	0.178719  	0.090000	0.10618   	
0.100000	2.72002   	0.100000	2.6282    	0.100000	2.63197   	0.100000	2.63197   	0.100000	2.63202   	0.100000	0.0239436 	0.100000	0.029914  	0.100000	0.131336  	0.100000	0.190022  	0.100000	0.113085  	
0.120000	3.16188   	0.120000	3.05477   	0.120000	3.08529   	0.120000	3.08529   	0.120000	3.08534   	0.120000	0.0277092 	0.120000	0.0346875 	0.120000	0.146692  	0.120000	0.210981  	0.120000	0.126129  	
0.140000	3.61844   	0.140000	3.49554   	0.140000	3.55029   	0.140000	3.55029   	0.140000	3.55035   	0.140000	0.0316587 	0.140000	0.0394185 	0.140000	0.161214  	0.140000	0.230594  	0.140000	0.138542  	
0.160000	4.09487   	0.160000	3.95548   	0.160000	4.03132   	0.160000	4.03132   	0.160000	4.03138   	0.160000	0.0358642 	0.160000	0.0442412 	0.160000	0.175335  	0.160000	0.249486  	0.160000	0.150648  	
0.180000	4.59464   	0.180000	4.43797   	0.180000	4.53149   	0.180000	4.53149   	0.180000	4.53154   	0.180000	0.0403788 	0.180000	0.0492391 	0.180000	0.189232  	0.180000	0.267909  	0.180000	0.162747  	
0.200000	5.12011   	0.200000	4.94526   	0.200000	5.05305   	0.200000	5.05305   	0.200000	5.05311   	0.200000	0.0452415 	0.200000	0.0544705 	0.200000	0.203203  	0.200000	0.286287  	0.200000	0.174885  	
0.250000	6.55505   	0.250000	6.33056   	0.250000	6.4603    	0.250000	6.4603    	0.250000	6.46035   	0.250000	0.0590864 	0.250000	0.0687898 	0.250000	0.238794  	0.250000	0.332497  	0.250000	0.206229  	
0.300000	8.17033   	0.300000	7.88995   	0.300000	8.02544   	0.300000	8.02544   	0.300000	8.02549   	0.300000	0.0754969 	0.300000	0.0851842 	0.300000	0.276329  	0.300000	0.38047   	0.300000	0.239533  	
0.350000	9.96659   	0.350000	9.62406   	0.350000	9.75341   	0.350000	9.75341   	0.350000	9.75346   	0.350000	0.0945043 	0.350000	0.104862  	0.350000	0.316178  	0.350000	0.430715  	0.350000	0.275188  	
0.400000	11.9397   	0.400000	11.5289   	0.400000	11.6438   	0.400000	11.6438   	0.400000	11.6438   	0.400000	0.116032  	0.400000	0.127523  	0.400000	0.358548  	0.400000	0.483514  	0.400000	0.313367  	
0.450000	14.0839   	0.450000	13.5989   	0.450000	13.6934   	0.450000	13.6934   	0.450000	13.6935   	0.450000	0.139958  	0.450000	0.152609  	0.450000	0.403581  	0.450000	0.539075  	0.450000	0.354059  	
0.500000	16.3928   	0.500000	15.8279   	0.500000	15.898    	0.500000	15.898    	0.500000	15.8981   	0.500000	0.166149  	0.500000	0.179722  	0.500000	0.451158  	0.500000	0.597236  	0.500000	0.397309  	
0.600000	21.4824   	0.600000	20.7414   	0.600000	20.7541   	0.600000	20.7541   	0.600000	20.7541   	0.600000	0.224842  	0.600000	0.238973  	0.600000	0.553913  	0.600000	0.721384  	0.600000	0.491018  	
0.700000	27.169    	0.700000	26.2313   	0.700000	26.1777   	0.700000	26.1777   	0.700000	26.1777   	0.700000	0.291298  	0.700000	0.303785  	0.700000	0.666274  	0.700000	0.855317  	0.700000	0.59407   	
0.800000	33.4226   	0.800000	32.2686   	0.800000	32.1404   	0.800000	32.1404   	0.800000	32.1405   	0.800000	0.364946  	0.800000	0.373319  	0.800000	0.787799  	0.800000	0.998507  	0.800000	0.706006  	
