! 2H energy loss (dE/dX) in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0218809 	0.001000	0.028592  	0.001000	0.037039  	0.001000	0.037039  	0.001000	0.0370288 	0.001000	0.0241814 	0.001000	0.00441067	
0.002000	0.0260686 	0.002000	0.0338077 	0.002000	0.0417889 	0.002000	0.0417889 	0.002000	0.0417832 	0.002000	0.0308206 	0.002000	0.0029871 	
0.005000	0.0342359 	0.005000	0.0441121 	0.005000	0.050429  	0.005000	0.050429  	0.005000	0.0504266 	0.005000	0.0424737 	0.005000	0.0016384 	
0.008000	0.0398362 	0.008000	0.0512406 	0.008000	0.0560463 	0.008000	0.0560463 	0.008000	0.0560448 	0.008000	0.0500683 	0.008000	0.00117232	
0.010000	0.0428897 	0.010000	0.0551238 	0.010000	0.0590106 	0.010000	0.0590106 	0.010000	0.0590094 	0.010000	0.0541354 	0.010000	0.000988421	
0.015000	0.0517297 	0.015000	0.0628136 	0.015000	0.0649398 	0.015000	0.0649398 	0.015000	0.064939  	0.015000	0.0620858 	0.015000	0.000727716	
0.020000	0.0589727 	0.020000	0.0689762 	0.020000	0.0695827 	0.020000	0.0695827 	0.020000	0.0695821 	0.020000	0.0683938 	0.020000	0.000582381	
0.025000	0.0649629 	0.025000	0.0740828 	0.025000	0.0734476 	0.025000	0.0734476 	0.025000	0.0734471 	0.025000	0.0735942 	0.025000	0.000488612	
0.030000	0.0698844 	0.030000	0.0783801 	0.030000	0.0768099 	0.030000	0.0768099 	0.030000	0.0768096 	0.030000	0.0779575 	0.030000	0.000422638	
0.035000	0.0738583 	0.035000	0.0820175 	0.035000	0.0796105 	0.035000	0.0796105 	0.035000	0.0796102 	0.035000	0.0816441 	0.035000	0.000373466	
0.040000	0.0769799 	0.040000	0.0850952 	0.040000	0.0819464 	0.040000	0.0819464 	0.040000	0.0819462 	0.040000	0.0847599 	0.040000	0.000335276	
0.045000	0.0793351 	0.045000	0.0876857 	0.045000	0.0838882 	0.045000	0.0838882 	0.045000	0.083888  	0.045000	0.0873811 	0.045000	0.000304682	
0.050000	0.0810064 	0.050000	0.0898452 	0.050000	0.0854896 	0.050000	0.0854896 	0.050000	0.0854894 	0.050000	0.0895657 	0.050000	0.000279574	
0.055000	0.0820752 	0.055000	0.0916194 	0.055000	0.0867935 	0.055000	0.0867935 	0.055000	0.0867933 	0.055000	0.0913608 	0.055000	0.000258567	
0.060000	0.0826214 	0.060000	0.093047  	0.060000	0.0878352 	0.060000	0.0878352 	0.060000	0.087835  	0.060000	0.0928063 	0.060000	0.000240709	
0.070000	0.0824512 	0.070000	0.0949959 	0.070000	0.0892477 	0.070000	0.0892477 	0.070000	0.0892476 	0.070000	0.094784  	0.070000	0.000211925	
0.080000	0.0810578 	0.080000	0.0959279 	0.080000	0.0899224 	0.080000	0.0899224 	0.080000	0.0899223 	0.080000	0.0957383 	0.080000	0.00018968	
0.090000	0.0789035 	0.090000	0.096043  	0.090000	0.0900113 	0.090000	0.0900113 	0.090000	0.0900113 	0.090000	0.0958711 	0.090000	0.000171934	
0.100000	0.0763389 	0.100000	0.0955134 	0.100000	0.0896369 	0.100000	0.0896369 	0.100000	0.0896369 	0.100000	0.0953559 	0.100000	0.000157421	
0.120000	0.0708804 	0.120000	0.093087  	0.120000	0.0878799 	0.120000	0.0878799 	0.120000	0.0878798 	0.120000	0.092952  	0.120000	0.00013505	
0.140000	0.0657611 	0.140000	0.0895642 	0.140000	0.0852548 	0.140000	0.0852548 	0.140000	0.0852548 	0.140000	0.0894457 	0.140000	0.000118558	
0.160000	0.061317  	0.160000	0.0855538 	0.160000	0.0821677 	0.160000	0.0821677 	0.160000	0.0821677 	0.160000	0.0854479 	0.160000	0.000105861	
0.180000	0.0575621 	0.180000	0.0814318 	0.180000	0.0788863 	0.180000	0.0788863 	0.180000	0.0788863 	0.180000	0.081336  	0.180000	9.57638e-05	
0.200000	0.0544027 	0.200000	0.0774139 	0.200000	0.0755826 	0.200000	0.0755826 	0.200000	0.0755826 	0.200000	0.0773264 	0.200000	8.75276e-05	
0.250000	0.0484027 	0.250000	0.0684175 	0.250000	0.0678142 	0.250000	0.0678142 	0.250000	0.0678142 	0.250000	0.0683452 	0.250000	7.22928e-05	
0.300000	0.0441246 	0.300000	0.0611264 	0.300000	0.0611588 	0.300000	0.0611588 	0.300000	0.0611588 	0.300000	0.0610646 	0.300000	6.17902e-05	
0.350000	0.0408395 	0.350000	0.0553104 	0.350000	0.0556414 	0.350000	0.0556414 	0.350000	0.0556414 	0.350000	0.0552564 	0.350000	5.40835e-05	
0.400000	0.0381757 	0.400000	0.0506357 	0.400000	0.0510918 	0.400000	0.0510918 	0.400000	0.0510918 	0.400000	0.0505875 	0.400000	4.81723e-05	
0.450000	0.0359337 	0.450000	0.0468192 	0.450000	0.0473163 	0.450000	0.0473163 	0.450000	0.0473163 	0.450000	0.0467757 	0.450000	4.34857e-05	
0.500000	0.0339987 	0.500000	0.0436484 	0.500000	0.0441479 	0.500000	0.0441479 	0.500000	0.0441479 	0.500000	0.0436088 	0.500000	3.96732e-05	
0.600000	0.0307865 	0.600000	0.0386707 	0.600000	0.0391378 	0.600000	0.0391378 	0.600000	0.0391378 	0.600000	0.0386369 	0.600000	3.38341e-05	
0.700000	0.0281974 	0.700000	0.0349126 	0.700000	0.0353437 	0.700000	0.0353437 	0.700000	0.0353437 	0.700000	0.034883  	0.700000	2.95609e-05	
0.800000	0.0260499 	0.800000	0.0319464 	0.800000	0.0323513 	0.800000	0.0323513 	0.800000	0.0323513 	0.800000	0.0319202 	0.800000	2.62904e-05	
0.900000	0.0242329 	0.900000	0.0295265 	0.900000	0.0299145 	0.900000	0.0299145 	0.900000	0.0299145 	0.900000	0.0295028 	0.900000	2.37022e-05	
1.000000	0.0226719 	1.000000	0.0275022 	1.000000	0.02788   	1.000000	0.02788   	1.000000	0.02788   	1.000000	0.0274806 	1.000000	2.16e-05  	
1.250000	0.019578  	1.250000	0.0236051 	1.250000	0.0239727 	1.250000	0.0239727 	1.250000	0.0239727 	1.250000	0.0235874 	1.250000	1.77342e-05	
1.500000	0.0172731 	1.500000	0.0207734 	1.500000	0.0211388 	1.500000	0.0211388 	1.500000	0.0211388 	1.500000	0.0207584 	1.500000	1.50877e-05	
