! 1H range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.03306   	0.001000	0.03306   	0.001000	0.0260076 	0.001000	0.0260076 	0.001000	0.0260132 	0.001000	0         	0.001000	0         	0.001000	0.000169967	0.001000	0.000303604	0.001000	0.000126049	
0.002000	0.0673047 	0.002000	0.0661199 	0.002000	0.0520153 	0.002000	0.0520153 	0.002000	0.0520263 	0.002000	0.0035151 	0.002000	0.0035151 	0.002000	0.000497703	0.002000	0.000858771	0.002000	0.000392958	
0.005000	0.148084  	0.005000	0.144105  	0.005000	0.117721  	0.005000	0.117721  	0.005000	0.117738  	0.005000	0.00414298	0.005000	0.00414298	0.005000	0.00174767	0.005000	0.00291292	0.005000	0.00145655	
0.008000	0.213927  	0.008000	0.207669  	0.008000	0.174601  	0.008000	0.174601  	0.008000	0.174621  	0.008000	0.00417048	0.008000	0.00417048	0.008000	0.00321159	0.008000	0.005258  	0.008000	0.00274458	
0.010000	0.253259  	0.010000	0.245641  	0.010000	0.209694  	0.010000	0.209694  	0.010000	0.209715  	0.010000	0.00426986	0.010000	0.00426986	0.010000	0.00426182	0.010000	0.00691886	0.010000	0.00368315	
0.015000	0.341776  	0.015000	0.331095  	0.015000	0.290974  	0.015000	0.290974  	0.015000	0.290996  	0.015000	0.00480986	0.015000	0.00480986	0.015000	0.00706957	0.015000	0.0113049 	0.015000	0.00622806	
0.020000	0.420975  	0.020000	0.407554  	0.020000	0.36588   	0.020000	0.36588   	0.020000	0.365903  	0.020000	0.00557426	0.020000	0.00557426	0.020000	0.0100738 	0.020000	0.0159378 	0.020000	0.00898968	
0.025000	0.493924  	0.025000	0.477979  	0.025000	0.43633   	0.025000	0.43633   	0.025000	0.436353  	0.025000	0.00640498	0.025000	0.00640498	0.025000	0.0132275 	0.025000	0.0207552 	0.025000	0.0119179 	
0.030000	0.562367  	0.030000	0.544055  	0.030000	0.503376  	0.030000	0.503376  	0.030000	0.5034    	0.030000	0.00723353	0.030000	0.00723353	0.030000	0.0165012 	0.030000	0.0257185 	0.030000	0.0149809 	
0.035000	0.627421  	0.035000	0.606858  	0.035000	0.567778  	0.035000	0.567778  	0.035000	0.567802  	0.035000	0.0080374 	0.035000	0.0080374 	0.035000	0.0198809 	0.035000	0.0308102 	0.035000	0.0181629 	
0.040000	0.689858  	0.040000	0.667135  	0.040000	0.630132  	0.040000	0.630132  	0.040000	0.630156  	0.040000	0.0088126 	0.040000	0.0088126 	0.040000	0.0233619 	0.040000	0.0360255 	0.040000	0.0214578 	
0.045000	0.750246  	0.045000	0.725433  	0.045000	0.690875  	0.045000	0.690875  	0.045000	0.6909    	0.045000	0.00956068	0.045000	0.00956068	0.045000	0.0269423 	0.045000	0.0413631 	0.045000	0.024863  	
0.050000	0.809016  	0.050000	0.782171  	0.050000	0.750348  	0.050000	0.750348  	0.050000	0.750373  	0.050000	0.010285  	0.050000	0.010799  	0.050000	0.0306177 	0.050000	0.0468164 	0.050000	0.0283777 	
0.055000	0.866513  	0.055000	0.837678  	0.055000	0.808817  	0.055000	0.808817  	0.055000	0.808842  	0.055000	0.0109895 	0.055000	0.0121719 	0.055000	0.0343503 	0.055000	0.0523176 	0.055000	0.0320025 	
0.060000	0.923012  	0.060000	0.892223  	0.060000	0.866501  	0.060000	0.866501  	0.060000	0.866526  	0.060000	0.0116776 	0.060000	0.0134064 	0.060000	0.0381506 	0.060000	0.057886  	0.060000	0.0357392 	
0.070000	1.0339    	0.070000	0.999276  	0.070000	0.980206  	0.070000	0.980206  	0.070000	0.980231  	0.070000	0.0130183 	0.070000	0.0156051 	0.070000	0.0459861 	0.070000	0.06928   	0.070000	0.0425534 	
0.080000	1.14313   	0.080000	1.10473   	0.080000	1.0926    	0.080000	1.0926    	0.080000	1.09262   	0.080000	0.01433   	0.080000	0.0175756 	0.080000	0.0537785 	0.080000	0.0805206 	0.080000	0.0484499 	
0.090000	1.25179   	0.090000	1.20962   	0.090000	1.20453   	0.090000	1.20453   	0.090000	1.20455   	0.090000	0.0156307 	0.090000	0.0194085 	0.090000	0.0606607 	0.090000	0.09039   	0.090000	0.0537491 	
0.100000	1.36068   	0.100000	1.31475   	0.100000	1.31664   	0.100000	1.31664   	0.100000	1.31667   	0.100000	0.0169349 	0.100000	0.0211576 	0.100000	0.0668679 	0.100000	0.0992425 	0.100000	0.0587092 	
0.120000	1.58172   	0.120000	1.52814   	0.120000	1.54341   	0.120000	1.54341   	0.120000	1.54344   	0.120000	0.0195982 	0.120000	0.0245339 	0.120000	0.0782168 	0.120000	0.115297  	0.120000	0.0678075 	
0.140000	1.81012   	0.140000	1.74864   	0.140000	1.77603   	0.140000	1.77603   	0.140000	1.77605   	0.140000	0.0223916 	0.140000	0.02788   	0.140000	0.0886649 	0.140000	0.129926  	0.140000	0.0763843 	
0.160000	2.04845   	0.160000	1.97872   	0.160000	2.01666   	0.160000	2.01666   	0.160000	2.01669   	0.160000	0.0253661 	0.160000	0.031291  	0.160000	0.0986573 	0.160000	0.143786  	0.160000	0.0847068 	
0.180000	2.29846   	0.180000	2.22009   	0.180000	2.26687   	0.180000	2.26687   	0.180000	2.2669    	0.180000	0.0285592 	0.180000	0.034826  	0.180000	0.108465  	0.180000	0.157273  	0.180000	0.09289   	
0.200000	2.56133   	0.200000	2.47386   	0.200000	2.52778   	0.200000	2.52778   	0.200000	2.52781   	0.200000	0.0319985 	0.200000	0.0385261 	0.200000	0.118184  	0.200000	0.170528  	0.200000	0.101123  	
0.250000	3.27915   	0.250000	3.16685   	0.250000	3.23175   	0.250000	3.23175   	0.250000	3.23178   	0.250000	0.0417908 	0.250000	0.0486538 	0.250000	0.142866  	0.250000	0.203775  	0.250000	0.122202  	
0.300000	4.08719   	0.300000	3.94693   	0.300000	4.01471   	0.300000	4.01471   	0.300000	4.01474   	0.300000	0.0533976 	0.300000	0.0602493 	0.300000	0.168606  	0.300000	0.237895  	0.300000	0.14453   	
0.350000	4.98577   	0.350000	4.81442   	0.350000	4.87912   	0.350000	4.87912   	0.350000	4.87915   	0.350000	0.0668412 	0.350000	0.0741668 	0.350000	0.195889  	0.350000	0.273583  	0.350000	0.168356  	
0.400000	5.97282   	0.400000	5.76733   	0.400000	5.82478   	0.400000	5.82478   	0.400000	5.8248    	0.400000	0.0820676 	0.400000	0.090195  	0.400000	0.224854  	0.400000	0.31104   	0.400000	0.193817  	
0.450000	7.04542   	0.450000	6.80282   	0.450000	6.8501    	0.450000	6.8501    	0.450000	6.85013   	0.450000	0.09899   	0.450000	0.107937  	0.450000	0.255497  	0.450000	0.350254  	0.450000	0.220987  	
0.500000	8.20047   	0.500000	7.9179    	0.500000	7.95297   	0.500000	7.95297   	0.500000	7.953     	0.500000	0.117515  	0.500000	0.127114  	0.500000	0.287893  	0.500000	0.391348  	0.500000	0.249775  	
0.600000	10.7465   	0.600000	10.3759   	0.600000	10.3822   	0.600000	10.3822   	0.600000	10.3822   	0.600000	0.159027  	0.600000	0.169022  	0.600000	0.357732  	0.600000	0.47889   	0.600000	0.312235  	
0.700000	13.5912   	0.700000	13.1222   	0.700000	13.0953   	0.700000	13.0953   	0.700000	13.0954   	0.700000	0.20603   	0.700000	0.214862  	0.700000	0.433998  	0.700000	0.573199  	0.700000	0.380906  	
0.800000	16.7196   	0.800000	16.1423   	0.800000	16.0782   	0.800000	16.0782   	0.800000	16.0782   	0.800000	0.25812   	0.800000	0.264042  	0.800000	0.516385  	0.800000	0.673895  	0.800000	0.455502  	
0.900000	20.1203   	0.900000	19.4254   	0.900000	19.3195   	0.900000	19.3195   	0.900000	19.3195   	0.900000	0.315024  	0.900000	0.316215  	0.900000	0.604703  	0.900000	0.780761  	0.900000	0.535742  	
1.000000	23.7848   	1.000000	22.9631   	1.000000	22.8103   	1.000000	22.8103   	1.000000	22.8103   	1.000000	0.376558  	1.000000	0.371168  	1.000000	0.698669  	1.000000	0.893427  	1.000000	0.621479  	
1.250000	34.0588   	1.250000	32.8816   	1.250000	32.5856   	1.250000	32.5856   	1.250000	32.5856   	1.250000	0.549899  	1.250000	0.519923  	1.250000	0.957463  	1.250000	1.19947   	1.250000	0.858678  	
1.500000	45.8668   	1.500000	44.2811   	1.500000	43.7989   	1.500000	43.7989   	1.500000	43.7989   	1.500000	0.75027   	1.500000	0.684102  	1.500000	1.24891   	1.500000	1.53847   	1.500000	1.12735   	
1.750000	59.1593   	1.750000	57.1137   	1.750000	56.3972   	1.750000	56.3972   	1.750000	56.3972   	1.750000	0.977059  	1.750000	0.863115  	1.750000	1.57185   	1.750000	1.90893   	1.750000	1.42634   	
2.000000	73.9004   	2.000000	71.3448   	2.000000	70.342    	2.000000	70.342    	2.000000	70.3421   	2.000000	1.22989   	2.000000	1.05658   	2.000000	1.92546   	2.000000	2.30973   	2.000000	1.75484   	
2.250000	90.0619   	2.250000	86.9472   	2.250000	85.6037   	2.250000	85.6037   	2.250000	85.6037   	2.250000	1.5085    	2.250000	1.26423   	2.250000	2.30907   	2.250000	2.73997   	2.250000	2.11231   	
2.500000	107.619   	2.500000	103.899   	2.500000	102.158   	2.500000	102.158   	2.500000	102.158   	2.500000	1.81267   	2.500000	1.48582   	2.500000	2.72198   	2.500000	3.19864   	2.500000	2.49825   	
3.000000	145.361   	3.000000	141.777   	3.000000	139.067   	3.000000	139.067   	3.000000	139.067   	3.000000	2.49699   	3.000000	1.97017   	3.000000	3.6348    	3.000000	4.20002   	3.000000	3.35053   	
3.500000	188.159   	3.500000	184.857   	3.500000	180.938   	3.500000	180.938   	3.500000	180.938   	3.500000	3.28165   	3.500000	2.50828   	3.500000	4.66068   	3.500000	5.30938   	3.500000	4.3069    	
4.000000	235.905   	4.000000	233.04    	4.000000	227.667   	4.000000	227.667   	4.000000	227.667   	4.000000	4.16564   	4.000000	3.09899   	4.000000	5.79146   	4.000000	6.5163    	4.000000	5.37115   	
4.500000	288.505   	4.500000	286.246   	4.500000	279.168   	4.500000	279.168   	4.500000	279.168   	4.500000	5.1481    	4.500000	3.74127   	4.500000	7.03265   	4.500000	7.82721   	4.500000	6.54174   	
5.000000	345.88    	5.000000	344.405   	5.000000	335.37    	5.000000	335.37    	5.000000	335.37    	5.000000	6.2283    	5.000000	4.43423   	5.000000	8.38284   	5.000000	9.23987   	5.000000	7.81736   	
5.500000	407.959   	5.500000	407.459   	5.500000	396.209   	5.500000	396.209   	5.500000	396.209   	5.500000	7.40555   	5.500000	5.17708   	5.500000	9.84082   	5.500000	10.7524   	5.500000	9.19694   	
6.000000	474.678   	6.000000	475.355   	6.000000	461.632   	6.000000	461.632   	6.000000	461.632   	6.000000	8.67928   	6.000000	5.96911   	6.000000	11.4056   	6.000000	12.3632   	6.000000	10.6795   	
6.500000	545.979   	6.500000	548.045   	6.500000	531.588   	6.500000	531.588   	6.500000	531.588   	6.500000	10.049    	6.500000	6.80968   	6.500000	13.0762   	6.500000	14.0708   	6.500000	12.2643   	
7.000000	621.808   	7.000000	625.487   	7.000000	606.034   	7.000000	606.034   	7.000000	606.034   	7.000000	11.5141   	7.000000	7.69821   	7.000000	14.8518   	7.000000	15.8738   	7.000000	13.9504   	
7.500000	702.117   	7.500000	707.644   	7.500000	684.93    	7.500000	684.93    	7.500000	684.93    	7.500000	13.0742   	7.500000	8.63416   	7.500000	16.7318   	7.500000	17.7712   	7.500000	15.7374   	
8.000000	786.859   	8.000000	794.478   	8.000000	768.239   	8.000000	768.239   	8.000000	768.239   	8.000000	14.729    	8.000000	9.61707   	8.000000	18.7154   	8.000000	19.7618   	8.000000	17.6245   	
8.500000	875.992   	8.500000	885.959   	8.500000	855.928   	8.500000	855.928   	8.500000	855.928   	8.500000	16.4779   	8.500000	10.6466   	8.500000	20.8021   	8.500000	21.8447   	8.500000	19.6113   	
9.000000	969.476   	9.000000	982.056   	9.000000	947.965   	9.000000	947.965   	9.000000	947.965   	9.000000	18.3208   	9.000000	11.7223   	9.000000	22.9913   	9.000000	24.019    	9.000000	21.6972   	
9.500000	1067.27   	9.500000	1082.74   	9.500000	1044.32   	9.500000	1044.32   	9.500000	1044.32   	9.500000	20.2572   	9.500000	12.8436   	9.500000	25.2825   	9.500000	26.2839   	9.500000	23.8818   	
10.000000	1169.35   	10.000000	1187.85   	10.000000	1144.97   	10.000000	1144.97   	10.000000	1144.97   	10.000000	22.2869   	10.000000	14.0099   	10.000000	27.6752   	10.000000	28.6386   	10.000000	26.1647   	
11.000000	1386.19   	11.000000	1403.04   	11.000000	1359.15   	11.000000	1359.15   	11.000000	1359.19   	11.000000	26.6331   	11.000000	16.4811   	11.000000	32.7678   	11.000000	33.6185   	11.000000	31.0277   	
12.000000	1619.74   	12.000000	1634.69   	12.000000	1590.42   	12.000000	1590.42   	12.000000	1590.56   	12.000000	31.3635   	12.000000	19.1383   	12.000000	38.2698   	12.000000	38.9571   	12.000000	36.2874   	
13.000000	1869.77   	13.000000	1882.61   	13.000000	1838.58   	13.000000	1838.58   	13.000000	1838.91   	13.000000	36.4734   	13.000000	21.9775   	13.000000	44.1781   	13.000000	44.6497   	13.000000	41.9409   	
14.000000	2136.06   	14.000000	2146.62   	14.000000	2103.46   	14.000000	2103.45   	14.000000	2104.05   	14.000000	41.9587   	14.000000	24.994    	14.000000	50.4895   	14.000000	50.6913   	14.000000	47.9854   	
15.000000	2418.41   	15.000000	2426.54   	15.000000	2384.86   	15.000000	2384.85   	15.000000	2385.81   	15.000000	47.8151   	15.000000	28.1861   	15.000000	57.2009   	15.000000	57.0774   	15.000000	54.4182   	
16.000000	2716.62   	16.000000	2722.21   	16.000000	2682.62   	16.000000	2682.61   	16.000000	2684.02   	16.000000	54.0382   	16.000000	31.551    	16.000000	64.3088   	16.000000	63.8036   	16.000000	61.2361   	
17.000000	3030.51   	17.000000	3033.48   	17.000000	2996.53   	17.000000	2996.53   	17.000000	2998.49   	17.000000	60.6236   	17.000000	35.0842   	17.000000	71.8097   	17.000000	70.8651   	17.000000	68.4361   	
18.000000	3359.92   	18.000000	3360.2    	18.000000	3326.42   	18.000000	3326.45   	18.000000	3329.06   	18.000000	67.5663   	18.000000	38.7818   	18.000000	79.6999   	18.000000	78.2574   	18.000000	76.0149   	
19.000000	3704.67   	19.000000	3702.22   	19.000000	3672.12   	19.000000	3672.17   	19.000000	3675.55   	19.000000	74.8615   	19.000000	42.6412   	19.000000	87.9754   	19.000000	85.9758   	19.000000	83.9688   	
20.000000	4064.63   	20.000000	4059.4    	20.000000	4033.45   	20.000000	4033.52   	20.000000	4037.78   	20.000000	82.5037   	20.000000	46.659    	20.000000	96.6322   	20.000000	94.0157   	20.000000	92.2941   	
21.000000	4439.62   	21.000000	4431.63   	21.000000	4410.2    	21.000000	4410.31   	21.000000	4415.58   	21.000000	90.4875   	21.000000	50.8319   	21.000000	105.666   	21.000000	102.372   	21.000000	100.987   	
22.000000	4829.53   	22.000000	4818.77   	22.000000	4802.21   	22.000000	4802.35   	22.000000	4808.75   	22.000000	98.8071   	22.000000	55.1569   	22.000000	115.072   	22.000000	111.041   	22.000000	110.044   	
23.000000	5234.2    	23.000000	5220.71   	23.000000	5209.28   	23.000000	5209.45   	23.000000	5217.12   	23.000000	107.456   	23.000000	59.6305   	23.000000	124.846   	23.000000	120.016   	23.000000	119.46    	
24.000000	5653.52   	24.000000	5637.32   	24.000000	5631.21   	24.000000	5631.43   	24.000000	5640.49   	24.000000	116.429   	24.000000	64.2485   	24.000000	134.983   	24.000000	129.294   	24.000000	129.23    	
25.000000	6087.35   	25.000000	6068.49   	25.000000	6067.78   	25.000000	6068.07   	25.000000	6078.67   	25.000000	125.719   	25.000000	69.0059   	25.000000	145.478   	25.000000	138.869   	25.000000	139.351   	
27.000000	6998.05   	27.000000	6974.09   	27.000000	6984.07   	27.000000	6984.58   	27.000000	6998.67   	27.000000	145.221   	27.000000	78.9256   	27.000000	167.521   	27.000000	158.888   	27.000000	160.625   	
29.000000	7965.4    	29.000000	7936.65   	29.000000	7956.57   	29.000000	7957.33   	29.000000	7975.53   	29.000000	165.906   	29.000000	89.3676   	29.000000	190.931   	29.000000	180.034   	29.000000	183.241   	
