θc.m.(deg) iT11 ∆iT11 T20 ∆T20 T21 ∆T21 T22 ∆T22
38.9 0.304 0.004 0.024 0.008 null null -0.181 0.003
43.7 0.236 0.004 0.029 0.009 -0.032 0.007 -0.211 0.004
48.4 0.142 0.004 0.062 0.010 null null -0.250 0.004
54.1 0.025 0.004 0.090 0.011 -0.045 0.004 -0.274 0.004
58.9 -0.061 0.004 0.121 0.014 null null -0.302 0.006
63.7 -0.127 0.004 0.137 0.012 -0.114 0.004 -0.324 0.005
68.6 -0.197 0.005 0.151 0.016 -0.159 0.007 -0.335 0.006
73.4 -0.224 0.006 0.109 0.023 -0.198 0.005 -0.331 0.009
78.4 -0.260 0.007 0.104 0.015 -0.232 0.007 -0.335 0.006
83.3 -0.269 0.003 0.083 0.015 null null -0.309 0.006
88.3 -0.289 0.006 0.055 0.013 -0.283 0.007 -0.284 0.005
98.4 -0.274 0.007 -0.008 0.013 -0.282 0.004 -0.226 0.005
103.5 -0.260 0.008 -0.015 0.014 -0.270 0.011 -0.197 0.006
108.6 -0.256 0.006 -0.020 0.012 -0.245 0.006 -0.172 0.005
113.8 -0.239 0.005 0.035 0.009 -0.231 0.008 -0.163 0.004
119.0 -0.238 0.013 0.025 0.017 -0.250 0.011 -0.146 0.007
124.2 -0.207 0.004 -0.013 0.008 -0.285 0.007 -0.142 0.003
128.4 -0.187 0.012 -0.054 0.019 -0.310 0.007 -0.148 0.008
133.7 -0.146 0.006 -0.122 0.012 -0.348 0.007 -0.146 0.005
139.0 -0.099 0.006 -0.179 0.012 -0.373 0.007 -0.149 0.005
143.3 -0.053 0.006 -0.216 0.012 -0.420 0.009 -0.152 0.005
148.6 0.012 0.006 -0.277 0.011 -0.446 0.008 -0.171 0.004
154.0 0.077 0.006 -0.330 0.012 -0.484 0.011 -0.178 0.005
158.3 0.102 0.007 -0.379 0.013 -0.494 0.006 -0.177 0.005
161.6 0.124 0.006 -0.443 0.013 -0.479 0.010 -0.155 0.005
164.8 0.138 0.008 -0.468 0.015 null null -0.127 0.006
