polarization,N_LR,N_UD,sigma_N_LR_stat,sigma_N_LR_tensor,sigma_N_LR_total,sigma_N_UD_stat,sigma_N_UD_tensor,sigma_N_UD_total,R_LRUD,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_stat,covariance_T
0.00000000,90835.96450763,90835.96450763,301.38992685,0.00000000,301.38992685,301.38992685,0.00000000,301.38992685,0.0000000000,0.0023461517,0.0000000000,0.0023461517,-0.0765036788,0.0000000000
0.10000000,92994.05621148,87753.92749109,296.23276630,3.61283763,296.25479646,296.23277349,3.61283763,296.25480365,0.0289913537,0.0023187678,0.0000273136,0.0023189287,-0.0756638454,0.8778788929
0.20000000,95152.14791533,84671.89047454,290.98421911,7.22567525,291.07391872,290.98423325,7.22567525,291.07393285,0.0582806255,0.0022923093,0.0000549881,0.0022929687,-0.0747006719,3.5115155715
0.30000000,97310.23961918,81589.85345800,285.63924773,10.83851288,285.84480615,285.63926855,10.83851288,285.84482696,0.0878724314,0.0022666935,0.0000831123,0.0022682167,-0.0736141583,7.9009100358
0.40000000,99468.33132303,78507.81644145,280.19233401,14.45135050,280.56476181,280.19236124,14.45135050,280.56478900,0.1177714831,0.0022418205,0.0001117794,0.0022446054,-0.0724043045,14.0460622859
0.50000000,101626.42302689,75425.77942490,274.63741252,18.06418813,275.23085446,274.63744588,18.06418813,275.23088775,0.1479825907,0.0022175711,0.0001410870,0.0022220547,-0.0710711106,21.9469723218
0.60000000,103784.51473074,72343.74240836,268.96779137,21.67702576,269.83989001,268.96783057,21.67702576,269.83992909,0.1785106651,0.0021938056,0.0001711367,0.0022004706,-0.0696145766,31.6036401433
0.70000000,105942.60643459,69261.70539181,263.17605772,25.28986338,264.38837824,263.17610247,25.28986338,264.38842279,0.2093607210,0.0021703617,0.0002020338,0.0021797448,-0.0680347024,43.0160657506
0.80000000,108100.69813844,66179.66837527,257.25396410,28.90270101,258.87249404,257.25401409,28.90270101,258.87254372,0.2405378793,0.0021470524,0.0002338868,0.0021597540,-0.0663314882,56.1842491437
0.90000000,110258.78984229,63097.63135872,251.19229059,32.51553863,253.28803191,251.19234551,32.51553863,253.28808637,0.2720473701,0.0021236637,0.0002668077,0.0021403584,-0.0645049338,71.1081903225
1.00000000,112416.88154614,60015.59434218,244.98067635,36.12837626,247.63035226,244.98073587,36.12837626,247.63041113,0.3038945357,0.0020999517,0.0003009111,0.0021214016,-0.0625550392,87.7878892870
