true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,15139.32741794,35547.04846635,50686.37588429,0.4258954842,0.0000000009,0.0138360247,0.0000000000,0.0276720494,0.0000000000,0.0540963958,true,false
0.10000000,15293.31830339,34665.28610595,49958.60440934,0.4411709817,0.0999999709,0.0273406889,0.0725846723,0.1272661509,0.0461264217,0.1533005332,false,false
0.20000000,15447.30918884,33783.52374555,49230.83293439,0.4572438715,0.1999999620,0.0269279787,0.1729972569,0.2268533004,0.1469347842,0.2524911489,false,false
0.30000000,15601.30007429,32901.76138515,48503.06145944,0.4741782633,0.3000000268,0.0265082352,0.2734169167,0.3264334864,0.2477571197,0.3516682202,false,false
0.40000000,15755.29095974,32019.99902475,47775.28998448,0.4920453292,0.3999999333,0.0260814566,0.3738436696,0.4260066908,0.3485934639,0.4508317114,false,false
0.50000000,15909.28184518,31138.23666435,47047.51850953,0.5109243024,0.5000000000,0.0256476128,0.4742775409,0.5255728884,0.4494438657,0.5499815734,false,false
0.60000000,16063.27273063,30256.47430395,46319.74703458,0.5309036529,0.5999999810,0.0252066747,0.5747185631,0.6251320466,0.5503083896,0.6491177421,false,false
0.70000000,16217.26361608,29374.71194354,45591.97555963,0.5520824731,0.6999999471,0.0247586005,0.6751667775,0.7246841242,0.6511871159,0.7482401367,false,false
0.80000000,16371.25450153,28492.94958314,44864.20408467,0.5745721219,0.7999999877,0.0243033404,0.7756222345,0.8242290707,0.7520801437,0.8473486585,false,false
0.90000000,16525.24538698,27611.18722274,44136.43260972,0.5984981831,0.8999999557,0.0238408265,0.8760849948,0.9237668256,0.8529875920,0.9464431884,false,false
1.00000000,16679.23627243,26729.42486234,43408.66113477,0.6240028118,1.0000000000,0.0117224347,0.9765551307,1.0000000000,0.9539096026,1.0000000000,false,true
