true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,630164.39145838,167361.58203344,797525.97349182,3.7652870139,0.0000000013,0.0040084844,0.0000000000,0.0080169689,0.0000000000,0.0157072500,true,false
0.10000000,635908.45175512,163148.60661422,799057.05836934,3.8977253006,0.0999999640,0.0079620512,0.0920348048,0.1079589091,0.0843826074,0.1155932445,false,false
0.20000000,641652.51205186,158935.63119500,800588.14324686,4.0371847850,0.1999999713,0.0079015523,0.1920951943,0.2078982946,0.1845007570,0.2154742310,false,false
0.30000000,647396.57234860,154722.65577578,802119.22812438,4.1842390121,0.2999999169,0.0078384270,0.2921582073,0.3078350555,0.2846240474,0.3153500722,false,false
0.40000000,653140.63264534,150509.68035656,803650.31300190,4.3395257441,0.4000000227,0.0077726018,0.3922239187,0.4077691169,0.3847526254,0.4152206214,false,false
0.50000000,658884.69294208,146296.70493734,805181.39787942,4.5037562071,0.5000000000,0.0077039978,0.4922924087,0.5077003986,0.4848866483,0.5150857215,false,false
0.60000000,664628.75323882,142083.72951812,806712.48275694,4.6777259824,0.5999999400,0.0076325284,0.5923637634,0.6076288145,0.5850262847,0.6149452036,false,false
0.70000000,670372.81353557,137870.75409890,808243.56763446,4.8623278948,0.6999999303,0.0075581011,0.6924380752,0.7075542721,0.6851717161,0.7147988865,false,false
0.80000000,676116.87383231,133657.77867968,809774.65251198,5.0585673390,0.7999999411,0.0074806161,0.7925154439,0.8074766717,0.7853231376,0.8146465748,false,false
0.90000000,681860.93412905,129444.80326046,811305.73738950,5.2675805977,0.8999999631,0.0073999645,0.8925959769,0.9073959059,0.8854807600,0.9144880579,false,false
1.00000000,687604.99442579,125231.82784124,812836.82226702,5.4906568584,0.9999999962,0.0036601047,0.9926797905,1.0000000000,0.9856448113,1.0000000000,false,true
