polarization,N1,N2,sigma_N1_stat,sigma_N1_tensor,sigma_N1_total,sigma_N2_stat,sigma_N2_tensor,sigma_N2_total,R,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_T
0.00000000,630164.39145838,167361.58203344,793.82894345,0.00000000,793.82894345,409.09849918,0.00000000,409.09849918,3.7652870139,0.0103541795,0.0000000000,0.0103541795,0.0000000000
0.10000000,635908.45175512,163148.60661422,797.43868213,35.68665134,798.23679998,403.91658373,7.39838580,403.98433475,3.8977253006,0.0108171074,0.0002812246,0.0108207624,0.0000000000
0.20000000,641652.51205186,158935.63119500,801.03215419,71.37330269,804.20560828,398.66731895,14.79677160,398.94181987,4.0371847850,0.0113115630,0.0005856056,0.0113267114,0.0000000000
0.30000000,647396.57234860,154722.65577578,804.60957759,107.05995403,811.70093391,393.34800848,22.19515740,393.97370571,4.1842390121,0.0118406023,0.0009160090,0.0118759815,0.0000000000
0.40000000,653140.63264534,150509.68035656,808.17116544,142.74660538,820.68095262,387.95577113,29.59354320,389.08284228,4.3395257441,0.0124076707,0.0012757483,0.0124730841,0.0000000000
0.50000000,658884.69294208,146296.70493734,811.71712619,178.43325672,831.09753943,382.48752259,36.99192900,384.27217925,4.5037562071,0.0130166659,0.0016686677,0.0131231873,0.0000000000
0.60000000,664628.75323882,142083.72951812,815.24766374,214.11990807,842.89743639,376.93995479,44.39031479,379.54476622,4.6777259824,0.0136720119,0.0020992444,0.0138322355,0.0000000000
0.70000000,670372.81353557,137870.75409890,818.76297763,249.80655941,856.02344049,371.30951253,51.78870059,374.90375246,4.8623278948,0.0143787489,0.0025727130,0.0146070966,0.0000000000
0.80000000,676116.87383231,133657.77867968,822.26326309,285.49321075,870.41556007,365.59236682,59.18708639,370.35238608,5.0585673390,0.0151426407,0.0030952197,0.0154557417,0.0000000000
0.90000000,681860.93412905,129444.80326046,825.74871125,321.17986210,886.01209808,359.78438440,66.58547219,365.89401248,5.2675805977,0.0159703064,0.0036740127,0.0163874664,0.0000000000
1.00000000,687604.99442579,125231.82784124,829.21950919,356.86651344,902.75063159,353.88109280,73.98385799,361.53207200,5.4906568584,0.0168693798,0.0043176803,0.0174131657,0.0000000000
