polarization,N1,N2,sigma_N1_stat,sigma_N1_tensor,sigma_N1_total,sigma_N2_stat,sigma_N2_tensor,sigma_N2_total,R,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_T
0.00000000,60557.30967175,168482.64526291,246.08394842,0.00000000,246.08394842,410.46637531,0.00000000,410.46637531,0.3594275813,0.0017029667,0.0000000000,0.0017029667,0.0000000000
0.10000000,61173.27321355,164303.34877042,247.33231332,3.51889814,247.35734446,405.34349479,7.43222557,405.41162631,0.3723190895,0.0017634453,0.0000272459,0.0017636558,0.0000000000
0.20000000,61789.23675535,160124.05227793,248.57440889,7.03779627,248.67401821,400.15503530,14.86445114,400.43102301,0.3858835439,0.0018275245,0.0000567010,0.0018284039,0.0000000000
0.30000000,62405.20029715,155944.75578544,249.81032864,10.55669441,250.03328597,394.89841198,22.29667671,395.52736641,0.4001750491,0.0018955305,0.0000886359,0.0018976017,0.0000000000
0.40000000,63021.16383894,151765.45929295,251.04016380,14.07559255,251.43445696,389.57086556,29.72890228,390.70355376,0.4152536693,0.0019678293,0.0001233630,0.0019716923,0.0000000000
0.50000000,63637.12738074,147586.16280047,252.26400334,17.59449068,252.87683461,384.16944543,37.16112785,385.96257879,0.4311862723,0.0020448324,0.0001612439,0.0020511800,0.0000000000
0.60000000,64253.09092254,143406.86630798,253.48193411,21.11338882,254.35971794,378.69099053,44.59335341,381.30753137,0.4480475209,0.0021270048,0.0002026990,0.0021366414,0.0000000000
0.70000000,64869.05446433,139227.56981549,254.69404089,24.63228695,255.88240273,373.13210773,52.02557898,376.74159670,0.4659210424,0.0022148730,0.0002482188,0.0022287384,0.0000000000
0.80000000,65485.01800613,135048.27332300,255.90040642,28.15118509,257.44418274,367.48914722,59.45780455,372.26805375,0.4849008165,0.0023090358,0.0002983782,0.0023282345,0.0000000000
0.90000000,66100.98154793,130868.97683052,257.10111153,31.67008323,259.04435087,361.75817452,66.89003012,367.89027299,0.5050928276,0.0024101767,0.0003538530,0.0024360139,0.0000000000
1.00000000,66716.94508972,126689.68033803,258.29623514,35.18898136,260.68220020,355.93493835,74.32225569,363.61171327,0.5266170450,0.0025190796,0.0004154423,0.0025531068,0.0000000000
