polarization,minus_two_delta_loglikelihood,expected_first_count,expected_second_count,expected_total_count,expected_ratio_or_asymmetry
0.0000000000,3891.5157272611,90835.9645076323,90835.9645076323,181671.9290152646,0.0000000000
0.0025000000,3853.8165531972,90889.9168002286,90758.9135822187,181648.8303824472,0.0007211894
0.0050000000,3816.2919962019,90943.8690928248,90681.8626568050,181625.7317496299,0.0014425623
0.0075000000,3778.9421547102,90997.8213854211,90604.8117313914,181602.6331168125,0.0021641187
0.0100000000,3741.7671277793,91051.7736780174,90527.7608059777,181579.5344839951,0.0028858587
0.0125000000,3704.7670150900,91105.7259706136,90450.7098805641,181556.4358511777,0.0036077823
0.0150000000,3667.9419169480,91159.6782632099,90373.6589551505,181533.3372183603,0.0043298896
0.0175000000,3631.2919342847,91213.6305558062,90296.6080297368,181510.2385855430,0.0050521807
0.0200000000,3594.8171686590,91267.5828484024,90219.5571043232,181487.1399527256,0.0057746557
0.0225000000,3558.5177222585,91321.5351409987,90142.5061789095,181464.0413199082,0.0064973146
0.0250000000,3522.3936979006,91375.4874335949,90065.4552534959,181440.9426870908,0.0072201575
0.0275000000,3486.4451990337,91429.4397261912,89988.4043280823,181417.8440542734,0.0079431845
0.0300000000,3450.6723297391,91483.3920187875,89911.3534026686,181394.7454214561,0.0086663956
0.0325000000,3415.0751947313,91537.3443113837,89834.3024772550,181371.6467886387,0.0093897909
0.0350000000,3379.6538993605,91591.2966039800,89757.2515518413,181348.5481558213,0.0101133705
0.0375000000,3344.4085496130,91645.2488965763,89680.2006264277,181325.4495230039,0.0108371344
0.0400000000,3309.3392521130,91699.2011891725,89603.1497010140,181302.3508901866,0.0115610828
0.0425000000,3274.4461141239,91753.1534817688,89526.0987756004,181279.2522573692,0.0122852156
0.0450000000,3239.7292435493,91807.1057743650,89449.0478501868,181256.1536245518,0.0130095331
0.0475000000,3205.1887489349,91861.0580669613,89371.9969247731,181233.0549917344,0.0137340351
0.0500000000,3170.8247394697,91915.0103595576,89294.9459993595,181209.9563589171,0.0144587219
0.0525000000,3136.6373249870,91968.9626521538,89217.8950739458,181186.8577260997,0.0151835934
0.0550000000,3102.6266159662,92022.9149447501,89140.8441485322,181163.7590932823,0.0159086498
0.0575000000,3068.7927235342,92076.8672373464,89063.7932231186,181140.6604604649,0.0166338911
0.0600000000,3035.1357594666,92130.8195299426,88986.7422977049,181117.5618276476,0.0173593173
0.0625000000,3001.6558361890,92184.7718225389,88909.6913722913,181094.4631948302,0.0180849287
0.0650000000,2968.3530667791,92238.7241151351,88832.6404468776,181071.3645620128,0.0188107251
0.0675000000,2935.2275649671,92292.6764077314,88755.5895214640,181048.2659291954,0.0195367068
0.0700000000,2902.2794451380,92346.6287003277,88678.5385960503,181025.1672963780,0.0202628737
0.0725000000,2869.5088223327,92400.5809929239,88601.4876706367,181002.0686635607,0.0209892260
0.0750000000,2836.9158122494,92454.5332855202,88524.4367452231,180978.9700307433,0.0217157637
0.0775000000,2804.5005312452,92508.4855781165,88447.3858198094,180955.8713979259,0.0224424868
0.0800000000,2772.2630963376,92562.4378707127,88370.3348943958,180932.7727651085,0.0231693955
0.0825000000,2740.2036252058,92616.3901633090,88293.2839689821,180909.6741322911,0.0238964899
0.0850000000,2708.3222361924,92670.3424559053,88216.2330435685,180886.5754994738,0.0246237699
0.0875000000,2676.6190483048,92724.2947485015,88139.1821181549,180863.4768666564,0.0253512357
0.0900000000,2645.0941812165,92778.2470410978,88062.1311927412,180840.3782338390,0.0260788873
0.0925000000,2613.7477552691,92832.1993336941,87985.0802673276,180817.2796010216,0.0268067249
0.0950000000,2582.5798914735,92886.1516262903,87908.0293419139,180794.1809682043,0.0275347484
0.0975000000,2551.5907115113,92940.1039188866,87830.9784165003,180771.0823353869,0.0282629580
0.1000000000,2520.7803377368,92994.0562114828,87753.9274910867,180747.9837025695,0.0289913537
0.1025000000,2490.1488931781,93048.0085040791,87676.8765656730,180724.8850697521,0.0297199356
0.1050000000,2459.6965015390,93101.9607966754,87599.8256402594,180701.7864369347,0.0304487037
0.1075000000,2429.4232872004,93155.9130892716,87522.7747148457,180678.6878041174,0.0311776582
0.1100000000,2399.3293752219,93209.8653818679,87445.7237894321,180655.5891713000,0.0319067991
0.1125000000,2369.4148913432,93263.8176744642,87368.6728640184,180632.4905384826,0.0326361265
0.1150000000,2339.6799619862,93317.7699670604,87291.6219386048,180609.3919056652,0.0333656404
0.1175000000,2310.1247142563,93371.7222596567,87214.5710131912,180586.2932728478,0.0340953410
0.1200000000,2280.7492759438,93425.6745522530,87137.5200877775,180563.1946400305,0.0348252282
0.1225000000,2251.5537755260,93479.6268448492,87060.4691623639,180540.0960072131,0.0355553023
0.1250000000,2222.5383421686,93533.5791374455,86983.4182369502,180516.9973743957,0.0362855631
0.1275000000,2193.7031057270,93587.5314300417,86906.3673115366,180493.8987415783,0.0370160109
0.1300000000,2165.0481967488,93641.4837226380,86829.3163861230,180470.8001087609,0.0377466456
0.1325000000,2136.5737464748,93695.4360152343,86752.2654607093,180447.7014759436,0.0384774674
0.1350000000,2108.2798868406,93749.3883078305,86675.2145352957,180424.6028431262,0.0392084763
0.1375000000,2080.1667504789,93803.3406004268,86598.1636098820,180401.5042103088,0.0399396725
0.1400000000,2052.2344707207,93857.2928930231,86521.1126844684,180378.4055774914,0.0406710559
0.1425000000,2024.4831815970,93911.2451856193,86444.0617590547,180355.3069446741,0.0414026266
0.1450000000,1996.9130178410,93965.1974782156,86367.0108336411,180332.2083118567,0.0421343847
0.1475000000,1969.5241148892,94019.1497708118,86289.9599082275,180309.1096790393,0.0428663304
0.1500000000,1942.3166088834,94073.1020634081,86212.9089828138,180286.0110462219,0.0435984635
0.1525000000,1915.2906366728,94127.0543560044,86135.8580574002,180262.9124134046,0.0443307844
0.1550000000,1888.4463358150,94181.0066486006,86058.8071319865,180239.8137805872,0.0450632929
0.1575000000,1861.7838445786,94234.9589411969,85981.7562065729,180216.7151477698,0.0457959892
0.1600000000,1835.3033019443,94288.9112337932,85904.7052811593,180193.6165149524,0.0465288733
0.1625000000,1809.0048476071,94342.8635263894,85827.6543557456,180170.5178821351,0.0472619454
0.1650000000,1782.8886219776,94396.8158189857,85750.6034303320,180147.4192493177,0.0479952054
0.1675000000,1756.9547661848,94450.7681115820,85673.5525049183,180124.3206165003,0.0487286535
0.1700000000,1731.2034220769,94504.7204041782,85596.5015795047,180101.2219836829,0.0494622897
0.1725000000,1705.6347322234,94558.6726967745,85519.4506540911,180078.1233508655,0.0501961142
0.1750000000,1680.2488399172,94612.6249893707,85442.3997286774,180055.0247180482,0.0509301269
0.1775000000,1655.0458891764,94666.5772819670,85365.3488032638,180031.9260852308,0.0516643280
0.1800000000,1630.0260247458,94720.5295745633,85288.2978778501,180008.8274524134,0.0523987175
0.1825000000,1605.1893920993,94774.4818671595,85211.2469524365,179985.7288195960,0.0531332955
0.1850000000,1580.5361374412,94828.4341597558,85134.1960270228,179962.6301867786,0.0538680621
0.1875000000,1556.0664077087,94882.3864523521,85057.1451016092,179939.5315539613,0.0546030173
0.1900000000,1531.7803505733,94936.3387449483,84980.0941761956,179916.4329211439,0.0553381612
0.1925000000,1507.6781144429,94990.2910375446,84903.0432507819,179893.3342883265,0.0560734939
0.1950000000,1483.7598484640,95044.2433301408,84825.9923253683,179870.2356555091,0.0568090155
0.1975000000,1460.0257025230,95098.1956227371,84748.9413999546,179847.1370226917,0.0575447260
0.2000000000,1436.4758272488,95152.1479153334,84671.8904745410,179824.0383898744,0.0582806255
0.2025000000,1413.1103740144,95206.1002079296,84594.8395491273,179800.9397570570,0.0590167141
0.2050000000,1389.9294949387,95260.0525005259,84517.7886237137,179777.8411242396,0.0597529919
0.2075000000,1366.9333428891,95314.0047931222,84440.7376983001,179754.7424914222,0.0604894588
0.2100000000,1344.1220714829,95367.9570857184,84363.6867728864,179731.6438586049,0.0612261151
0.2125000000,1321.4958350894,95421.9093783147,84286.6358474728,179708.5452257875,0.0619629607
0.2150000000,1299.0547888324,95475.8616709110,84209.5849220591,179685.4465929701,0.0626999958
0.2175000000,1276.7990885914,95529.8139635072,84132.5339966455,179662.3479601527,0.0634372204
0.2200000000,1254.7288910043,95583.7662561035,84055.4830712319,179639.2493273353,0.0641746346
0.2225000000,1232.8443534693,95637.7185486997,83978.4321458182,179616.1506945179,0.0649122384
0.2250000000,1211.1456341466,95691.6708412960,83901.3812204046,179593.0520617006,0.0656500320
0.2275000000,1189.6328919612,95745.6231338923,83824.3302949909,179569.9534288832,0.0663880154
