polarization,minus_two_delta_loglikelihood,expected_first_count,expected_second_count,expected_total_count,expected_ratio_or_asymmetry
0.0000000000,1025.1644163817,45417.9822538162,106641.1453990648,152059.1276528810,0.4258954842
0.0025000000,1015.4432694016,45429.5315702248,106575.0132220347,152004.5447922595,0.4262681298
0.0050000000,1005.7638312229,45441.0808866335,106508.8810450046,151949.9619316381,0.4266412382
0.0075000000,996.1261619172,45452.6302030422,106442.7488679745,151895.3790710167,0.4270148102
0.0100000000,986.5303216968,45464.1795194509,106376.6166909444,151840.7962103953,0.4273888467
0.0125000000,976.9763709150,45475.7288358596,106310.4845139142,151786.2133497738,0.4277633485
0.0150000000,967.4643700669,45487.2781522683,106244.3523368841,151731.6304891524,0.4281383165
0.0175000000,957.9943797893,45498.8274686770,106178.2201598540,151677.0476285310,0.4285137517
0.0200000000,948.5664608615,45510.3767850857,106112.0879828239,151622.4647679096,0.4288896548
0.0225000000,939.1806742052,45521.9261014944,106045.9558057938,151567.8819072881,0.4292660267
0.0250000000,929.8370808853,45533.4754179030,105979.8236287636,151513.2990466667,0.4296428684
0.0275000000,920.5357421103,45545.0247343117,105913.6914517335,151458.7161860453,0.4300201807
0.0300000000,911.2767192322,45556.5740507204,105847.5592747034,151404.1333254238,0.4303979644
0.0325000000,902.0600737474,45568.1233671291,105781.4270976733,151349.5504648024,0.4307762205
0.0350000000,892.8858672966,45579.6726835378,105715.2949206432,151294.9676041810,0.4311549499
0.0375000000,883.7541616659,45591.2219999465,105649.1627436131,151240.3847435595,0.4315341534
0.0400000000,874.6650187864,45602.7713163552,105583.0305665829,151185.8018829381,0.4319138319
0.0425000000,865.6185007350,45614.3206327639,105516.8983895528,151131.2190223167,0.4322939864
0.0450000000,856.6146697346,45625.8699491726,105450.7662125227,151076.6361616952,0.4326746176
0.0475000000,847.6535881550,45637.4192655812,105384.6340354926,151022.0533010738,0.4330557266
0.0500000000,838.7353185124,45648.9685819899,105318.5018584624,150967.4704404524,0.4334373142
0.0525000000,829.8599234706,45660.5178983986,105252.3696814323,150912.8875798309,0.4338193813
0.0550000000,821.0274658409,45672.0672148073,105186.2375044022,150858.3047192095,0.4342019289
0.0575000000,812.2380085829,45683.6165312160,105120.1053273721,150803.7218585881,0.4345849577
0.0600000000,803.4916148044,45695.1658476247,105053.9731503420,150749.1389979667,0.4349684688
0.0625000000,794.7883477623,45706.7151640334,104987.8409733119,150694.5561373452,0.4353524631
0.0650000000,786.1282708624,45718.2644804421,104921.7087962817,150639.9732767238,0.4357369414
0.0675000000,777.5114476608,45729.8137968508,104855.5766192516,150585.3904161024,0.4361219047
0.0700000000,768.9379418629,45741.3631132594,104789.4444422215,150530.8075554809,0.4365073539
0.0725000000,760.4078173252,45752.9124296681,104723.3122651914,150476.2246948595,0.4368932899
0.0750000000,751.9211380546,45764.4617460768,104657.1800881613,150421.6418342381,0.4372797137
0.0775000000,743.4779682096,45776.0110624855,104591.0479111311,150367.0589736167,0.4376666261
0.0800000000,735.0783721003,45787.5603788942,104524.9157341010,150312.4761129952,0.4380540281
0.0825000000,726.7224141887,45799.1096953029,104458.7835570709,150257.8932523738,0.4384419207
0.0850000000,718.4101590895,45810.6590117116,104392.6513800408,150203.3103917524,0.4388303047
0.0875000000,710.1416715702,45822.2083281203,104326.5192030107,150148.7275311309,0.4392191811
0.0900000000,701.9170165517,45833.7576445290,104260.3870259805,150094.1446705095,0.4396085508
0.0925000000,693.7362591086,45845.3069609376,104194.2548489504,150039.5618098881,0.4399984148
0.0950000000,685.5994644696,45856.8562773463,104128.1226719203,149984.9789492667,0.4403887740
0.0975000000,677.5066980179,45868.4055937550,104061.9904948902,149930.3960886452,0.4407796293
0.1000000000,669.4580252919,45879.9549101637,103995.8583178601,149875.8132280238,0.4411709817
0.1025000000,661.4535119852,45891.5042265724,103929.7261408300,149821.2303674024,0.4415628322
0.1050000000,653.4932239472,45903.0535429811,103863.5939637998,149766.6475067809,0.4419551817
0.1075000000,645.5772271837,45914.6028593898,103797.4617867697,149712.0646461595,0.4423480311
0.1100000000,637.7055878571,45926.1521757985,103731.3296097396,149657.4817855381,0.4427413815
0.1125000000,629.8783722867,45937.7014922072,103665.1974327095,149602.8989249166,0.4431352337
0.1150000000,622.0956469495,45949.2508086158,103599.0652556794,149548.3160642952,0.4435295888
0.1175000000,614.3574784805,45960.8001250245,103532.9330786492,149493.7332036738,0.4439244476
0.1200000000,606.6639336729,45972.3494414332,103466.8009016191,149439.1503430523,0.4443198112
0.1225000000,599.0150794786,45983.8987578419,103400.6687245890,149384.5674824309,0.4447156805
0.1250000000,591.4109830090,45995.4480742506,103334.5365475589,149329.9846218095,0.4451120565
0.1275000000,583.8517115351,46006.9973906593,103268.4043705288,149275.4017611881,0.4455089402
0.1300000000,576.3373324877,46018.5467070680,103202.2721934986,149220.8189005666,0.4459063326
0.1325000000,568.8679134586,46030.0960234767,103136.1400164685,149166.2360399452,0.4463042345
0.1350000000,561.4435222000,46041.6453398854,103070.0078394384,149111.6531793238,0.4467026471
0.1375000000,554.0642266262,46053.1946562941,103003.8756624083,149057.0703187023,0.4471015713
0.1400000000,546.7300948126,46064.7439727027,102937.7434853782,149002.4874580809,0.4475010080
0.1425000000,539.4411949974,46076.2932891114,102871.6113083480,148947.9045974595,0.4479009583
0.1450000000,532.1975955813,46087.8426055201,102805.4791313179,148893.3217368381,0.4483014232
0.1475000000,524.9993651283,46099.3919219288,102739.3469542878,148838.7388762166,0.4487024036
0.1500000000,517.8465723659,46110.9412383375,102673.2147772577,148784.1560155952,0.4491039005
0.1525000000,510.7392861858,46122.4905547462,102607.0826002276,148729.5731549737,0.4495059150
0.1550000000,503.6775756440,46134.0398711549,102540.9504231975,148674.9902943523,0.4499084481
0.1575000000,496.6615099617,46145.5891875636,102474.8182461673,148620.4074337309,0.4503115007
0.1600000000,489.6911585254,46157.1385039723,102408.6860691372,148565.8245731095,0.4507150738
0.1625000000,482.7665908874,46168.6878203809,102342.5538921071,148511.2417124880,0.4511191686
0.1650000000,475.8878767665,46180.2371367896,102276.4217150770,148456.6588518666,0.4515237859
0.1675000000,469.0550860481,46191.7864531983,102210.2895380469,148402.0759912452,0.4519289267
0.1700000000,462.2682887851,46203.3357696070,102144.1573610167,148347.4931306237,0.4523345922
0.1725000000,455.5275551978,46214.8850860157,102078.0251839866,148292.9102700023,0.4527407834
0.1750000000,448.8329556748,46226.4344024244,102011.8930069565,148238.3274093809,0.4531475011
0.1775000000,442.1845607733,46237.9837188331,101945.7608299264,148183.7445487595,0.4535547466
0.1800000000,435.5824412197,46249.5330352418,101879.6286528963,148129.1616881380,0.4539625207
0.1825000000,429.0266679098,46261.0823516505,101813.4964758662,148074.5788275166,0.4543708246
0.1850000000,422.5173119095,46272.6316680591,101747.3642988360,148019.9959668952,0.4547796593
0.1875000000,416.0544444552,46284.1809844678,101681.2321218059,147965.4131062737,0.4551890257
0.1900000000,409.6381369542,46295.7303008765,101615.0999447758,147910.8302456523,0.4555989250
0.1925000000,403.2684609852,46307.2796172852,101548.9677677457,147856.2473850309,0.4560093582
0.1950000000,396.9454882991,46318.8289336939,101482.8355907155,147801.6645244095,0.4564203263
0.1975000000,390.6692908189,46330.3782501026,101416.7034136854,147747.0816637880,0.4568318304
0.2000000000,384.4399406404,46341.9275665113,101350.5712366553,147692.4988031666,0.4572438715
0.2025000000,378.2575100331,46353.4768829200,101284.4390596252,147637.9159425452,0.4576564506
0.2050000000,372.1220714399,46365.0261993287,101218.3068825951,147583.3330819237,0.4580695689
0.2075000000,366.0336974783,46376.5755157373,101152.1747055650,147528.7502213023,0.4584832274
0.2100000000,359.9924609405,46388.1248321460,101086.0425285348,147474.1673606809,0.4588974271
0.2125000000,353.9984347940,46399.6741485547,101019.9103515047,147419.5845000594,0.4593121691
0.2150000000,348.0516921819,46411.2234649634,100953.7781744746,147365.0016394380,0.4597274545
0.2175000000,342.1523064238,46422.7727813721,100887.6459974445,147310.4187788166,0.4601432844
0.2200000000,336.3003510160,46434.3220977808,100821.5138204144,147255.8359181951,0.4605596597
0.2225000000,330.4958996318,46445.8714141895,100755.3816433842,147201.2530575737,0.4609765817
0.2250000000,324.7390261225,46457.4207305982,100689.2494663541,147146.6701969523,0.4613940513
0.2275000000,319.0298045174,46468.9700470069,100623.1172893240,147092.0873363308,0.4618120696
0.2300000000,313.3683090248,46480.5193634155,100556.9851122939,147037.5044757094,0.4622306378
0.2325000000,307.7546140319,46492.0686798242,100490.8529352638,146982.9216150880,0.4626497569
0.2350000000,302.1887941058,46503.6179962329,100424.7207582337,146928.3387544666,0.4630694280
0.2375000000,296.6709239939,46515.1673126416,100358.5885812035,146873.7558938451,0.4634896522
0.2400000000,291.2010786241,46526.7166290503,100292.4564041734,146819.1730332237,0.4639104305
0.2425000000,285.7793331057,46538.2659454590,100226.3242271433,146764.5901726023,0.4643317642
0.2450000000,280.4057627297,46549.8152618677,100160.1920501132,146710.0073119809,0.4647536542
0.2475000000,275.0804429694,46561.3645782764,100094.0598730831,146655.4244513594,0.4651761017
0.2500000000,269.8034494808,46572.9138946851,100027.9276960529,146600.8415907380,0.4655991078
0.2525000000,264.5748581031,46584.4632110937,99961.7955190228,146546.2587301166,0.4660226737
0.2550000000,259.3947448595,46596.0125275024,99895.6633419927,146491.6758694951,0.4664468003
0.2575000000,254.2631859574,46607.5618439111,99829.5311649626,146437.0930088737,0.4668714888
0.2600000000,249.1802577889,46619.1111603198,99763.3989879325,146382.5101482523,0.4672967404
0.2625000000,244.1460369316,46630.6604767285,99697.2668109023,146327.9272876309,0.4677225562
0.2650000000,239.1606001490,46642.2097931372,99631.1346338722,146273.3444270094,0.4681489372
0.2675000000,234.2240243908,46653.7591095459,99565.0024568421,146218.7615663880,0.4685758847
0.2700000000,229.3363867939,46665.3084259546,99498.8702798120,146164.1787057666,0.4690033997
0.2725000000,224.4977646823,46676.8577423633,99432.7381027819,146109.5958451451,0.4694314834
0.2750000000,219.7082355683,46688.4070587719,99366.6059257517,146055.0129845237,0.4698601369
0.2775000000,214.9678771526,46699.9563751806,99300.4737487216,146000.4301239022,0.4702893613
0.2800000000,210.2767673247,46711.5056915893,99234.3415716915,145945.8472632808,0.4707191578
0.2825000000,205.6349841640,46723.0550079980,99168.2093946614,145891.2644026594,0.4711495276
0.2850000000,201.0426059399,46734.6043244067,99102.0772176313,145836.6815420380,0.4715804717
0.2875000000,196.4997111125,46746.1536408154,99035.9450406011,145782.0986814165,0.4720119914
0.2900000000,192.0063783329,46757.7029572241,98969.8128635710,145727.5158207951,0.4724440878
0.2925000000,187.5626864440,46769.2522736328,98903.6806865409,145672.9329601737,0.4728767620
0.2950000000,183.1687144813,46780.8015900415,98837.5485095108,145618.3500995522,0.4733100152
0.2975000000,178.8245416726,46792.3509064501,98771.4163324807,145563.7672389308,0.4737438486
0.3000000000,174.5302474394,46803.9002228588,98705.2841554506,145509.1843783094,0.4741782633
0.3025000000,170.2859113971,46815.4495392675,98639.1519784204,145454.6015176880,0.4746132606
0.3050000000,166.0916133556,46826.9988556762,98573.0198013903,145400.0186570665,0.4750488415
0.3075000000,161.9474333195,46838.5481720849,98506.8876243602,145345.4357964451,0.4754850072
0.3100000000,157.8534514894,46850.0974884936,98440.7554473301,145290.8529358237,0.4759217590
0.3125000000,153.8097482619,46861.6468049023,98374.6232703000,145236.2700752022,0.4763590980
0.3150000000,149.8164042302,46873.1961213110,98308.4910932698,145181.6872145808,0.4767970254
0.3175000000,145.8735001849,46884.7454377197,98242.3589162397,145127.1043539594,0.4772355423
0.3200000000,141.9811171142,46896.2947541284,98176.2267392096,145072.5214933380,0.4776746501
0.3225000000,138.1393362050,46907.8440705370,98110.0945621795,145017.9386327165,0.4781143498
0.3250000000,134.3482388430,46919.3933869457,98043.9623851494,144963.3557720951,0.4785546427
0.3275000000,130.6079066134,46930.9427033544,97977.8302081193,144908.7729114737,0.4789955299
0.3300000000,126.9184213016,46942.4920197631,97911.6980310891,144854.1900508522,0.4794370128
0.3325000000,123.2798648935,46954.0413361718,97845.5658540590,144799.6071902308,0.4798790924
0.3350000000,119.6923195765,46965.5906525805,97779.4336770289,144745.0243296094,0.4803217700
0.3375000000,116.1558677395,46977.1399689892,97713.3014999988,144690.4414689880,0.4807650468
0.3400000000,112.6705919742,46988.6892853979,97647.1693229686,144635.8586083665,0.4812089240
0.3425000000,109.2365750750,47000.2386018066,97581.0371459385,144581.2757477451,0.4816534029
0.3450000000,105.8539000400,47011.7879182152,97514.9049689084,144526.6928871237,0.4820984847
0.3475000000,102.5226500713,47023.3372346239,97448.7727918783,144472.1100265022,0.4825441705
0.3500000000,99.2429085760,47034.8865510326,97382.6406148482,144417.5271658808,0.4829904617
0.3525000000,96.0147591664,47046.4358674413,97316.5084378181,144362.9443052594,0.4834373594
0.3550000000,92.8382856607,47057.9851838500,97250.3762607879,144308.3614446379,0.4838848650
0.3575000000,89.7135720837,47069.5345002587,97184.2440837578,144253.7785840165,0.4843329795
0.3600000000,86.6407026672,47081.0838166674,97118.1119067277,144199.1957233951,0.4847817044
0.3625000000,83.6197618508,47092.6331330761,97051.9797296976,144144.6128627736,0.4852310408
0.3650000000,80.6508342825,47104.1824494848,96985.8475526675,144090.0300021522,0.4856809899
0.3675000000,77.7340048192,47115.7317658934,96919.7153756373,144035.4471415308,0.4861315531
0.3700000000,74.8693585271,47127.2810823021,96853.5831986072,143980.8642809094,0.4865827316
0.3725000000,72.0569806828,47138.8303987108,96787.4510215771,143926.2814202879,0.4870345267
0.3750000000,69.2969567736,47150.3797151195,96721.3188445470,143871.6985596665,0.4874869396
0.3775000000,66.5893724980,47161.9290315282,96655.1866675169,143817.1156990451,0.4879399715
0.3800000000,63.9343137666,47173.4783479369,96589.0544904867,143762.5328384236,0.4883936239
0.3825000000,61.3318667027,47185.0276643456,96522.9223134566,143707.9499778022,0.4888478978
0.3850000000,58.7821176425,47196.5769807543,96456.7901364265,143653.3671171808,0.4893027947
0.3875000000,56.2851531362,47208.1262971630,96390.6579593964,143598.7842565594,0.4897583158
0.3900000000,53.8410599486,47219.6756135716,96324.5257823663,143544.2013959379,0.4902144623
0.3925000000,51.4499250593,47231.2249299803,96258.3936053362,143489.6185353165,0.4906712356
0.3950000000,49.1118356636,47242.7742463890,96192.2614283060,143435.0356746950,0.4911286370
0.3975000000,46.8268791735,47254.3235627977,96126.1292512759,143380.4528140736,0.4915866678
0.4000000000,44.5951432174,47265.8728792064,96059.9970742458,143325.8699534522,0.4920453292
0.4025000000,42.4167156418,47277.4221956151,95993.8648972157,143271.2870928308,0.4925046225
0.4050000000,40.2916845112,47288.9715120238,95927.7327201856,143216.7042322093,0.4929645492
0.4075000000,38.2201381088,47300.5208284325,95861.6005431554,143162.1213715879,0.4934251104
0.4100000000,36.2021649377,47312.0701448412,95795.4683661253,143107.5385109665,0.4938863075
0.4125000000,34.2378537208,47323.6194612498,95729.3361890952,143052.9556503450,0.4943481418
0.4150000000,32.3272934021,47335.1687776585,95663.2040120651,142998.3727897236,0.4948106147
0.4175000000,30.4705731467,47346.7180940672,95597.0718350350,142943.7899291022,0.4952737274
0.4200000000,28.6677823421,47358.2674104759,95530.9396580048,142889.2070684808,0.4957374813
0.4225000000,26.9190105983,47369.8167268846,95464.8074809747,142834.6242078593,0.4962018777
0.4250000000,25.2243477489,47381.3660432933,95398.6753039446,142780.0413472379,0.4966669180
0.4275000000,23.5838838514,47392.9153597020,95332.5431269145,142725.4584866165,0.4971326035
0.4300000000,21.9977091883,47404.4646761107,95266.4109498844,142670.8756259950,0.4975989355
0.4325000000,20.4659142671,47416.0139925194,95200.2787728542,142616.2927653736,0.4980659154
0.4350000000,18.9885898215,47427.5633089280,95134.1465958241,142561.7099047522,0.4985335445
0.4375000000,17.5658268119,47439.1126253367,95068.0144187940,142507.1270441308,0.4990018243
0.4400000000,16.1977164262,47450.6619417454,95001.8822417639,142452.5441835093,0.4994707560
0.4425000000,14.8843500803,47462.2112581541,94935.7500647338,142397.9613228879,0.4999403410
0.4450000000,13.6258194186,47473.7605745628,94869.6178877037,142343.3784622665,0.5004105807
0.4475000000,12.4222163152,47485.3098909715,94803.4857106735,142288.7956016450,0.5008814764
0.4500000000,11.2736328741,47496.8592073802,94737.3535336434,142234.2127410236,0.5013530296
0.4525000000,10.1801614301,47508.4085237889,94671.2213566133,142179.6298804022,0.5018252415
0.4550000000,9.1418945495,47519.9578401976,94605.0891795832,142125.0470197807,0.5022981137
0.4575000000,8.1589250306,47531.5071566062,94538.9570025531,142070.4641591593,0.5027716474
0.4600000000,7.2313459046,47543.0564730149,94472.8248255229,142015.8812985379,0.5032458441
0.4625000000,6.3592504364,47554.6057894236,94406.6926484928,141961.2984379164,0.5037207051
0.4650000000,5.5427321246,47566.1551058323,94340.5604714627,141906.7155772950,0.5041962319
0.4675000000,4.7818847032,47577.7044222410,94274.4282944326,141852.1327166736,0.5046724258
0.4700000000,4.0768021416,47589.2537386497,94208.2961174025,141797.5498560522,0.5051492883
0.4725000000,3.4275786454,47600.8030550584,94142.1639403724,141742.9669954307,0.5056268208
0.4750000000,2.8343086574,47612.3523714671,94076.0317633422,141688.3841348093,0.5061050246
0.4775000000,2.2970868580,47623.9016878758,94009.8995863121,141633.8012741879,0.5065839012
0.4800000000,1.8160081660,47635.4510042844,93943.7674092820,141579.2184135664,0.5070634521
0.4825000000,1.3911677393,47647.0003206931,93877.6352322519,141524.6355529450,0.5075436786
0.4850000000,1.0226609759,47658.5496371018,93811.5030552218,141470.0526923236,0.5080245821
0.4875000000,0.7105835139,47670.0989535105,93745.3708781916,141415.4698317022,0.5085061642
0.4900000000,0.4550312331,47681.6482699192,93679.2387011615,141360.8869710807,0.5089884262
0.4925000000,0.2561002552,47693.1975863279,93613.1065241314,141306.3041104593,0.5094713695
0.4950000000,0.1138869445,47704.7469027366,93546.9743471013,141251.7212498379,0.5099549957
0.4975000000,0.0284879087,47716.2962191453,93480.8421700712,141197.1383892164,0.5104393062
0.5000000000,0.0000000000,47727.8455355540,93414.7099930410,141142.5555285950,0.5109243024
0.5025000000,0.0285203152,47739.3948519627,93348.5778160109,141087.9726679736,0.5114099858
0.5050000000,0.1141461970,47750.9441683713,93282.4456389808,141033.3898073522,0.5118963578
0.5075000000,0.2569752343,47762.4934847800,93216.3134619507,140978.8069467307,0.5123834199
0.5100000000,0.4571052633,47774.0428011887,93150.1812849206,140924.2240861093,0.5128711736
0.5125000000,0.7146343677,47785.5921175974,93084.0491078904,140869.6412254879,0.5133596204
0.5150000000,1.0296608804,47797.1414340061,93017.9169308603,140815.0583648664,0.5138487617
0.5175000000,1.4022833832,47808.6907504148,92951.7847538302,140760.4755042450,0.5143385991
0.5200000000,1.8326007082,47820.2400668235,92885.6525768001,140705.8926436235,0.5148291339
0.5225000000,2.3207119385,47831.7893832322,92819.5203997700,140651.3097830021,0.5153203677
0.5250000000,2.8667164085,47843.3386996409,92753.3882227399,140596.7269223807,0.5158123020
0.5275000000,3.4707137054,47854.8880160495,92687.2560457097,140542.1440617593,0.5163049383
0.5300000000,4.1328036693,47866.4373324582,92621.1238686796,140487.5612011378,0.5167982781
0.5325000000,4.8530863942,47877.9866488669,92554.9916916495,140432.9783405164,0.5172923229
0.5350000000,5.6316622289,47889.5359652756,92488.8595146194,140378.3954798950,0.5177870742
0.5375000000,6.4686317777,47901.0852816843,92422.7273375893,140323.8126192736,0.5182825335
0.5400000000,7.3640959011,47912.6345980930,92356.5951605591,140269.2297586521,0.5187787024
0.5425000000,8.3181557166,47924.1839145017,92290.4629835290,140214.6468980307,0.5192755824
0.5450000000,9.3309125993,47935.7332309104,92224.3308064989,140160.0640374093,0.5197731749
0.5475000000,10.4024681833,47947.2825473191,92158.1986294688,140105.4811767878,0.5202714817
0.5500000000,11.5329243618,47958.8318637277,92092.0664524387,140050.8983161664,0.5207705040
0.5525000000,12.7223832881,47970.3811801364,92025.9342754085,139996.3154555450,0.5212702436
0.5550000000,13.9709473766,47981.9304965451,91959.8020983784,139941.7325949235,0.5217707020
0.5575000000,15.2787193034,47993.4798129538,91893.6699213483,139887.1497343021,0.5222718807
0.5600000000,16.6458020071,48005.0291293625,91827.5377443182,139832.5668736807,0.5227737812
0.5625000000,18.0722986897,48016.5784457712,91761.4055672881,139777.9840130592,0.5232764052
0.5650000000,19.5583128173,48028.1277621799,91695.2733902579,139723.4011524378,0.5237797542
0.5675000000,21.1039481210,48039.6770785886,91629.1412132278,139668.8182918164,0.5242838298
0.5700000000,22.7093085976,48051.2263949973,91563.0090361977,139614.2354311949,0.5247886335
0.5725000000,24.3744985104,48062.7757114059,91496.8768591676,139559.6525705735,0.5252941670
0.5750000000,26.0996223903,48074.3250278146,91430.7446821375,139505.0697099521,0.5258004317
0.5775000000,27.8847850364,48085.8743442233,91364.6125051073,139450.4868493307,0.5263074294
0.5800000000,29.7300915167,48097.4236606320,91298.4803280772,139395.9039887092,0.5268151615
0.5825000000,31.6356471689,48108.9729770407,91232.3481510471,139341.3211280878,0.5273236297
0.5850000000,33.6015576018,48120.5222934494,91166.2159740170,139286.7382674664,0.5278328357
0.5875000000,35.6279286954,48132.0716098581,91100.0837969869,139232.1554068449,0.5283427809
0.5900000000,37.7148666022,48143.6209262668,91033.9516199568,139177.5725462235,0.5288534670
0.5925000000,39.8624777478,48155.1702426755,90967.8194429266,139122.9896856021,0.5293648956
0.5950000000,42.0708688319,48166.7195590841,90901.6872658965,139068.4068249807,0.5298770684
0.5975000000,44.3401468291,48178.2688754928,90835.5550888664,139013.8239643592,0.5303899869
0.6000000000,46.6704189896,48189.8181919015,90769.4229118363,138959.2411037378,0.5309036529
0.6025000000,49.0617928403,48201.3675083102,90703.2907348062,138904.6582431164,0.5314180678
0.6050000000,51.5143761854,48212.9168247189,90637.1585577760,138850.0753824949,0.5319332335
0.6075000000,54.0282771075,48224.4661411276,90571.0263807459,138795.4925218735,0.5324491514
0.6100000000,56.6036039683,48236.0154575363,90504.8942037158,138740.9096612521,0.5329658234
0.6125000000,59.2404654095,48247.5647739450,90438.7620266857,138686.3268006307,0.5334832509
0.6150000000,61.9389703538,48259.1140903537,90372.6298496556,138631.7439400092,0.5340014357
0.6175000000,64.6992280053,48270.6634067623,90306.4976726255,138577.1610793878,0.5345203795
0.6200000000,67.5213478511,48282.2127231710,90240.3654955953,138522.5782187664,0.5350400839
0.6225000000,70.4054396617,48293.7620395797,90174.2333185652,138467.9953581449,0.5355605505
0.6250000000,73.3516134917,48305.3113559884,90108.1011415351,138413.4124975235,0.5360817811
0.6275000000,76.3599796814,48316.8606723971,90041.9689645050,138358.8296369021,0.5366037774
0.6300000000,79.4306488568,48328.4099888058,89975.8367874749,138304.2467762806,0.5371265410
0.6325000000,82.5637319313,48339.9593052145,89909.7046104447,138249.6639156592,0.5376500736
0.6350000000,85.7593401061,48351.5086216232,89843.5724334146,138195.0810550378,0.5381743770
0.6375000000,89.0175848710,48363.0579380319,89777.4402563845,138140.4981944163,0.5386994528
0.6400000000,92.3385780060,48374.6072544405,89711.3080793544,138085.9153337949,0.5392253027
0.6425000000,95.7224315813,48386.1565708492,89645.1759023243,138031.3324731735,0.5397519285
0.6450000000,99.1692579588,48397.7058872579,89579.0437252941,137976.7496125521,0.5402793318
0.6475000000,102.6791697928,48409.2552036666,89512.9115482640,137922.1667519306,0.5408075144
0.6500000000,106.2522800311,48420.8045200753,89446.7793712339,137867.5838913092,0.5413364781
0.6525000000,109.8887019156,48432.3538364840,89380.6471942038,137813.0010306878,0.5418662245
0.6550000000,113.5885489835,48443.9031528927,89314.5150171737,137758.4181700663,0.5423967554
0.6575000000,117.3519350681,48455.4524693014,89248.3828401435,137703.8353094449,0.5429280725
0.6600000000,121.1789742999,48467.0017857101,89182.2506631134,137649.2524488235,0.5434601776
0.6625000000,125.0697811070,48478.5511021187,89116.1184860833,137594.6695882021,0.5439930725
0.6650000000,129.0244702167,48490.1004185274,89049.9863090532,137540.0867275806,0.5445267588
0.6675000000,133.0431566562,48501.6497349361,88983.8541320231,137485.5038669592,0.5450612384
0.6700000000,137.1259557534,48513.1990513448,88917.7219549929,137430.9210063377,0.5455965131
0.6725000000,141.2729831380,48524.7483677535,88851.5897779628,137376.3381457163,0.5461325846
0.6750000000,145.4843547422,48536.2976841622,88785.4576009327,137321.7552850949,0.5466694546
0.6775000000,149.7601868022,48547.8470005709,88719.3254239026,137267.1724244735,0.5472071250
0.6800000000,154.1005958586,48559.3963169796,88653.1932468725,137212.5895638520,0.5477455976
0.6825000000,158.5056987575,48570.9456333883,88587.0610698424,137158.0067032306,0.5482848742
0.6850000000,162.9756126517,48582.4949497970,88520.9288928122,137103.4238426092,0.5488249565
0.6875000000,167.5104550014,48594.0442662056,88454.7967157821,137048.8409819877,0.5493658464
0.6900000000,172.1103435753,48605.5935826143,88388.6645387520,136994.2581213663,0.5499075457
0.6925000000,176.7753964515,48617.1428990230,88322.5323617219,136939.6752607449,0.5504500562
0.6950000000,181.5057320187,48628.6922154317,88256.4001846918,136885.0924001235,0.5509933797
0.6975000000,186.3014689768,48640.2415318404,88190.2680076617,136830.5095395020,0.5515375180
0.7000000000,191.1627263382,48651.7908482491,88124.1358306315,136775.9266788806,0.5520824731
0.7025000000,196.0896234288,48663.3401646578,88058.0036536014,136721.3438182592,0.5526282467
0.7050000000,201.0822798886,48674.8894810665,87991.8714765713,136666.7609576377,0.5531748406
0.7075000000,206.1408156732,48686.4387974752,87925.7392995412,136612.1780970163,0.5537222568
0.7100000000,211.2653510547,48697.9881138838,87859.6071225110,136557.5952363949,0.5542704971
0.7125000000,216.4560066223,48709.5374302925,87793.4749454809,136503.0123757735,0.5548195633
0.7150000000,221.7129032838,48721.0867467012,87727.3427684508,136448.4295151520,0.5553694573
0.7175000000,227.0361622663,48732.6360631099,87661.2105914207,136393.8466545306,0.5559201811
0.7200000000,232.4259051175,48744.1853795186,87595.0784143906,136339.2637939092,0.5564717363
0.7225000000,237.8822537064,48755.7346959273,87528.9462373604,136284.6809332877,0.5570241251
0.7250000000,243.4053302246,48767.2840123360,87462.8140603303,136230.0980726663,0.5575773491
0.7275000000,248.9952571872,48778.8333287447,87396.6818833002,136175.5152120449,0.5581314105
0.7300000000,254.6521574337,48790.3826451534,87330.5497062701,136120.9323514235,0.5586863109
0.7325000000,260.3761541295,48801.9319615620,87264.4175292400,136066.3494908020,0.5592420524
0.7350000000,266.1673707663,48813.4812779707,87198.2853522099,136011.7666301806,0.5597986369
0.7375000000,272.0259311636,48825.0305943794,87132.1531751797,135957.1837695592,0.5603560662
0.7400000000,277.9519594699,48836.5799107881,87066.0209981496,135902.6009089377,0.5609143424
0.7425000000,283.9455801630,48848.1292271968,86999.8888211195,135848.0180483163,0.5614734673
0.7450000000,290.0069180519,48859.6785436055,86933.7566440894,135793.4351876949,0.5620334428
0.7475000000,296.1360982773,48871.2278600142,86867.6244670593,135738.8523270735,0.5625942710
0.7500000000,302.3332463131,48882.7771764229,86801.4922900291,135684.2694664520,0.5631559537
0.7525000000,308.5984879671,48894.3264928315,86735.3601129990,135629.6866058306,0.5637184930
