true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,5046.44247265,5046.44247265,10092.88494529,0.0000000000,0.0000000033,0.0172240756,0.0000000000,0.0344481513,0.0000000000,0.0673990474,true,false
0.10000000,5166.33645619,4875.21819395,10041.55465014,0.0289913537,0.0999999456,0.0342321363,0.0657020778,0.1341649135,0.0326562441,0.1668328726,false,false
0.20000000,5286.23043974,4703.99391525,9990.22435499,0.0582806255,0.1999999508,0.0339265153,0.1660018354,0.2338534706,0.1332326247,0.2662116056,false,false
0.30000000,5406.12442329,4532.76963656,9938.89405984,0.0878724314,0.3000000007,0.0335922498,0.2663303300,0.3335134860,0.2338655072,0.3655345868,false,false
0.40000000,5526.01840684,4361.54535786,9887.56376469,0.1177714831,0.3999999831,0.0332289200,0.3666879850,0.4331445361,0.3345557217,0.4648009859,false,false
0.50000000,5645.91239038,4190.32107916,9836.23346954,0.1479825907,0.4999999927,0.0328360078,0.4670753193,0.5327461024,0.4353042849,0.5640097863,false,false
0.60000000,5765.80637393,4019.09680046,9784.90317439,0.1785106651,0.5999999810,0.0324128893,0.5674929567,0.6323175607,0.5361124198,0.6631597651,false,false
0.70000000,5885.70035748,3847.87252177,9733.57287924,0.2093607210,0.6999999769,0.0319588228,0.6679416386,0.7318581698,0.6369815793,0.7622494692,false,false
0.80000000,6005.59434102,3676.64824307,9682.24258409,0.2405378793,0.7999999821,0.0314729343,0.7684222392,0.8313670556,0.7379134767,0.8612771855,false,false
0.90000000,6125.48832457,3505.42396437,9630.91228894,0.2720473701,0.8999999799,0.0309541960,0.8689357837,0.9308431927,0.8389101213,0.9602409046,false,false
1.00000000,6245.38230812,3334.19968568,9579.58199380,0.3038945357,0.9999999940,0.0152582641,0.9694834717,1.0000000000,0.9399738640,1.0000000000,false,true
