true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,30278.65483588,30278.65483588,60557.30967175,0.0000000000,0.0000000000,0.0070391421,0.0000000000,0.0140782843,0.0000000000,0.0275736548,true,false
0.10000000,30998.01873716,29251.30916370,60249.32790086,0.0289913537,0.0999999456,0.0139752121,0.0860137514,0.1139640797,0.0725668764,0.1273479644,false,false
0.20000000,31717.38263844,28223.96349151,59941.34612996,0.0582806255,0.1999999862,0.0138504419,0.1861375471,0.2138383364,0.1728076696,0.2270996897,false,false
0.30000000,32436.74653973,27196.61781933,59633.36435906,0.0878724314,0.2999999728,0.0137139786,0.2862730512,0.3137009172,0.2730714414,0.3268285614,false,false
0.40000000,33156.11044101,26169.27214715,59325.38258816,0.1177714831,0.3999999594,0.0135656499,0.3864204369,0.4135516491,0.3733585307,0.4265342406,false,false
0.50000000,33875.47434230,25141.92647497,59017.40081726,0.1479825907,0.4999999963,0.0134052440,0.4865799158,0.5133903203,0.4736693525,0.5262163124,false,false
0.60000000,34594.83824358,24114.58080279,58709.41904636,0.1785106651,0.5999999940,0.0132325066,0.5867517425,0.6132166761,0.5740044061,0.6258742774,false,false
0.70000000,35314.20214486,23087.23513060,58401.43727547,0.2093607210,0.6999999758,0.0130471348,0.6869362199,0.7130304138,0.6743642847,0.7255075424,false,false
0.80000000,36033.56604615,22059.88945842,58093.45550457,0.2405378793,0.7999999896,0.0128487712,0.7871337048,0.8128311767,0.7747496877,0.8251154081,false,false
0.90000000,36752.92994743,21032.54378624,57785.47373367,0.2720473701,0.8999999948,0.0126369968,0.8873446157,0.9126185460,0.8751614355,0.9246970540,false,false
1.00000000,37472.29384871,20005.19811406,57477.49196277,0.3038945357,1.0000000000,0.0062152788,0.9875694423,1.0000000000,0.9756004880,1.0000000000,false,true
