polarization,N_LR,N_UD,sigma_N_LR_stat,sigma_N_LR_tensor,sigma_N_LR_total,sigma_N_UD_stat,sigma_N_UD_tensor,sigma_N_UD_total,R_LRUD,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_stat,covariance_T
0.00000000,5046.44247265,5046.44247265,71.03828702,0.00000000,71.03828702,71.03828702,0.00000000,71.03828702,0.0000000000,0.0099538786,0.0000000000,0.0099538786,-0.0042502044,0.0000000000
0.10000000,5166.33645619,4875.21819395,69.82273262,0.20071320,69.82302110,69.82273432,0.20071320,69.82302280,0.0289913537,0.0098376986,0.0000273136,0.0098377365,-0.0042035470,0.0027095028
0.20000000,5286.23043974,4703.99391525,68.58563818,0.40142640,68.58681293,68.58564152,0.40142640,68.58681627,0.0582806255,0.0097254445,0.0000549881,0.0097256000,-0.0041500373,0.0108380110
0.30000000,5406.12442329,4532.76963656,67.32581635,0.60213960,67.32850896,67.32582125,0.60213960,67.32851387,0.0878724314,0.0096167661,0.0000831123,0.0096171252,-0.0040896755,0.0243855248
0.40000000,5526.01840684,4361.54535786,66.04196647,0.80285281,66.04684631,66.04197289,0.80285281,66.04685273,0.1177714831,0.0095112387,0.0001117794,0.0095118955,-0.0040224614,0.0433520441
0.50000000,5645.91239038,4190.32107916,64.73265892,1.00356601,64.74043771,64.73266678,1.00356601,64.74044558,0.1479825907,0.0094083573,0.0001410870,0.0094094151,-0.0039483950,0.0677375689
0.60000000,5765.80637393,4019.09680046,63.39631640,1.20427921,63.40775364,63.39632564,1.20427921,63.40776288,0.1785106651,0.0093075289,0.0001711367,0.0093091021,-0.0038674765,0.0975420992
0.70000000,5885.70035748,3847.87252177,62.03119169,1.40499241,62.04710103,62.03120224,1.40499241,62.04711157,0.2093607210,0.0092080649,0.0002020338,0.0092102810,-0.0037797057,0.1327656350
0.80000000,6005.59434102,3676.64824307,60.63534083,1.60570561,60.65659773,60.63535262,1.60570561,60.65660951,0.2405378793,0.0091091720,0.0002338868,0.0091121741,-0.0036850827,0.1734081764
0.90000000,6125.48832457,3505.42396437,59.20659069,1.80641881,59.23414159,59.20660363,1.80641881,59.23415453,0.2720473701,0.0090099422,0.0002668077,0.0090138917,-0.0035836074,0.2194697232
1.00000000,6245.38230812,3334.19968568,57.74249917,2.00713201,57.77737264,57.74251320,2.00713201,57.77738666,0.3038945357,0.0089093407,0.0003009111,0.0089144209,-0.0034752800,0.2709502756
