true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,90835.96450763,90835.96450763,181671.92901526,0.0000000000,0.0000000000,0.0040652920,0.0000000000,0.0081305840,0.0000000000,0.0159292664,true,false
0.10000000,92994.05621148,87753.92749109,180747.98370257,0.0289913537,0.0999999836,0.0080685919,0.0919277214,0.1080648889,0.0841717258,0.1157998872,false,false
0.20000000,95152.14791533,84671.89047454,179824.03838987,0.0582806255,0.1999999601,0.0079965565,0.1919994332,0.2079925280,0.1843116656,0.2156574536,false,false
0.30000000,97310.23961918,81589.85345800,178900.09307718,0.0878724314,0.2999999560,0.0079177693,0.2920779009,0.3079134219,0.2844648571,0.3155018099,false,false
0.40000000,99468.33132303,78507.81644145,177976.14776448,0.1177714831,0.3999999868,0.0078321316,0.3921632244,0.4078274709,0.3846314959,0.4153327606,false,false
0.50000000,101626.42302689,75425.77942490,177052.20245179,0.1479825907,0.5000000000,0.0077395213,0.4922555260,0.5077345526,0.4848118215,0.5151500662,false,false
0.60000000,103784.51473074,72343.74240836,176128.25713909,0.1785106651,0.5999999905,0.0076397913,0.5923549528,0.6076345201,0.5850061223,0.6149534382,false,false
0.70000000,105942.60643459,69261.70539181,175204.31182640,0.2093607210,0.6999999844,0.0075327668,0.6924616794,0.7075271985,0.6852147408,0.7147425343,false,false
0.80000000,108100.69813844,66179.66837527,174280.36651370,0.2405378793,0.7999999598,0.0074182418,0.7925759119,0.8074123818,0.7854380807,0.8145169506,false,false
0.90000000,110258.78984229,63097.63135872,173356.42120101,0.2720473701,0.8999999861,0.0072959739,0.8926978921,0.9072898285,0.8856766157,0.9142762134,false,false
1.00000000,112416.88154614,60015.59434218,172432.47588831,0.3038945357,0.9999999898,0.0035860487,0.9928279025,1.0000000000,0.9859309001,1.0000000000,false,true
