true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,2523.22123632,5924.50807773,8447.72931405,0.4258954842,0.0000000191,0.0337592978,0.0000000000,0.0675185955,0.0000000000,0.1314966015,true,false
0.10000000,2548.88638390,5777.54768433,8326.43406822,0.4411709817,0.0999999288,0.0669707498,0.0325812039,0.1665237667,0.0000000000,0.2295452065,false,false
0.20000000,2574.55153147,5630.58729093,8205.13882240,0.4572438715,0.1999999508,0.0659598039,0.1335912691,0.2655121049,0.0689946063,0.3275614327,false,false
0.30000000,2600.21667905,5483.62689753,8083.84357657,0.4741782633,0.2999999430,0.0649316537,0.2346188653,0.3644835814,0.1710072304,0.4255452234,false,false
0.40000000,2625.88182662,5336.66650412,7962.54833075,0.4920453292,0.3999999706,0.0638862576,0.3356640369,0.4634381519,0.2730549487,0.5234964914,false,false
0.50000000,2651.54697420,5189.70611072,7841.25308492,0.5109243024,0.5000000000,0.0628235649,0.4367268453,0.5623757549,0.3751378820,0.6214151156,false,false
0.60000000,2677.21212177,5042.74571732,7719.95783910,0.5309036529,0.5999999065,0.0617434932,0.5378073709,0.6612963101,0.4772561882,0.7193009384,false,false
0.70000000,2702.87726935,4895.78532392,7598.66259327,0.5520824731,0.6999999676,0.0606459398,0.6389057144,0.7601997168,0.5794100652,0.8171537618,false,false
0.80000000,2728.54241692,4748.82493052,7477.36734745,0.5745721219,0.7999999659,0.0595307751,0.7400219994,0.8590858514,0.6815997557,0.9149733432,false,false
0.90000000,2754.20756450,4601.86453712,7356.07210162,0.5984981831,0.8999999519,0.0583978530,0.8411563748,0.9579545650,0.7838255521,1.0000000000,false,false
1.00000000,2779.87271207,4454.90414372,7234.77685579,0.6240028118,0.9999999925,0.0288454912,0.9423090176,1.0000000000,0.8860878017,1.0000000000,false,true
