polarization,N1,N2,sigma_N1_stat,sigma_N1_tensor,sigma_N1_total,sigma_N2_stat,sigma_N2_tensor,sigma_N2_total,R,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_T
0.00000000,15139.32741794,35547.04846635,123.04197421,0.00000000,123.04197421,188.53924914,0.00000000,188.53924914,0.4258954842,0.0041332682,0.0000000000,0.0041332682,0.0000000000
0.10000000,15293.31830339,34665.28610595,123.66615666,0.87972453,123.66928567,186.18615981,1.56807653,186.19276294,0.4411709817,0.0042826623,0.0000322844,0.0042827840,0.0000000000
0.20000000,15447.30918884,33783.52374555,124.28720445,1.75944907,124.29965748,183.80294814,3.13615307,183.82970163,0.4572438715,0.0044410697,0.0000671865,0.0044415779,0.0000000000
0.30000000,15601.30007429,32901.76138515,124.90516432,2.63917360,124.93304331,181.38842682,4.70422960,181.44941764,0.4741782633,0.0046093135,0.0001050271,0.0046105099,0.0000000000
0.40000000,15755.29095974,32019.99902475,125.52008190,3.51889814,125.56939756,178.94132844,6.27230614,179.05122409,0.4920453292,0.0047883172,0.0001461761,0.0047905478,0.0000000000
0.50000000,15909.28184518,31138.23666435,126.13200167,4.39862267,126.20867532,176.46029770,7.84038267,176.63439151,0.5109243024,0.0049791204,0.0001910622,0.0049827848,0.0000000000
0.60000000,16063.27273063,30256.47430395,126.74096706,5.27834720,126.85083240,173.94388263,9.40845921,174.19814410,0.5309036529,0.0051828976,0.0002401835,0.0051884598,0.0000000000
0.70000000,16217.26361608,29374.71194354,127.34702044,6.15807174,127.49582528,171.39052466,10.97653574,171.74165564,0.5520824731,0.0054009800,0.0002941212,0.0054089826,0.0000000000
0.80000000,16371.25450153,28492.94958314,127.95020321,7.03779627,128.14361115,168.79854734,12.54461228,169.26404485,0.5745721219,0.0056348823,0.0003535564,0.0056459632,0.0000000000
0.90000000,16525.24538698,27611.18722274,128.55055576,7.91752081,128.79414786,166.16614343,14.11268881,166.76437032,0.5984981831,0.0058863347,0.0004192900,0.0059012490,0.0000000000
1.00000000,16679.23627243,26729.42486234,129.14811757,8.79724534,129.44739394,163.49136021,15.68076535,164.24162464,0.6240028118,0.0061573218,0.0004922689,0.0061769686,0.0000000000
