true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,45417.98225382,106641.14539906,152059.12765288,0.4258954842,0.0000000051,0.0079973047,0.0000000000,0.0159946093,0.0000000000,0.0313022270,true,false
0.10000000,45879.95491016,103995.85831786,149875.81322802,0.4411709817,0.1000000164,0.0157851548,0.0841899671,0.1157603070,0.0689660893,0.1308428922,false,false
0.20000000,46341.92756651,101350.57123666,147692.49880317,0.4572438715,0.1999999322,0.0155468760,0.1844282080,0.2155219775,0.1694329422,0.2303756989,false,false
0.30000000,46803.90022286,98705.28415545,145509.18437831,0.4741782633,0.2999999151,0.0153045373,0.2846705201,0.3152796141,0.2699078096,0.3299006340,false,false
0.40000000,47265.87287921,96059.99707425,143325.86995345,0.4920453292,0.4000000264,0.0150581353,0.3849169137,0.4150332062,0.3703907119,0.4294176770,false,false
0.50000000,47727.84553555,93414.70999304,141142.55552860,0.5109243024,0.4999999905,0.0148076562,0.4851674034,0.5147827395,0.4708816776,0.5289267995,false,false
0.60000000,48189.81819190,90769.42291184,138959.24110374,0.5309036529,0.5999999922,0.0145530805,0.5854220080,0.6145281951,0.5713807436,0.6284279645,false,false
0.70000000,48651.79084825,88124.13583063,136775.92667888,0.5520824731,0.6999999769,0.0142943845,0.6856807513,0.7142695491,0.6718879565,0.7279211254,false,false
0.80000000,49113.76350460,85478.84874943,134592.61225402,0.5745721219,0.7999999616,0.0140315387,0.7859436624,0.8140067725,0.7724033734,0.8274062252,false,false
0.90000000,49575.73616094,82833.56166822,132409.29782917,0.5984981831,0.8999999147,0.0137645066,0.8862107764,0.9137398303,0.8729270630,0.9268831952,false,false
1.00000000,50037.70881729,80188.27458702,130225.98340431,0.6240028118,0.9999999916,0.0067589325,0.9864821350,1.0000000000,0.9734591071,1.0000000000,false,true
