true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,105027.39857640,27893.59700557,132920.99558197,3.7652870139,0.0000000019,0.0098133416,0.0000000000,0.0196266832,0.0000000000,0.0384331224,true,false
0.10000000,105984.74195919,27191.43443570,133176.17639489,3.8977253006,0.0999999810,0.0195029660,0.0804782137,0.1194840694,0.0617027690,0.1381523439,false,false
0.20000000,106942.08534198,26489.27186583,133431.35720781,4.0371847850,0.1999999601,0.0193547716,0.1806257375,0.2193351960,0.1619906381,0.2378592908,false,false
0.30000000,107899.42872477,25787.10929596,133686.53802073,4.1842390121,0.2999999411,0.0192001462,0.2807796855,0.3191798917,0.2622910918,0.3375536269,false,false
0.40000000,108856.77210756,25084.94672609,133941.71883365,4.3395257441,0.3999999370,0.0190389090,0.3809402412,0.4190179730,0.3626044895,0.4372349930,false,false
0.50000000,109814.11549035,24382.78415622,134196.89964657,4.5037562071,0.4999999903,0.0188708634,0.4811076008,0.5188492434,0.4629312162,0.5369030038,false,false
0.60000000,110771.45887314,23680.62158635,134452.08045949,4.6777259824,0.5999999456,0.0186957998,0.5812819754,0.6186734921,0.5632716853,0.6365572463,false,false
0.70000000,111728.80225593,22978.45901648,134707.26127241,4.8623278948,0.6999999434,0.0185134908,0.6814635915,0.7184904924,0.6636263408,0.7361972761,false,false
0.80000000,112686.14563872,22276.29644661,134962.44208533,5.0585673390,0.7999999505,0.0183236933,0.7816526933,0.8183000004,0.7639956612,0.8358226149,false,false
0.90000000,113643.48902151,21574.13387674,135217.62289825,5.2675805977,0.8999999221,0.0181261389,0.8818495440,0.9181017525,0.8643801626,0.9354327466,false,false
1.00000000,114600.83240430,20871.97130687,135472.80371117,5.4906568584,0.9999999688,0.0089727857,0.9820544286,1.0000000000,0.9647804034,1.0000000000,false,true
