polarization,N1,N2,sigma_N1_stat,sigma_N1_tensor,sigma_N1_total,sigma_N2_stat,sigma_N2_tensor,sigma_N2_total,R,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_T
0.00000000,105027.39857640,27893.59700557,324.07930908,0.00000000,324.07930908,167.01376292,0.00000000,167.01376292,3.7652870139,0.0253624564,0.0000000000,0.0253624564,0.0000000000
0.10000000,105984.74195919,27191.43443570,325.55297873,5.94777522,325.60730641,164.89825480,1.23306430,164.90286499,3.8977253006,0.0264963936,0.0002812246,0.0264978860,0.0000000000
0.20000000,106942.08534198,26489.27186583,327.02000756,11.89555045,327.23628995,162.75525142,2.46612860,162.77393420,4.0371847850,0.0277075576,0.0005856056,0.0277137454,0.0000000000
0.30000000,107899.42872477,25787.10929596,328.48048454,17.84332567,328.96475950,160.58365202,3.69919290,160.62625353,4.1842390121,0.0290034339,0.0009160090,0.0290178953,0.0000000000
0.40000000,108856.77210756,25084.94672609,329.93449669,23.79110090,330.79115555,158.38228034,4.93225720,158.45906060,4.3395257441,0.0303924622,0.0012757483,0.0304192257,0.0000000000
0.50000000,109814.11549035,24382.78415622,331.38212911,29.73887612,332.71386542,156.14987722,6.16532150,156.27154362,4.5037562071,0.0318841897,0.0016686677,0.0319278249,0.0000000000
0.60000000,110771.45887314,23680.62158635,332.82346503,35.68665134,334.73122943,153.88509215,7.39838580,154.06283685,4.6777259824,0.0334894530,0.0020992444,0.0335551828,0.0000000000
0.70000000,111728.80225593,22978.45901648,334.25858591,41.63442657,336.84154692,151.58647373,8.63145010,151.83201555,4.8623278948,0.0352205979,0.0025727130,0.0353144357,0.0000000000
0.80000000,112686.14563872,22276.29644661,335.68757147,47.58220179,339.04308217,149.25245876,9.86451440,149.57809028,5.0585673390,0.0370917431,0.0030952197,0.0372206635,0.0000000000
0.90000000,113643.48902151,21574.13387674,337.11049972,53.52997702,341.33407017,146.88135987,11.09757870,147.30000044,5.2675805977,0.0391191017,0.0036740127,0.0392912521,0.0000000000
1.00000000,114600.83240430,20871.97130687,338.52744705,59.47775224,343.71272222,144.47135116,12.33064300,144.99660708,5.4906568584,0.0413213729,0.0043176803,0.0415463382,0.0000000000
