key,value
window_1_begin_deg,58.3628
window_1_end_deg,79.8741
window_1_delta_phi_deg,16.0610
window_2_begin_deg,151.2866
window_2_end_deg,160.6230
window_2_delta_phi_deg,16.0610
duration_label,10min
duration_s,600.0
ratio_observable,deuteron
beam_particles,5991848711.4823
ratio_sector_multiplier,4.0
ratio_at_min_pol,3.76528701
ratio_at_max_pol,5.49065686
ratio_stat_sigma_at_max_pol,0.04132137
ratio_total_sigma_at_max_pol,0.04154634
stat_only_definition_1,N1 = 4 x Nd(single, #theta_{lab} = 20.9 deg, forward branch)
stat_only_definition_2,N2 = 4 x Nd(single, #theta_{lab} = 20.9 deg, backward branch)
stat_only_definition_3,R = N1 / N2; no coincidence gate is used
stat_only_definition_4,Ni = M x Ntarget x Nbeam x #int d#theta d#phi [d#sigma/d#Omega x (1 + #sqrt{2}/2 T20 pzz)]
stat_only_definition_5,#sigma_{R,stat}^{2} = N1/N2^{2} + N1^{2}/N2^{3} + 2N1/(Nbeam N2^{2})
stat_only_definition_6,#sigma = #sigma_{stat} only
stat_only_definition_7,I = 1.600e-12 A; t = 600.0 s; Nbeam = I/e x t = 5.992e+09
stat_plus_T_definition_1,N1 = 4 x Nd(single, #theta_{lab} = 20.9 deg, forward branch)
stat_plus_T_definition_2,N2 = 4 x Nd(single, #theta_{lab} = 20.9 deg, backward branch)
stat_plus_T_definition_3,R = N1 / N2; no coincidence gate is used
stat_plus_T_definition_4,Ni = M x Ntarget x Nbeam x #int d#theta d#phi [d#sigma/d#Omega x (1 + #sqrt{2}/2 T20 pzz)]
stat_plus_T_definition_5,#sigma_{R,stat}^{2} = N1/N2^{2} + N1^{2}/N2^{3} + 2N1/(Nbeam N2^{2})
stat_plus_T_definition_6,#sigma_{tot}^{2} = #sigma_{stat}^{2} + #sigma_{T}^{2}
stat_plus_T_definition_7,I = 1.600e-12 A; t = 600.0 s; Nbeam = I/e x t = 5.992e+09
inference_estimator,pair_binomial
inference_observable,deuteron
inference_point_count,11
inference_estimate_at_min_pol,0.00000000
inference_estimate_at_max_pol,0.99999997
inference_ci68_width_at_max_pol,0.01794557
inference_ci95_width_at_max_pol,0.03521960
