true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,1890493.17437514,502084.74610033,2392577.92047547,3.7652870139,0.0000000000,0.0023146700,0.0000000000,0.0046293400,0.0000000000,0.0090714353,true,false
0.10000000,1907725.35526537,489445.81984266,2397171.17510803,3.8977253006,0.0999999736,0.0045968934,0.0954020582,0.1045958464,0.0909862317,0.1090057190,false,false
0.20000000,1924957.53615558,476806.89358500,2401764.42974059,4.0371847850,0.1999999452,0.0045619634,0.1954369515,0.2045608781,0.1910545508,0.2089371118,false,false
0.30000000,1942189.71704581,464167.96732734,2406357.68437315,4.1842390121,0.2999999486,0.0045255178,0.2954733597,0.3045243945,0.2911258386,0.3088655345,false,false
0.40000000,1959421.89793603,451529.04106968,2410950.93900571,4.3395257441,0.3999999575,0.0044875137,0.3955113260,0.4044863526,0.3912001798,0.4087909025,false,false
0.50000000,1976654.07882625,438890.11481202,2415544.19363827,4.5037562071,0.4999999683,0.0044479052,0.4955508966,0.5044467059,0.4912776651,0.5087131248,false,false
0.60000000,1993886.25971647,426251.18855436,2420137.44827083,4.6777259824,0.5999999177,0.0044066423,0.5955921212,0.6044054048,0.5913583919,0.6086321042,false,false
0.70000000,2011118.44060670,413612.26229670,2424730.70290339,4.8623278948,0.6999999378,0.0043636718,0.6956350533,0.7043623958,0.6914424649,0.7085477359,false,false
0.80000000,2028350.62149692,400973.33603903,2429323.95753595,5.0585673390,0.8000000063,0.0043189358,0.7956797504,0.8043176215,0.7915299969,0.8084599072,false,false
0.90000000,2045582.80238714,388334.40978137,2433917.21216851,5.2675805977,0.8999999538,0.0042723712,0.8957262746,0.9042710196,0.8916211096,0.9083684964,false,false
1.00000000,2062814.98327736,375695.48352371,2438510.46680107,5.4906568584,0.9999999688,0.0021126535,0.9957746930,1.0000000000,0.9917159345,1.0000000000,false,true
