true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,10092.88494529,28080.44087715,38173.32582244,0.3594275813,0.0000000012,0.0165350339,0.0000000000,0.0330700678,0.0000000000,0.0646080773,true,false
0.10000000,10195.54553559,27383.89146174,37579.43699733,0.3723190895,0.0999999251,0.0326757075,0.0672132635,0.1325648640,0.0355300035,0.1636177063,false,false
0.20000000,10298.20612589,26687.34204632,36985.54817221,0.3858835439,0.1999999807,0.0321622630,0.1677266498,0.2320513751,0.1365360571,0.2626112573,false,false
0.30000000,10400.86671619,25990.79263091,36391.65934710,0.4001750491,0.2999999635,0.0316404490,0.2682484919,0.3315296034,0.2375588484,0.3615887346,false,false
0.40000000,10503.52730649,25294.24321549,35797.77052198,0.4152536693,0.3999999203,0.0311102570,0.3687787940,0.4309995444,0.3385983862,0.4605501295,false,false
0.50000000,10606.18789679,24597.69380008,35203.88169687,0.4311862723,0.4999999702,0.0305716806,0.4693175678,0.5304611867,0.4396546931,0.5594954193,false,false
0.60000000,10708.84848709,23901.14438466,34609.99287175,0.4480475209,0.5999999624,0.0300246997,0.5698648326,0.6299145108,0.5407278073,0.6584245660,false,false
0.70000000,10811.50907739,23204.59496925,34016.10404664,0.4659210424,0.6999999098,0.0294692866,0.6704206165,0.7293594887,0.6418177837,0.7573375146,false,false
0.80000000,10914.16966769,22508.04555383,33422.21522152,0.4849008165,0.7999999374,0.0289054012,0.7709849570,0.8287960828,0.7429246960,0.8562341913,false,false
0.90000000,11016.83025799,21811.49613842,32828.32639641,0.5050928276,0.8999999650,0.0283329984,0.8715579023,0.9282242451,0.8440486385,0.9551145019,false,false
1.00000000,11119.49084829,21114.94672300,32234.43757129,0.5266170450,1.0000000000,0.0139302439,0.9721395122,1.0000000000,0.9451897286,1.0000000000,false,true
