polarization,N1,N2,sigma_N1_stat,sigma_N1_tensor,sigma_N1_total,sigma_N2_stat,sigma_N2_tensor,sigma_N2_total,R,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_T
0.00000000,10092.88494529,28080.44087715,100.46335125,0.00000000,100.46335125,167.57219601,0.00000000,167.57219601,0.3594275813,0.0041713994,0.0000000000,0.0041713994,0.0000000000
0.10000000,10195.54553559,27383.89146174,100.97299409,0.58648302,100.97469732,165.48078880,1.23870426,165.48542489,0.3723190895,0.0043195412,0.0000272459,0.0043196271,0.0000000000
0.20000000,10298.20612589,26687.34204632,101.48007748,1.17296605,101.48685617,163.36260908,2.47740852,163.38139306,0.3858835439,0.0044765026,0.0000567010,0.0044768616,0.0000000000
0.30000000,10400.86671619,25990.79263091,101.98463961,1.75944907,101.99981557,161.21660160,3.71611278,161.25942492,0.4001750491,0.0046430826,0.0000886359,0.0046439285,0.0000000000
0.40000000,10503.52730649,25294.24321549,102.48671771,2.34593209,102.51356351,159.04163988,4.95481705,159.11880287,0.4152536693,0.0048201776,0.0001233630,0.0048217559,0.0000000000
0.50000000,10606.18789679,24597.69380008,102.98634811,2.93241511,103.02808819,156.83651934,6.19352131,156.95876371,0.4311862723,0.0050087961,0.0001612439,0.0050113908,0.0000000000
0.60000000,10708.84848709,23901.14438466,103.48356627,3.51889814,103.54337802,154.59994950,7.43222557,154.77849451,0.4480475209,0.0052100765,0.0002026990,0.0052140180,0.0000000000
0.70000000,10811.50907739,23204.59496925,103.97840678,4.10538116,104.05942164,152.33054510,8.67092983,152.57712802,0.4659210424,0.0054253087,0.0002482188,0.0054309840,0.0000000000
0.80000000,10914.16966769,22508.04555383,104.47090345,4.69186418,104.57620789,150.02681612,9.90963409,150.35373757,0.4849008165,0.0056559595,0.0002983782,0.0056638244,0.0000000000
0.90000000,11016.83025799,21811.49613842,104.96108926,5.27834720,105.09372582,147.68715631,11.14833835,148.10733131,0.5050928276,0.0059037032,0.0003538530,0.0059142982,0.0000000000
1.00000000,11119.49084829,21114.94672300,105.44899643,5.86483023,105.61196467,145.30983010,12.38704262,145.83684565,0.5266170450,0.0061704596,0.0004154423,0.0061844292,0.0000000000
