true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,181671.92901526,505447.93578872,687119.86480398,0.3594275813,0.0000000065,0.0039073170,0.0000000000,0.0078146341,0.0000000000,0.0153048249,true,false
0.10000000,183519.81964065,492910.04631125,676429.86595191,0.3723190895,0.0999999419,0.0077017378,0.0922920952,0.1076955784,0.0848811823,0.1150714666,false,false
0.20000000,185367.71026605,480372.15683379,665739.86709984,0.3858835439,0.1999999955,0.0075807187,0.1924131135,0.2075745544,0.1851183675,0.2148342595,false,false
0.30000000,187215.60089144,467834.26735633,655049.86824776,0.4001750491,0.2999999635,0.0074577251,0.2925361091,0.3074515627,0.2853594373,0.3145932047,false,false
0.40000000,189063.49151683,455296.37787886,644359.86939569,0.4152536693,0.3999999203,0.0073327579,0.3926610832,0.4073266022,0.3856043938,0.4143483001,false,false
0.50000000,190911.38214222,442758.48840140,633669.87054362,0.4311862723,0.5000000000,0.0072058141,0.4927880383,0.5071996702,0.4858532423,0.5140995404,false,false
0.60000000,192759.27276761,430220.59892394,622979.87169155,0.4480475209,0.5999999512,0.0070768895,0.5929169792,0.6070707620,0.5861059918,0.6138469167,false,false
0.70000000,194607.16339300,417682.70944648,612289.87283947,0.4659210424,0.6999999266,0.0069459776,0.6930479123,0.7069398712,0.6863626551,0.7135904160,false,false
0.80000000,196455.05401839,405144.81996901,601599.87398740,0.4849008165,0.7999999803,0.0068130685,0.7931808466,0.8068069889,0.7866232497,0.8133300209,false,false
0.90000000,198302.94464378,392606.93049155,590909.87513533,0.5050928276,0.8999999817,0.0066781507,0.8933157934,0.9066721036,0.8868877977,0.9130657092,false,false
1.00000000,200150.83526917,380069.04101409,580219.87628326,0.5266170450,1.0000000000,0.0032736166,0.9934527667,1.0000000000,0.9871563268,1.0000000000,false,true
