polarization,N1,N2,sigma_N1_stat,sigma_N1_tensor,sigma_N1_total,sigma_N2_stat,sigma_N2_tensor,sigma_N2_total,R,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_T
0.00000000,181671.92901526,505447.93578872,426.22990160,0.00000000,426.22990160,710.94861684,0.00000000,710.94861684,0.3594275813,0.0009832083,0.0000000000,0.0009832083,0.0000000000
0.10000000,183519.81964065,492910.04631125,428.39213303,10.55669441,428.52218547,702.07552750,22.29667671,702.42948977,0.3723190895,0.0010181256,0.0000272459,0.0010184901,0.0000000000
0.20000000,185367.71026605,480372.15683379,430.54350566,21.11338882,431.06088370,693.08885205,44.59335341,694.52193918,0.3858835439,0.0010551218,0.0000567010,0.0010566442,0.0000000000
0.30000000,187215.60089144,467834.26735633,432.68418147,31.67008323,433.84167050,683.98411338,66.89003012,687.24707601,0.4001750491,0.0010943851,0.0000886359,0.0010979686,0.0000000000
0.40000000,189063.49151683,455296.37787886,434.81431844,42.22677764,436.85992293,674.75653230,89.18670683,680.62518801,0.4152536693,0.0011361268,0.0001233630,0.0011428046,0.0000000000
0.50000000,190911.38214222,442758.48840140,436.93407070,52.78347204,440.11075545,665.40099820,111.48338354,674.67550215,0.4311862723,0.0011805846,0.0001612439,0.0011915450,0.0000000000
0.60000000,192759.27276761,430220.59892394,439.04358869,63.34016645,443.58905470,655.91203597,133.78006024,669.41594203,0.4480475209,0.0012280268,0.0002026990,0.0012446432,0.0000000000
0.70000000,194607.16339300,417682.70944648,441.14301920,73.89686086,447.28951412,646.28376852,156.07673695,664.86288606,0.4659210424,0.0012787575,0.0002482188,0.0013026256,0.0000000000
0.80000000,196455.05401839,405144.81996901,443.23250560,84.45355527,451.20666774,636.50987421,178.37341366,661.03093322,0.4849008165,0.0013331224,0.0002983782,0.0013661058,0.0000000000
0.90000000,198302.94464378,392606.93049155,445.31218785,95.01024968,455.33492309,626.58353832,200.67009037,657.93268323,0.5050928276,0.0013915162,0.0003538530,0.0014358026,0.0000000000
1.00000000,200150.83526917,380069.04101409,447.38220267,105.56694409,459.66859252,616.49739741,222.96676707,655.57853857,0.5266170450,0.0014543913,0.0004154423,0.0015125628,0.0000000000
