rotation_axis,rotation_deg,raw_rank,effective_rank,smallest_singular,smallest_nonzero_singular,condition_number,fisher_pseudo_determinant,null_intersection_dimension,principal_angles_deg
x,0,4,4,1.5261886342457876e-11,150727.45382561412,1.7454368927210104,2.5313952840529972e+20,1,"0"
x,2,5,5,4591.4708616722728,4591.4708616722728,57.28996163075945,1.6234762803170064e+22,0,"1.9999999999997651"
x,4,5,5,9181.5431168415089,9181.5431168415089,28.636253282915604,6.5341495930271895e+22,0,"4.000000000000405"
x,6,5,5,13768.818585033736,13768.818585033736,19.081136687728225,1.4850692532572637e+23,0,"5.9999999999997833"
x,8,5,5,18351.899937703434,18351.899937703434,14.300666256711931,2.6764110224936199e+23,0,"7.999999999999889"
x,10,5,5,22929.391123873254,22929.391123873254,11.430052302761347,4.2527866889861138e+23,0,"10.000000000000048"
x,12,5,5,27499.897795384757,27499.897795384757,9.5143644542225854,6.2444650620735863e+23,0,"11.999999999999865"
x,14,5,5,32062.027731630282,32062.027731630282,8.1443464279746021,8.6850333923635328e+23,0,"14"
x,16,5,5,36614.39126363692,36614.39126363692,7.1153697223842096,1.1609580538031819e+24,0,"16.000000000000014"
x,18,5,5,41155.601697373051,41155.601697373051,6.3137515146750456,1.5052743699694342e+24,0,"17.999999999999968"
x,20,5,5,45684.27573614892,45684.27573614892,5.6712818196177146,1.9046700863055701e+24,0,"19.999999999999993"
x,22,5,5,50199.033901982046,50199.033901982046,5.1445540159703107,2.36191933000419e+24,0,"21.999999999999996"
x,24,5,5,54698.50095579966,54698.50095579966,4.7046301094784582,2.8791661133393832e+24,0,"24.000000000000021"
x,26,5,5,59181.306316349917,59181.306316349917,4.3314758742841564,3.4577570133673511e+24,0,"25.999999999999993"
x,28,5,5,63646.084477693948,63646.084477693948,4.0107809335358473,4.0980999807770009e+24,0,"27.999999999999968"
x,30,5,5,68091.475425152646,68091.475425152646,3.7320508075688772,4.7995551810674702e+24,0,"29.999999999999979"
x,32,5,5,72516.125049579903,72516.125049579903,3.4874144438409092,5.560362424820837e+24,0,"32"
