rotation_axis,rotation_deg,raw_rank,effective_rank,smallest_singular,smallest_nonzero_singular,condition_number,fisher_pseudo_determinant,null_intersection_dimension,principal_angles_deg
z,0,4,4,1.5261886342457876e-11,150727.45382561412,1.7454368927210104,2.5313952840529972e+20,1,"0"
z,2,5,5,5260.312277763388,5260.312277763388,50.013239663594604,3.3656143348977749e+22,0,"3.9999999999999503"
z,4,5,5,10514.215675305317,10514.215675305317,25.021862474348566,1.3396949484888868e+23,0,"7.9999999999999805"
z,6,5,5,15755.30912063765,15755.30912063765,16.698197200619688,2.9898756921759844e+23,0,"12.00000000000008"
z,8,5,5,20977.207148725804,20977.207148725804,12.541481656156019,5.2549847734272261e+23,0,"15.999999999999973"
z,10,5,5,26173.547681194301,26173.547681194301,10.051570457991687,8.0909344204996259e+23,0,"19.999999999999975"
z,12,5,5,31337.999777539182,31337.999777539182,8.3950877695037232,1.14425260993582e+24,0,"24.000000000000004"
z,14,5,5,36464.271348403985,36464.271348403985,7.214877712471953,1.5244524890352566e+24,0,"28.000000000000011"
z,16,5,5,41546.1168215211,41546.1168215211,6.3323669883114109,1.9422929211725962e+24,0,"32"
z,18,5,5,46577.344750979937,46577.344750979937,5.6483524352811978,2.3896411176226909e+24,0,"36.000000000000014"
z,20,5,5,51551.82536054965,51551.82536054965,5.1033160671446769,2.8577899545926809e+24,0,"40.000000000000007"
z,22,5,5,56463.498011867479,56463.498011867479,4.6593864694290543,3.3376274474823929e+24,0,"44.000000000000014"
z,24,5,5,61306.378588392996,61306.378588392996,4.2913195121092818,3.8198141052997379e+24,0,"48"
z,26,5,5,66074.566786132185,66074.566786132185,3.9816418245264398,4.2949647132295179e+24,0,"51.999999999999986"
z,28,5,5,70762.253302249272,70762.253302249272,3.7178756522832068,4.7538310051641824e+24,0,"56.000000000000021"
z,30,5,5,75363.726912807062,75363.726912807062,3.4908737854420218,5.187481670683894e+24,0,"60.000000000000007"
z,32,5,5,79873.381431013811,79873.381431013811,3.293778902804493,5.5874761928546451e+24,0,"64"
z,34,5,5,84285.722537498121,84285.722537498121,3.1213502208050086,5.9460291332893879e+24,0,"68.000000000000028"
z,36,5,5,88595.374474290715,88595.374474290715,2.9695146074412007,6.2561616668504794e+24,0,"72.000000000000014"
z,38,5,5,92797.086594357635,92797.086594357635,2.835059464777701,6.5118374165426886e+24,0,"76"
z,40,5,5,96885.73975870476,96885.73975870476,2.7154177622872773,6.7080799447251634e+24,0,"80"
z,42,5,5,100856.35257326001,100856.35257326001,2.6085145054400978,6.8410696138093037e+24,0,"84"
z,44,5,5,104704.0874579349,104704.0874579349,2.5126550934205376,6.9082179311599638e+24,0,"87.999999999999986"
z,46,5,5,104704.08745793493,104704.08745793493,2.5126550934205376,6.9082179311599616e+24,0,"88.000000000000014"
z,48,5,5,100856.35257326,100856.35257326,2.6085145054400978,6.8410696138093144e+24,0,"84"
z,50,5,5,96885.739758704774,96885.739758704774,2.7154177622872764,6.7080799447251376e+24,0,"80"
z,52,5,5,92797.086594357679,92797.086594357679,2.8350594647777001,6.511837416542709e+24,0,"76"
