row,c0,c1,c2,c3,c4
0,-28019.134962125521,0,13102.474771048019,0,8303.4940031803962
1,28019.134962125521,3.4313543946244687e-12,8.0229518946364556e-13,-13102.474771048019,8303.4940031803962
2,-28019.134962125521,-6.8627087892489373e-12,-13102.474771048019,-1.6045903789272911e-12,8303.4940031803962
3,28019.134962125521,1.0294063183873418e-11,-2.4068855683909375e-12,13102.474771048019,8303.4940031803962
4,-45329.612209551022,0,130888.45818107898,0,-69879.332926159434
5,45329.612209551022,5.5512764499017389e-12,8.0146065678395279e-12,-130888.45818107898,-69879.332926159434
6,-45329.612209551022,-1.1102552899803478e-11,-130888.45818107898,-1.6029213135679056e-11,-69879.332926159434
7,45329.612209551022,1.6653829349705218e-11,-2.4043819703518594e-11,130888.45818107898,-69879.332926159434
8,-19812.520334700028,19812.520334700028,12105.108266216772,-5014.1000178616487,8303.4940031803962
9,19812.520334700032,-19812.520334700024,-5014.1000178616478,-12105.108266216772,8303.4940031803962
10,-19812.520334700032,19812.520334700024,-12105.108266216772,5014.1000178616468,8303.4940031803962
11,19812.520334700035,-19812.520334700021,5014.1000178616468,12105.108266216774,8303.4940031803962
12,-32052.876181930038,32052.876181930038,120925.16755545835,-50088.844433709812,-69879.332926159434
13,32052.876181930042,-32052.876181930034,-50088.844433709804,-120925.16755545835,-69879.332926159434
14,-32052.876181930045,32052.876181930031,-120925.16755545835,50088.844433709797,-69879.332926159434
15,32052.876181930049,-32052.876181930027,50088.84443370979,120925.16755545836,-69879.332926159434
