rotation_axis,rotation_deg,raw_rank,effective_rank,smallest_singular,smallest_nonzero_singular,condition_number,fisher_pseudo_determinant,null_intersection_dimension,principal_angles_deg
y,0,4,4,1.5261886342457876e-11,150727.45382561412,1.7454368927210104,2.5313952840529972e+20,1,"0"
y,2,5,5,4591.4708616722619,4591.4708616722619,57.28996163075962,1.6234762803170085e+22,0,"1.9999999999988538"
y,4,5,5,9181.5431168415398,9181.5431168415398,28.636253282915501,6.5341495930268296e+22,0,"4.0000000000001323"
y,6,5,5,13768.818585033747,13768.818585033747,19.081136687728215,1.4850692532572687e+23,0,"5.9999999999999041"
y,8,5,5,18351.89993770342,18351.89993770342,14.300666256711946,2.6764110224935585e+23,0,"7.999999999999889"
y,10,5,5,22929.391123873236,22929.391123873236,11.430052302761354,4.2527866889859923e+23,0,"10.000000000000124"
y,12,5,5,27499.897795384735,27499.897795384735,9.5143644542225907,6.244465062073487e+23,0,"11.999999999999865"
y,14,5,5,32062.027731630282,32062.027731630282,8.1443464279745914,8.6850333923633945e+23,0,"14.000000000000027"
y,16,5,5,36614.391263636913,36614.391263636913,7.1153697223842078,1.1609580538031741e+24,0,"15.999999999999993"
y,18,5,5,41155.601697373058,41155.601697373058,6.3137515146750456,1.5052743699694307e+24,0,"18.000000000000071"
y,20,5,5,45684.275736148949,45684.275736148949,5.6712818196177093,1.9046700863055597e+24,0,"19.999999999999975"
y,22,5,5,50199.033901982082,50199.033901982082,5.1445540159703098,2.3619193300041733e+24,0,"21.999999999999996"
y,24,5,5,54698.500955799696,54698.500955799696,4.7046301094784537,2.8791661133393768e+24,0,"23.999999999999989"
y,26,5,5,59181.306316349917,59181.306316349917,4.3314758742841546,3.4577570133673742e+24,0,"25.999999999999964"
y,28,5,5,63646.084477693963,63646.084477693963,4.0107809335358446,4.0980999807769859e+24,0,"28.000000000000011"
y,30,5,5,68091.475425152617,68091.475425152617,3.7320508075688794,4.7995551810674557e+24,0,"30.000000000000028"
y,32,5,5,72516.125049579961,72516.125049579961,3.4874144438409069,5.5603624248208295e+24,0,"32.000000000000014"
y,34,5,5,76918.685559837599,76918.685559837599,3.2708526184841404,6.3776082121425279e+24,0,"33.999999999999986"
y,36,5,5,81297.815893345731,81297.815893345731,3.0776835371752531,7.2472337655398347e+24,0,"35.999999999999986"
y,38,5,5,85652.182124583036,85652.182124583036,2.9042108776758235,8.1640837266680576e+24,0,"37.999999999999979"
y,40,5,5,89980.457871413964,89980.457871413964,2.7474774194546225,9.1219935183887596e+24,0,"39.999999999999972"
y,42,5,5,94281.324699116987,94281.324699116987,2.6050890646938014,1.0113911795990892e+25,0,"42.000000000000014"
y,44,5,5,98553.472521992895,98553.472521992895,2.4750868534162969,1.1132052997319627e+25,0,"44.000000000000007"
y,46,5,5,102795.6000024298,102795.6000024298,2.3558523658237527,1.2168073810690155e+25,0,"45.999999999999986"
y,48,5,5,107006.41494730247,107006.41494730247,2.2460367739042173,1.32132664616703e+25,0,"47.999999999999979"
y,50,5,5,111184.63470158787,111184.63470158787,2.1445069205095586,1.4258761112878315e+25,0,"50.000000000000014"
y,52,5,5,115328.98653907343,115328.98653907343,2.0713658288948169,1.5295729398989377e+25,0,"52.000000000000014"
y,54,5,5,119438.20805004219,119438.20805004219,2.0184914740228863,1.6315581191626774e+25,0,"54"
y,56,5,5,123511.04752581498,123511.04752581498,1.9692434316688994,1.7310147100164689e+25,0,"55.999999999999993"
y,58,5,5,127546.264340033,127546.264340033,1.9231696765796038,1.8271839944363175e+25,0,"58.000000000000021"
y,60,5,5,131542.62932656473,131542.62932656473,1.8798822634564745,1.919378944907337e+25,0,"59.999999999999986"
y,62,5,5,135498.92515392147,135498.92515392147,1.8390470099598595,2.006994566358792e+25,0,"62"
y,64,5,5,139413.9466960688,139413.9466960688,1.8003750793142124,2.0895148041966402e+25,0,"64"
y,66,5,5,143286.50139951918,143286.50139951918,1.7636160710761415,2.1665158671547936e+25,0,"66"
y,68,5,5,147115.40964659594,147115.40964659594,1.7285523183577658,2.237665973572238e+25,0,"67.999999999999972"
y,70,5,5,150899.50511475519,150899.50511475519,1.6949941568351616,2.3027216872930314e+25,0,"70"
y,72,5,5,154637.6351318603,154637.6351318603,1.6627759815027265,2.3615211577183319e+25,0,"72"
y,74,5,5,158328.66102729581,158328.66102729581,1.6317529457567916,2.4139747110902105e+25,0,"74"
y,76,5,5,161971.45847881812,161971.45847881812,1.6017981871223679,2.4600533510584044e+25,0,"75.999999999999972"
y,78,5,5,163971.27800697094,163971.27800697094,1.5880865636944919,2.4997758111514236e+25,0,"78"
y,80,5,5,164024.73618462135,164024.73618462135,1.5925321446065159,2.5331948563133948e+25,0,"80"
y,82,5,5,164068.00147081158,164068.00147081158,1.5961967957962411,2.5603835528902167e+25,0,"82"
