row,c0,c1,c2
0,24633.949654537046,0,0
1,-34803.611349563049,5.8232015066237341e-12,-22235.637026240907
2,24633.949654537046,-1.1646403013247468e-11,-2.7230801711188308e-12
3,-34803.611349563049,1.7469604519871224e-11,22235.637026240907
4,90871.491581684648,0,0
5,-5287.1369641054916,9.4208285327200887e-12,-222125.07926134273
6,90871.491581684648,-1.8841657065440177e-11,-2.7202476732775547e-11
7,-5287.1369641054916,2.8262485598160268e-11,222125.07926134273
8,15929.52037408113,33622.961954550621,-8509.2098980261471
9,-26099.182069107141,-33622.961954550614,-20543.049940894107
10,15929.520374081134,33622.961954550614,8509.2098980261453
11,-26099.182069107144,-33622.961954550607,20543.049940894107
12,76789.386465952834,54395.534651461225,-85003.587746098245
13,8794.9681516263154,-54395.534651461217,-205216.81438700182
14,76789.386465952848,54395.53465146121,85003.587746098216
15,8794.9681516263081,-54395.534651461203,205216.81438700185
