row,c0,c1,c2
0,24633.949654537046,0,0
1,-34803.611349563049,5.8232015066237341e-12,-22235.637026240907
2,24633.949654537046,-1.1646403013247468e-11,-2.7230801711188308e-12
3,-34803.611349563049,1.7469604519871224e-11,22235.637026240907
4,90871.491581684648,0,0
5,-5287.1369641054916,9.4208285327200887e-12,-222125.07926134273
6,90871.491581684648,-1.8841657065440177e-11,-2.7202476732775547e-11
7,-5287.1369641054916,2.8262485598160268e-11,222125.07926134273
8,24633.949654537046,0,0
9,-34803.611349563049,7605.0357626524674,-20894.664032032499
10,24633.949654537046,-1.0012690699834066e-11,-6.5421627704281934e-12
11,-34803.611349563049,-7605.0357626524456,20894.66403203251
12,90871.491581684648,0,0
13,-5287.1369641054916,75971.251445189977,-208729.29787336878
14,90871.491581684648,-8.4015711168157486e-12,-3.20061929029045e-11
15,-5287.1369641054916,-75971.251445189933,208729.29787336878
