energy_mev,eqr15_nonlinearity_pct,eqr20_nonlinearity_pct,hamamatsu_nonlinearity_pct,rayquant_nonlinearity_pct
0.050000,0.003357,0.006138,0.005425,0.031577
0.549881,0.036915,0.067473,0.059642,0.346545
1.049762,0.070458,0.128759,0.113820,0.660189
1.549643,0.103985,0.189994,0.167959,0.972518
2.049524,0.137498,0.251179,0.222058,1.283537
2.549405,0.170996,0.312314,0.276119,1.593251
3.049286,0.204478,0.373399,0.330140,1.901668
3.549167,0.237946,0.434435,0.384122,2.208794
4.049048,0.271399,0.495420,0.438066,2.514633
4.548929,0.304836,0.556356,0.491970,2.819194
5.048810,0.338259,0.617241,0.545836,3.122481
5.548690,0.371667,0.678077,0.599662,3.424500
6.048571,0.405060,0.738864,0.653450,3.725258
6.548452,0.438438,0.799600,0.707199,4.024761
7.048333,0.471801,0.860287,0.760909,4.323014
7.548214,0.505149,0.920925,0.814580,4.620023
8.048095,0.538483,0.981513,0.868212,4.915794
8.547976,0.571801,1.042051,0.921806,5.210334
9.047857,0.605104,1.102540,0.975361,5.503647
9.547738,0.638393,1.162980,1.028878,5.795739
10.047619,0.671667,1.223371,1.082355,6.086617
10.547500,0.704925,1.283712,1.135795,6.376286
11.047381,0.738169,1.344003,1.189195,6.664751
11.547262,0.771398,1.404246,1.242557,6.952019
12.047143,0.804613,1.464439,1.295881,7.238094
12.547024,0.837812,1.524584,1.349166,7.522983
13.046905,0.870997,1.584679,1.402413,7.806691
13.546786,0.904166,1.644725,1.455621,8.089223
14.046667,0.937321,1.704723,1.508791,8.370586
14.546548,0.970461,1.764671,1.561923,8.650784
15.046429,1.003587,1.824571,1.615016,8.929823
15.546310,1.036697,1.884421,1.668071,9.207709
16.046190,1.069793,1.944223,1.721088,9.484446
16.546071,1.102874,2.003976,1.774066,9.760041
17.045952,1.135940,2.063681,1.827007,10.034498
17.545833,1.168991,2.123336,1.879909,10.307823
18.045714,1.202028,2.182943,1.932773,10.580021
18.545595,1.235050,2.242502,1.985599,10.851097
19.045476,1.268057,2.302012,2.038387,11.121057
19.545357,1.301049,2.361474,2.091137,11.389907
20.045238,1.334027,2.420887,2.143849,11.657650
20.545119,1.366990,2.480251,2.196523,11.924292
21.045000,1.399938,2.539568,2.249159,12.189838
21.544881,1.432872,2.598836,2.301757,12.454295
22.044762,1.465790,2.658056,2.354317,12.717665
22.544643,1.498695,2.717227,2.406839,12.979955
23.044524,1.531584,2.776351,2.459324,13.241170
23.544405,1.564459,2.835426,2.511771,13.501314
24.044286,1.597319,2.894453,2.564180,13.760393
24.544167,1.630164,2.953432,2.616551,14.018412
25.044048,1.662995,3.012363,2.668884,14.275375
25.543929,1.695811,3.071247,2.721180,14.531288
26.043810,1.728613,3.130082,2.773439,14.786154
26.543690,1.761399,3.188869,2.825659,15.039980
27.043571,1.794172,3.247609,2.877842,15.292770
27.543452,1.826929,3.306301,2.929988,15.544529
28.043333,1.859672,3.364945,2.982096,15.795261
28.543214,1.892401,3.423541,3.034167,16.044972
29.043095,1.925114,3.482090,3.086200,16.293665
29.542976,1.957814,3.540591,3.138196,16.541347
30.042857,1.990498,3.599045,3.190154,16.788021
30.542738,2.023168,3.657451,3.242075,17.033692
31.042619,2.055824,3.715810,3.293959,17.278364
31.542500,2.088465,3.774121,3.345805,17.522044
32.042381,2.121091,3.832385,3.397614,17.764734
32.542262,2.153703,3.890602,3.449386,18.006440
33.042143,2.186300,3.948771,3.501120,18.247166
33.542024,2.218883,4.006893,3.552818,18.486917
34.041905,2.251451,4.064968,3.604478,18.725697
34.541786,2.284005,4.122995,3.656101,18.963510
35.041667,2.316544,4.180976,3.707688,19.200362
35.541548,2.349068,4.238909,3.759237,19.436256
36.041429,2.381579,4.296795,3.810749,19.671198
36.541310,2.414074,4.354635,3.862224,19.905190
37.041190,2.446555,4.412427,3.913662,20.138239
37.541071,2.479022,4.470173,3.965063,20.370348
38.040952,2.511474,4.527871,4.016427,20.601521
38.540833,2.543912,4.585523,4.067754,20.831762
39.040714,2.576336,4.643128,4.119045,21.061077
39.540595,2.608745,4.700686,4.170299,21.289470
40.040476,2.641139,4.758198,4.221516,21.516943
40.540357,2.673519,4.815663,4.272696,21.743503
41.040238,2.705885,4.873081,4.323839,21.969153
41.540119,2.738236,4.930453,4.374946,22.193897
42.040000,2.770573,4.987778,4.426016,22.417739
42.539881,2.802895,5.045057,4.477049,22.640683
43.039762,2.835203,5.102290,4.528046,22.862735
43.539643,2.867497,5.159476,4.579006,23.083897
44.039524,2.899776,5.216615,4.629930,23.304174
44.539405,2.932041,5.273709,4.680817,23.523569
45.039286,2.964291,5.330756,4.731668,23.742088
45.539167,2.996527,5.387756,4.782482,23.959734
46.039048,3.028749,5.444711,4.833260,24.176510
46.538929,3.060957,5.501620,4.884001,24.392422
47.038810,3.093150,5.558482,4.934706,24.607472
47.538690,3.125329,5.615298,4.985375,24.821665
48.038571,3.157493,5.672069,5.036007,25.035005
48.538452,3.189643,5.728793,5.086603,25.247495
49.038333,3.221779,5.785471,5.137163,25.459141
49.538214,3.253901,5.842104,5.187686,25.669944
50.038095,3.286008,5.898691,5.238174,25.879910
50.537976,3.318101,5.955232,5.288625,26.089042
51.037857,3.350180,6.011727,5.339040,26.297343
51.537738,3.382244,6.068176,5.389419,26.504819
52.037619,3.414294,6.124580,5.439762,26.711471
52.537500,3.446330,6.180938,5.490069,26.917306
53.037381,3.478352,6.237250,5.540340,27.122324
53.537262,3.510359,6.293517,5.590574,27.326532
54.037143,3.542352,6.349739,5.640773,27.529932
54.537024,3.574331,6.405915,5.690936,27.732528
55.036905,3.606296,6.462045,5.741063,27.934324
55.536786,3.638246,6.518130,5.791154,28.135323
56.036667,3.670183,6.574170,5.841210,28.335529
56.536548,3.702105,6.630165,5.891229,28.534945
57.036429,3.734013,6.686114,5.941213,28.733576
57.536310,3.765906,6.742018,5.991161,28.931425
58.036190,3.797786,6.797877,6.041073,29.128494
58.536071,3.829651,6.853691,6.090949,29.324789
59.035952,3.861502,6.909459,6.140790,29.520312
59.535833,3.893340,6.965183,6.190595,29.715066
60.035714,3.925162,7.020861,6.240365,29.909057
60.535595,3.956971,7.076495,6.290099,30.102285
61.035476,3.988766,7.132084,6.339797,30.294757
61.535357,4.020546,7.187627,6.389460,30.486473
62.035238,4.052313,7.243126,6.439088,30.677439
62.535119,4.084065,7.298580,6.488680,30.867658
63.035000,4.115803,7.353990,6.538236,31.057132
63.534881,4.147527,7.409354,6.587757,31.245866
64.034762,4.179237,7.464674,6.637243,31.433862
64.534643,4.210933,7.519949,6.686693,31.621124
65.034524,4.242615,7.575180,6.736108,31.807655
65.534405,4.274282,7.630366,6.785488,31.993459
66.034286,4.305936,7.685508,6.834832,32.178539
66.534167,4.337576,7.740605,6.884141,32.362898
67.034048,4.369201,7.795657,6.933415,32.546539
67.533929,4.400813,7.850666,6.982654,32.729466
68.033810,4.432410,7.905629,7.031858,32.911682
68.533690,4.463993,7.960549,7.081026,33.093190
69.033571,4.495563,8.015424,7.130159,33.273993
69.533452,4.527118,8.070255,7.179258,33.454094
70.033333,4.558660,8.125042,7.228321,33.633497
70.533214,4.590187,8.179785,7.277349,33.812205
71.033095,4.621700,8.234483,7.326342,33.990221
71.532976,4.653200,8.289138,7.375301,34.167547
72.032857,4.684685,8.343748,7.424224,34.344188
72.532738,4.716157,8.398315,7.473113,34.520146
73.032619,4.747614,8.452837,7.521966,34.695424
73.532500,4.779058,8.507316,7.570785,34.870025
74.032381,4.810487,8.561750,7.619569,35.043952
74.532262,4.841903,8.616141,7.668318,35.217209
75.032143,4.873304,8.670488,7.717032,35.389798
75.532024,4.904692,8.724791,7.765712,35.561723
76.031905,4.936066,8.779051,7.814357,35.732986
76.531786,4.967426,8.833267,7.862967,35.903590
77.031667,4.998772,8.887439,7.911543,36.073538
77.531548,5.030104,8.941568,7.960084,36.242833
78.031429,5.061422,8.995653,8.008590,36.411479
78.531310,5.092726,9.049694,8.057062,36.579477
79.031190,5.124017,9.103693,8.105499,36.746832
79.531071,5.155293,9.157647,8.153902,36.913545
80.030952,5.186556,9.211558,8.202270,37.079620
80.530833,5.217805,9.265426,8.250604,37.245059
81.030714,5.249040,9.319251,8.298903,37.409866
81.530595,5.280261,9.373032,8.347168,37.574042
82.030476,5.311468,9.426770,8.395399,37.737592
82.530357,5.342661,9.480465,8.443595,37.900518
83.030238,5.373841,9.534117,8.491757,38.062821
83.530119,5.405007,9.587725,8.539885,38.224507
84.030000,5.436159,9.641291,8.587978,38.385576
84.529881,5.467297,9.694813,8.636037,38.546032
85.029762,5.498421,9.748292,8.684062,38.705878
85.529643,5.529532,9.801729,8.732053,38.865116
86.029524,5.560629,9.855122,8.780010,39.023749
86.529405,5.591712,9.908473,8.827932,39.181779
87.029286,5.622781,9.961781,8.875821,39.339210
87.529167,5.653836,10.015046,8.923675,39.496044
88.029048,5.684878,10.068268,8.971495,39.652284
88.528929,5.715906,10.121447,9.019281,39.807932
89.028810,5.746920,10.174584,9.067034,39.962990
89.528690,5.777920,10.227678,9.114752,40.117463
90.028571,5.808907,10.280730,9.162437,40.271351
90.528452,5.839880,10.333739,9.210087,40.424658
91.028333,5.870839,10.386705,9.257704,40.577386
91.528214,5.901785,10.439629,9.305286,40.729538
92.028095,5.932717,10.492510,9.352835,40.881117
92.527976,5.963635,10.545349,9.400350,41.032125
93.027857,5.994540,10.598146,9.447832,41.182564
93.527738,6.025430,10.650900,9.495279,41.332437
94.027619,6.056307,10.703612,9.542693,41.481746
94.527500,6.087171,10.756281,9.590074,41.630494
95.027381,6.118021,10.808909,9.637420,41.778684
95.527262,6.148857,10.861494,9.684733,41.926318
96.027143,6.179679,10.914037,9.732012,42.073398
96.527024,6.210488,10.966538,9.779258,42.219927
97.026905,6.241283,11.018997,9.826470,42.365907
97.526786,6.272065,11.071414,9.873649,42.511341
98.026667,6.302833,11.123789,9.920794,42.656231
98.526548,6.333587,11.176122,9.967906,42.800579
99.026429,6.364328,11.228412,10.014984,42.944389
99.526310,6.395055,11.280662,10.062029,43.087661
100.026190,6.425769,11.332869,10.109041,43.230399
100.526071,6.456469,11.385034,10.156019,43.372605
101.025952,6.487155,11.437158,10.202963,43.514281
101.525833,6.517828,11.489240,10.249875,43.655430
102.025714,6.548487,11.541280,10.296753,43.796054
102.525595,6.579133,11.593278,10.343598,43.936155
103.025476,6.609765,11.645235,10.390410,44.075735
103.525357,6.640383,11.697151,10.437188,44.214798
104.025238,6.670988,11.749024,10.483933,44.353344
104.525119,6.701580,11.800857,10.530646,44.491377
105.025000,6.732158,11.852647,10.577325,44.628898
105.524881,6.762722,11.904397,10.623971,44.765910
106.024762,6.793273,11.956105,10.670583,44.902415
106.524643,6.823811,12.007771,10.717163,45.038415
107.024524,6.854335,12.059397,10.763710,45.173913
107.524405,6.884845,12.110981,10.810224,45.308911
108.024286,6.915342,12.162523,10.856705,45.443410
108.524167,6.945825,12.214025,10.903153,45.577413
109.024048,6.976295,12.265485,10.949568,45.710923
109.523929,7.006752,12.316905,10.995950,45.843941
110.023810,7.037195,12.368283,11.042299,45.976469
110.523690,7.067625,12.419620,11.088615,46.108510
111.023571,7.098041,12.470916,11.134899,46.240066
111.523452,7.128443,12.522171,11.181150,46.371139
112.023333,7.158833,12.573385,11.227368,46.501730
112.523214,7.189209,12.624558,11.273553,46.631843
113.023095,7.219571,12.675691,11.319706,46.761479
113.522976,7.249920,12.726782,11.365826,46.890640
114.022857,7.280256,12.777833,11.411913,47.019329
114.522738,7.310578,12.828843,11.457968,47.147546
115.022619,7.340887,12.879812,11.503990,47.275295
115.522500,7.371182,12.930741,11.549980,47.402578
116.022381,7.401464,12.981629,11.595937,47.529396
116.522262,7.431733,13.032476,11.641861,47.655751
117.022143,7.461988,13.083283,11.687753,47.781646
117.522024,7.492230,13.134049,11.733613,47.907083
118.021905,7.522459,13.184775,11.779440,48.032063
118.521786,7.552674,13.235460,11.825235,48.156588
119.021667,7.582876,13.286105,11.870997,48.280661
119.521548,7.613065,13.336709,11.916727,48.404283
120.021429,7.643240,13.387273,11.962425,48.527456
120.521310,7.673402,13.437797,12.008090,48.650183
121.021190,7.703551,13.488280,12.053723,48.772465
121.521071,7.733686,13.538723,12.099324,48.894304
122.020952,7.763808,13.589126,12.144892,49.015702
122.520833,7.793917,13.639489,12.190429,49.136660
123.020714,7.824012,13.689812,12.235933,49.257182
123.520595,7.854095,13.740094,12.281405,49.377268
124.020476,7.884164,13.790337,12.326845,49.496921
124.520357,7.914219,13.840539,12.372253,49.616143
125.020238,7.944262,13.890701,12.417628,49.734934
125.520119,7.974291,13.940824,12.462972,49.853298
126.020000,8.004307,13.990907,12.508284,49.971236
126.519881,8.034309,14.040949,12.553563,50.088750
127.019762,8.064299,14.090952,12.598811,50.205841
127.519643,8.094275,14.140915,12.644027,50.322512
128.019524,8.124238,14.190838,12.689210,50.438764
128.519405,8.154188,14.240722,12.734362,50.554599
129.019286,8.184124,14.290566,12.779482,50.670019
129.519167,8.214048,14.340370,12.824570,50.785026
130.019048,8.243958,14.390134,12.869627,50.899621
130.518929,8.273855,14.439859,12.914651,51.013806
131.018810,8.303739,14.489545,12.959644,51.127583
131.518690,8.333609,14.539190,13.004605,51.240954
132.018571,8.363467,14.588797,13.049535,51.353920
132.518452,8.393311,14.638364,13.094432,51.466483
133.018333,8.423142,14.687891,13.139298,51.578646
133.518214,8.452960,14.737379,13.184133,51.690409
134.018095,8.482765,14.786828,13.228935,51.801774
134.517976,8.512557,14.836237,13.273706,51.912743
135.017857,8.542335,14.885608,13.318446,52.023318
135.517738,8.572101,14.934938,13.363154,52.133500
136.017619,8.601853,14.984230,13.407831,52.243291
136.517500,8.631592,15.033483,13.452476,52.352693
137.017381,8.661319,15.082696,13.497089,52.461708
137.517262,8.691032,15.131870,13.541671,52.570336
138.017143,8.720732,15.181006,13.586222,52.678580
138.517024,8.750418,15.230102,13.630741,52.786441
139.016905,8.780092,15.279159,13.675229,52.893922
139.516786,8.809753,15.328177,13.719686,53.001023
140.016667,8.839401,15.377157,13.764111,53.107746
140.516548,8.869035,15.426097,13.808505,53.214092
141.016429,8.898657,15.474999,13.852868,53.320064
141.516310,8.928265,15.523862,13.897200,53.425664
142.016190,8.957861,15.572686,13.941500,53.530891
142.516071,8.987443,15.621471,13.985769,53.635749
143.015952,9.017013,15.670217,14.030007,53.740238
143.515833,9.046569,15.718925,14.074214,53.844361
144.015714,9.076113,15.767595,14.118389,53.948119
144.515595,9.105643,15.816225,14.162534,54.051512
145.015476,9.135161,15.864817,14.206648,54.154544
145.515357,9.164665,15.913371,14.250730,54.257215
146.015238,9.194156,15.961886,14.294782,54.359527
146.515119,9.223635,16.010362,14.338802,54.461482
147.015000,9.253100,16.058801,14.382792,54.563080
147.514881,9.282553,16.107200,14.426750,54.664324
148.014762,9.311993,16.155562,14.470678,54.765215
148.514643,9.341419,16.203885,14.514575,54.865755
149.014524,9.370833,16.252169,14.558441,54.965944
149.514405,9.400234,16.300416,14.602276,55.065785
150.014286,9.429621,16.348624,14.646080,55.165278
150.514167,9.458996,16.396794,14.689854,55.264426
151.014048,9.488358,16.444926,14.733596,55.363230
151.513929,9.517707,16.493020,14.777308,55.461691
152.013810,9.547043,16.541076,14.820990,55.559811
152.513690,9.576367,16.589093,14.864640,55.657591
153.013571,9.605677,16.637073,14.908260,55.755032
153.513452,9.634974,16.685015,14.951849,55.852136
154.013333,9.664259,16.732918,14.995408,55.948905
154.513214,9.693531,16.780784,15.038936,56.045340
155.013095,9.722790,16.828612,15.082434,56.141441
155.512976,9.752036,16.876402,15.125900,56.237212
156.012857,9.781269,16.924154,15.169337,56.332652
156.512738,9.810489,16.971869,15.212743,56.427763
157.012619,9.839696,17.019546,15.256118,56.522548
157.512500,9.868891,17.067185,15.299463,56.617006
158.012381,9.898073,17.114786,15.342778,56.711140
158.512262,9.927242,17.162350,15.386062,56.804951
159.012143,9.956398,17.209876,15.429316,56.898440
159.512024,9.985541,17.257364,15.472539,56.991608
160.011905,10.014672,17.304815,15.515732,57.084458
160.511786,10.043789,17.352229,15.558895,57.176989
161.011667,10.072894,17.399605,15.602028,57.269204
161.511548,10.101986,17.446943,15.645130,57.361104
162.011429,10.131066,17.494244,15.688202,57.452690
162.511310,10.160132,17.541508,15.731244,57.543964
163.011190,10.189186,17.588735,15.774255,57.634926
163.511071,10.218227,17.635924,15.817237,57.725578
164.010952,10.247255,17.683076,15.860188,57.815922
164.510833,10.276271,17.730190,15.903110,57.905958
165.010714,10.305274,17.777268,15.946001,57.995688
165.510595,10.334264,17.824308,15.988862,58.085113
166.010476,10.363241,17.871311,16.031693,58.174235
166.510357,10.392206,17.918277,16.074494,58.263054
167.010238,10.421158,17.965206,16.117265,58.351573
167.510119,10.450097,18.012098,16.160006,58.439791
168.010000,10.479023,18.058953,16.202717,58.527711
168.509881,10.507937,18.105771,16.245399,58.615334
169.009762,10.536838,18.152552,16.288050,58.702660
169.509643,10.565727,18.199296,16.330671,58.789692
170.009524,10.594603,18.246003,16.373263,58.876430
170.509405,10.623466,18.292674,16.415825,58.962875
171.009286,10.652316,18.339307,16.458357,59.049029
171.509167,10.681154,18.385904,16.500859,59.134894
172.009048,10.709979,18.432464,16.543332,59.220469
172.508929,10.738791,18.478987,16.585774,59.305757
173.008810,10.767591,18.525474,16.628187,59.390758
173.508690,10.796378,18.571924,16.670571,59.475474
174.008571,10.825153,18.618338,16.712925,59.559906
174.508452,10.853915,18.664714,16.755249,59.644055
175.008333,10.882664,18.711055,16.797543,59.727922
175.508214,10.911401,18.757359,16.839808,59.811509
176.008095,10.940125,18.803626,16.882043,59.894816
176.507976,10.968837,18.849857,16.924249,59.977845
177.007857,10.997535,18.896051,16.966425,60.060597
177.507738,11.026222,18.942210,17.008572,60.143072
178.007619,11.054896,18.988331,17.050689,60.225273
178.507500,11.083557,19.034417,17.092777,60.307200
179.007381,11.112205,19.080466,17.134836,60.388854
179.507262,11.140841,19.126479,17.176865,60.470237
180.007143,11.169465,19.172456,17.218865,60.551350
180.507024,11.198076,19.218396,17.260835,60.632193
181.006905,11.226674,19.264301,17.302776,60.712768
181.506786,11.255260,19.310169,17.344688,60.793075
182.006667,11.283834,19.356001,17.386570,60.873117
182.506548,11.312395,19.401798,17.428423,60.952894
