thickness_mm,key,reaction,particle,station,range_model,incident_min_mev,incident_max_mev,deposit_min_mev,deposit_max_mev,maximum_particle_range_mm,all_stopped
1.000,forward_dp_deuteron,d-p forward,deuteron,D,hubert_1990,252.085324,289.686775,0.587993,0.636902,284.379299,false
1.000,forward_dp_deuteron,d-p forward,deuteron,D,ziegler_low_energy,252.085324,289.686775,0.586063,0.633914,285.431544,false
1.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_ls,252.085324,289.686775,0.583158,0.631114,286.614882,false
1.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_no_ls,252.085324,289.686775,0.582785,0.630676,286.766538,false
1.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_4_mean_charge,252.085324,289.686775,0.580889,0.628615,287.776783,false
1.000,forward_dp_proton,d-p forward,proton,P-large,hubert_1990,90.312308,127.915535,0.636537,0.827745,114.375305,false
1.000,forward_dp_proton,d-p forward,proton,P-large,ziegler_low_energy,90.312308,127.915535,0.633633,0.822931,114.794297,false
1.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_ls,90.312308,127.915535,0.630756,0.820026,115.251289,false
1.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_no_ls,90.312308,127.915535,0.630358,0.819581,115.309204,false
1.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_4_mean_charge,90.312308,127.915535,0.628299,0.816610,115.722365,false
1.000,backward_dp_deuteron,d-p backward,deuteron,D,hubert_1990,45.714035,65.283685,1.856062,2.501105,19.737267,false
1.000,backward_dp_deuteron,d-p backward,deuteron,D,ziegler_low_energy,45.714035,65.283685,1.862891,2.518910,19.664582,false
1.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_ls,45.714035,65.283685,1.848685,2.486365,19.735027,false
1.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_no_ls,45.714035,65.283685,1.848173,2.486241,19.737620,false
1.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_4_mean_charge,45.714035,65.283685,1.839842,2.478328,19.791365,false
1.000,backward_dp_proton,d-p backward,proton,P-small,hubert_1990,314.715482,334.285703,0.346993,0.358654,589.093968,false
1.000,backward_dp_proton,d-p backward,proton,P-small,ziegler_low_energy,314.715482,334.285703,0.344721,0.356316,591.683397,false
1.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_ls,314.715482,334.285703,0.341425,0.352995,595.895396,false
1.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_no_ls,314.715482,334.285703,0.341122,0.352671,596.329539,false
1.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_4_mean_charge,314.715482,334.285703,0.340182,0.351692,598.164253,false
2.000,forward_dp_deuteron,d-p forward,deuteron,D,hubert_1990,252.085324,289.686775,1.175986,1.273804,284.379299,false
2.000,forward_dp_deuteron,d-p forward,deuteron,D,ziegler_low_energy,252.085324,289.686775,1.172127,1.267829,285.431544,false
2.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_ls,252.085324,289.686775,1.166317,1.262228,286.614882,false
2.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_no_ls,252.085324,289.686775,1.165569,1.261352,286.766538,false
2.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_4_mean_charge,252.085324,289.686775,1.161778,1.257229,287.776783,false
2.000,forward_dp_proton,d-p forward,proton,P-large,hubert_1990,90.312308,127.915535,1.273074,1.668844,114.375305,false
2.000,forward_dp_proton,d-p forward,proton,P-large,ziegler_low_energy,90.312308,127.915535,1.267267,1.659261,114.794297,false
2.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_ls,90.312308,127.915535,1.261511,1.653456,115.251289,false
2.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_no_ls,90.312308,127.915535,1.260716,1.652582,115.309204,false
2.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_4_mean_charge,90.312308,127.915535,1.256597,1.646637,115.722365,false
2.000,backward_dp_deuteron,d-p backward,deuteron,D,hubert_1990,45.714035,65.283685,3.735147,5.120889,19.737267,false
2.000,backward_dp_deuteron,d-p backward,deuteron,D,ziegler_low_energy,45.714035,65.283685,3.749814,5.158878,19.664582,false
2.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_ls,45.714035,65.283685,3.719549,5.092213,19.735027,false
2.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_no_ls,45.714035,65.283685,3.718484,5.091858,19.737620,false
2.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_4_mean_charge,45.714035,65.283685,3.700929,5.076282,19.791365,false
2.000,backward_dp_proton,d-p backward,proton,P-small,hubert_1990,314.715482,334.285703,0.693987,0.717309,589.093968,false
2.000,backward_dp_proton,d-p backward,proton,P-small,ziegler_low_energy,314.715482,334.285703,0.689441,0.712631,591.683397,false
2.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_ls,314.715482,334.285703,0.682850,0.705990,595.895396,false
2.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_no_ls,314.715482,334.285703,0.682245,0.705343,596.329539,false
2.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_4_mean_charge,314.715482,334.285703,0.680365,0.703383,598.164253,false
3.000,forward_dp_deuteron,d-p forward,deuteron,D,hubert_1990,252.085324,289.686775,1.763980,1.910706,284.379299,false
3.000,forward_dp_deuteron,d-p forward,deuteron,D,ziegler_low_energy,252.085324,289.686775,1.758190,1.901743,285.431544,false
3.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_ls,252.085324,289.686775,1.749475,1.893342,286.614882,false
3.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_no_ls,252.085324,289.686775,1.748354,1.892028,286.766538,false
3.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_4_mean_charge,252.085324,289.686775,1.742666,1.885844,287.776783,false
3.000,forward_dp_proton,d-p forward,proton,P-large,hubert_1990,90.312308,127.915535,1.909612,2.509944,114.375305,false
3.000,forward_dp_proton,d-p forward,proton,P-large,ziegler_low_energy,90.312308,127.915535,1.900900,2.495591,114.794297,false
3.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_ls,90.312308,127.915535,1.892267,2.486887,115.251289,false
3.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_no_ls,90.312308,127.915535,1.891074,2.485582,115.309204,false
3.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_4_mean_charge,90.312308,127.915535,1.884896,2.476664,115.722365,false
3.000,backward_dp_deuteron,d-p backward,deuteron,D,hubert_1990,45.714035,65.283685,5.690946,7.882739,19.737267,false
3.000,backward_dp_deuteron,d-p backward,deuteron,D,ziegler_low_energy,45.714035,65.283685,5.713968,7.946407,19.664582,false
3.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_ls,45.714035,65.283685,5.667348,7.840077,19.735027,false
3.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_no_ls,45.714035,65.283685,5.665809,7.839472,19.737620,false
3.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_4_mean_charge,45.714035,65.283685,5.639477,7.815323,19.791365,false
3.000,backward_dp_proton,d-p backward,proton,P-small,hubert_1990,314.715482,334.285703,1.040980,1.075963,589.093968,false
3.000,backward_dp_proton,d-p backward,proton,P-small,ziegler_low_energy,314.715482,334.285703,1.034162,1.068947,591.683397,false
3.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_ls,314.715482,334.285703,1.024275,1.058985,595.895396,false
3.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_no_ls,314.715482,334.285703,1.023367,1.058014,596.329539,false
3.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_4_mean_charge,314.715482,334.285703,1.020547,1.055075,598.164253,false
4.000,forward_dp_deuteron,d-p forward,deuteron,D,hubert_1990,252.085324,289.686775,2.351973,2.561186,284.379299,false
4.000,forward_dp_deuteron,d-p forward,deuteron,D,ziegler_low_energy,252.085324,289.686775,2.344254,2.548760,285.431544,false
4.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_ls,252.085324,289.686775,2.332634,2.537262,286.614882,false
4.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_no_ls,252.085324,289.686775,2.331138,2.535538,286.766538,false
4.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_4_mean_charge,252.085324,289.686775,2.323555,2.526979,287.776783,false
4.000,forward_dp_proton,d-p forward,proton,P-large,hubert_1990,90.312308,127.915535,2.546149,3.351043,114.375305,false
4.000,forward_dp_proton,d-p forward,proton,P-large,ziegler_low_energy,90.312308,127.915535,2.534533,3.331922,114.794297,false
4.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_ls,90.312308,127.915535,2.523023,3.320318,115.251289,false
4.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_no_ls,90.312308,127.915535,2.521432,3.318582,115.309204,false
4.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_4_mean_charge,90.312308,127.915535,2.513194,3.306691,115.722365,false
4.000,backward_dp_deuteron,d-p backward,deuteron,D,hubert_1990,45.714035,65.283685,7.667680,10.834668,19.737267,false
4.000,backward_dp_deuteron,d-p backward,deuteron,D,ziegler_low_energy,45.714035,65.283685,7.701142,10.925887,19.664582,false
4.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_ls,45.714035,65.283685,7.633835,10.783093,19.735027,false
4.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_no_ls,45.714035,65.283685,7.631685,10.782253,19.737620,false
4.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_4_mean_charge,45.714035,65.283685,7.594695,10.750454,19.791365,false
4.000,backward_dp_proton,d-p backward,proton,P-small,hubert_1990,314.715482,334.285703,1.387973,1.434617,589.093968,false
4.000,backward_dp_proton,d-p backward,proton,P-small,ziegler_low_energy,314.715482,334.285703,1.378882,1.425263,591.683397,false
4.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_ls,314.715482,334.285703,1.365700,1.411981,595.895396,false
4.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_no_ls,314.715482,334.285703,1.364489,1.410686,596.329539,false
4.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_4_mean_charge,314.715482,334.285703,1.360729,1.406767,598.164253,false
5.000,forward_dp_deuteron,d-p forward,deuteron,D,hubert_1990,252.085324,289.686775,2.939966,3.216795,284.379299,false
5.000,forward_dp_deuteron,d-p forward,deuteron,D,ziegler_low_energy,252.085324,289.686775,2.930317,3.201119,285.431544,false
5.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_ls,252.085324,289.686775,2.915792,3.186782,286.614882,false
5.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_no_ls,252.085324,289.686775,2.913923,3.184720,286.766538,false
5.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_4_mean_charge,252.085324,289.686775,2.904444,3.173935,287.776783,false
5.000,forward_dp_proton,d-p forward,proton,P-large,hubert_1990,90.312308,127.915535,3.190564,4.192143,114.375305,false
5.000,forward_dp_proton,d-p forward,proton,P-large,ziegler_low_energy,90.312308,127.915535,3.175513,4.168252,114.794297,false
5.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_ls,90.312308,127.915535,3.160738,4.153748,115.251289,false
5.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_no_ls,90.312308,127.915535,3.158719,4.151582,115.309204,false
5.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_4_mean_charge,90.312308,127.915535,3.148067,4.136718,115.722365,false
5.000,backward_dp_deuteron,d-p backward,deuteron,D,hubert_1990,45.714035,65.283685,9.736253,13.992512,19.737267,false
5.000,backward_dp_deuteron,d-p backward,deuteron,D,ziegler_low_energy,45.714035,65.283685,9.779928,14.121434,19.664582,false
5.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_ls,45.714035,65.283685,9.691448,13.934195,19.735027,false
5.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_no_ls,45.714035,65.283685,9.688663,13.933134,19.737620,false
5.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_4_mean_charge,45.714035,65.283685,9.643036,13.891848,19.791365,false
5.000,backward_dp_proton,d-p backward,proton,P-small,hubert_1990,314.715482,334.285703,1.734967,1.793272,589.093968,false
5.000,backward_dp_proton,d-p backward,proton,P-small,ziegler_low_energy,314.715482,334.285703,1.723603,1.781578,591.683397,false
5.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_ls,314.715482,334.285703,1.707126,1.764976,595.895396,false
5.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_no_ls,314.715482,334.285703,1.705611,1.763357,596.329539,false
5.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_4_mean_charge,314.715482,334.285703,1.700912,1.758458,598.164253,false
6.000,forward_dp_deuteron,d-p forward,deuteron,D,hubert_1990,252.085324,289.686775,3.527959,3.872404,284.379299,false
6.000,forward_dp_deuteron,d-p forward,deuteron,D,ziegler_low_energy,252.085324,289.686775,3.516380,3.853477,285.431544,false
6.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_ls,252.085324,289.686775,3.498950,3.836301,286.614882,false
6.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_no_ls,252.085324,289.686775,3.496707,3.833902,286.766538,false
6.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_4_mean_charge,252.085324,289.686775,3.485333,3.820891,287.776783,false
6.000,forward_dp_proton,d-p forward,proton,P-large,hubert_1990,90.312308,127.915535,3.845872,5.033242,114.375305,false
6.000,forward_dp_proton,d-p forward,proton,P-large,ziegler_low_energy,90.312308,127.915535,3.827574,5.004582,114.794297,false
6.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_ls,90.312308,127.915535,3.809920,4.987179,115.251289,false
6.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_no_ls,90.312308,127.915535,3.807564,4.984582,115.309204,false
6.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_4_mean_charge,90.312308,127.915535,3.794647,4.966745,115.722365,false
6.000,backward_dp_deuteron,d-p backward,deuteron,D,hubert_1990,45.714035,65.283685,11.837201,17.439285,19.737267,false
6.000,backward_dp_deuteron,d-p backward,deuteron,D,ziegler_low_energy,45.714035,65.283685,11.894928,17.606045,19.664582,false
6.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_ls,45.714035,65.283685,11.777593,17.386161,19.735027,false
6.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_no_ls,45.714035,65.283685,11.774008,17.385039,19.737620,false
6.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_4_mean_charge,45.714035,65.283685,11.716582,17.336392,19.791365,false
6.000,backward_dp_proton,d-p backward,proton,P-small,hubert_1990,314.715482,334.285703,2.081960,2.151926,589.093968,false
6.000,backward_dp_proton,d-p backward,proton,P-small,ziegler_low_energy,314.715482,334.285703,2.068324,2.137894,591.683397,false
6.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_ls,314.715482,334.285703,2.048551,2.117971,595.895396,false
6.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_no_ls,314.715482,334.285703,2.046734,2.116029,596.329539,false
6.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_4_mean_charge,314.715482,334.285703,2.041094,2.110150,598.164253,false
8.000,forward_dp_deuteron,d-p forward,deuteron,D,hubert_1990,252.085324,289.686775,4.703945,5.183621,284.379299,false
8.000,forward_dp_deuteron,d-p forward,deuteron,D,ziegler_low_energy,252.085324,289.686775,4.688507,5.158193,285.431544,false
8.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_ls,252.085324,289.686775,4.665267,5.135340,286.614882,false
8.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_2_no_ls,252.085324,289.686775,4.662276,5.132267,286.766538,false
8.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_4_mean_charge,252.085324,289.686775,4.647110,5.114804,287.776783,false
8.000,forward_dp_proton,d-p forward,proton,P-large,hubert_1990,90.312308,127.915535,5.156488,6.779411,114.375305,false
8.000,forward_dp_proton,d-p forward,proton,P-large,ziegler_low_energy,90.312308,127.915535,5.131695,6.739800,114.794297,false
