mode,parameter,value,delta_pT,delta_delta_deg
pzz,x_mm,-5.0,0.012804191610410465,-2.26078506600028
pzz,x_mm,-2.0,0.005018045275165139,-0.819722399937187
pzz,x_mm,-1.0,0.002403173504546108,-0.4072488032817638
pzz,x_mm,-0.5,0.0012714639495720048,-0.19932770642567998
pzz,x_mm,0.0,5.030562200136757e-08,7.123372249395743e-06
pzz,x_mm,0.5,-0.0017811024201642711,0.1931304496834514
pzz,x_mm,1.0,-0.0037350098658647246,0.39127556206260206
pzz,x_mm,2.0,-0.007277451288107417,0.7934075768389013
pzz,x_mm,5.0,-0.01817041840533029,2.344543623453468
pzz,y_mm,-5.0,-0.00622188495649223,0.04446795179759011
pzz,y_mm,-2.0,-0.0016172405283558788,0.008407661102125985
pzz,y_mm,-1.0,-0.000783668342445587,0.0008381212638566282
pzz,y_mm,-0.5,-0.00028309862756759063,-9.745112289127889e-05
pzz,y_mm,0.0,5.030562200136757e-08,7.123372249395743e-06
pzz,y_mm,0.5,-0.00028309862756759063,-9.745112289127889e-05
pzz,y_mm,1.0,-0.000783668342445587,0.0008381212638566282
pzz,y_mm,2.0,-0.0016172405283558788,0.008407661102125985
pzz,y_mm,5.0,-0.00622188495649223,0.04446795179759011
pzz,alpha_x_mrad,-5.0,6.830423878911862e-05,0.25242235111283495
pzz,alpha_x_mrad,-2.0,0.00012316640786580457,0.10667697437377832
pzz,alpha_x_mrad,-1.0,0.00018131652566300005,0.05817706195314454
pzz,alpha_x_mrad,-0.5,0.00014924906179325514,0.031373208342899694
pzz,alpha_x_mrad,-0.1,2.930334905204557e-05,0.006254483442212688
pzz,alpha_x_mrad,0.0,5.030562200136757e-08,7.123372249395743e-06
pzz,alpha_x_mrad,0.1,-2.9207859409408066e-05,-0.006283564443236855
pzz,alpha_x_mrad,0.5,-0.00014351650028388008,-0.03136228625111137
pzz,alpha_x_mrad,1.0,-0.00041978676764176104,-0.061327935514579046
pzz,alpha_x_mrad,2.0,-0.0011127471960638013,-0.11980466762391018
pzz,alpha_x_mrad,5.0,-0.0030752866588605876,-0.2956115795522045
pzz,alpha_y_mrad,-5.0,-0.0014458100797133389,-0.001580542216593095
pzz,alpha_y_mrad,-2.0,-0.00048290671422202003,-0.0010582821961300226
pzz,alpha_y_mrad,-1.0,-0.00011617357430038222,-0.0002414531819097121
pzz,alpha_y_mrad,-0.5,3.377902453860493e-06,5.1848836743140225e-05
pzz,alpha_y_mrad,-0.1,2.3657474224059172e-07,3.768893729017009e-05
pzz,alpha_y_mrad,0.0,5.030562200136757e-08,7.123372249395743e-06
pzz,alpha_y_mrad,0.1,2.3657474224059172e-07,3.768893729017009e-05
pzz,alpha_y_mrad,0.5,3.4167843148136257e-06,4.336349532341188e-05
pzz,alpha_y_mrad,1.0,-0.00011617357430038222,-0.0002414531819097121
pzz,alpha_y_mrad,2.0,-0.00048290671422202003,-0.0010582821961300226
pzz,alpha_y_mrad,5.0,-0.0014458687034050177,-0.0015829117720231878
pyy,x_mm,-5.0,0.0005455061666468364,-1.1129333669950694e-06
pyy,x_mm,-2.0,-0.00031040620755407033,-0.00010356397809062447
pyy,x_mm,-1.0,-3.472464920928342e-05,5.556777108026256e-05
pyy,x_mm,-0.5,1.1339801169185648e-06,-3.5710352491030183e-06
pyy,x_mm,0.0,-1.059640475364887e-08,5.143437700853586e-06
pyy,x_mm,0.5,1.1339801169185648e-06,-3.5710352491030183e-06
pyy,x_mm,1.0,-3.472464920928342e-05,5.556777108026256e-05
pyy,x_mm,2.0,-0.00031040620755407033,-0.00010356397809062447
pyy,x_mm,5.0,0.0005455061666468364,-1.1129333669950694e-06
pyy,y_mm,-5.0,-0.004285530410533589,5.555570525552297
pyy,y_mm,-2.0,-0.0023953753897807406,2.043758946344147
pyy,y_mm,-1.0,-0.0011507040986493688,1.0236492852749601
pyy,y_mm,-0.5,-0.0004134126576957886,0.5156547448329627
pyy,y_mm,0.0,-1.059640475364887e-08,5.143437700853586e-06
pyy,y_mm,0.5,-0.0004133918740950593,-0.5156615836090384
