theta_D_c theta_D_lab theta_p_lab theta_D_c_1 theta_D_c_2 theta_p_lab_1
0 0 0.711385 0 3.14159 0
0.0174533 0.005573 1.56131 0.0174533 3.13626 -1.56131
0.0349066 0.0111457 1.55182 0.0349066 3.13092 -1.55182
0.0523599 0.0167179 1.54234 0.0523599 3.12558 -1.54234
0.0698132 0.0222892 1.53285 0.0698132 3.12024 -1.53285
0.0872665 0.0278595 1.52337 0.0872665 3.1149 -1.52337
0.10472 0.0334283 1.51388 0.10472 3.10955 -1.51388
0.122173 0.0389955 1.5044 0.122173 3.1042 -1.5044
0.139626 0.0445608 1.49492 0.139626 3.09884 -1.49492
0.15708 0.0501238 1.48544 0.15708 3.09348 -1.48544
0.174533 0.0556843 1.47597 0.174533 3.08811 -1.47597
0.191986 0.061242 1.46649 0.191986 3.08274 -1.46649
0.20944 0.0667966 1.45702 0.20944 3.07735 -1.45702
0.226893 0.0723479 1.44756 0.226893 3.07196 -1.44756
0.244346 0.0778955 1.43809 0.244346 3.06655 -1.43809
0.261799 0.0834391 1.42863 0.261799 3.06114 -1.42863
0.279253 0.0889785 1.41918 0.279253 3.05572 -1.41918
0.296706 0.0945133 1.40973 0.296706 3.05028 -1.40973
0.314159 0.100043 1.40028 0.314159 3.04483 -1.40028
0.331613 0.105568 1.39084 0.331613 3.03936 -1.39084
0.349066 0.111087 1.3814 0.349066 3.03389 -1.3814
0.366519 0.116601 1.37196 0.366519 3.02839 -1.37196
0.383972 0.122108 1.36254 0.383972 3.02288 -1.36254
0.401426 0.127609 1.35312 0.401426 3.01736 -1.35312
0.418879 0.133103 1.3437 0.418879 3.01181 -1.3437
0.436332 0.13859 1.33429 0.436332 3.00625 -1.33429
0.453786 0.144069 1.32488 0.453786 3.00067 -1.32488
0.471239 0.14954 1.31549 0.471239 2.99507 -1.31549
0.488692 0.155004 1.3061 0.488692 2.98944 -1.3061
0.506145 0.160459 1.29671 0.506145 2.9838 -1.29671
0.523599 0.165904 1.28734 0.523599 2.97813 -1.28734
0.541052 0.171341 1.27797 0.541052 2.97243 -1.27797
0.558505 0.176768 1.2686 0.558505 2.96672 -1.2686
0.575959 0.182185 1.25925 0.575959 2.96097 -1.25925
0.593412 0.187591 1.2499 0.593412 2.9552 -1.2499
0.610865 0.192986 1.24057 0.610865 2.94941 -1.24057
0.628319 0.19837 1.23124 0.628319 2.94358 -1.23124
0.645772 0.203742 1.22192 0.645772 2.93772 -1.22192
0.663225 0.209103 1.2126 0.663225 2.93184 -1.2126
0.680678 0.21445 1.2033 0.680678 2.92592 -1.2033
0.698132 0.219784 1.19401 0.698132 2.91996 -1.19401
0.715585 0.225105 1.18472 0.715585 2.91398 -1.18472
0.733038 0.230412 1.17545 0.733038 2.90796 -1.17545
0.750492 0.235704 1.16618 0.750492 2.9019 -1.16618
0.767945 0.240981 1.15692 0.767945 2.89581 -1.15692
0.785398 0.246243 1.14768 0.785398 2.88967 -1.14768
0.802851 0.251488 1.13844 0.802851 2.8835 -1.13844
0.820305 0.256717 1.12922 0.820305 2.87729 -1.12922
0.837758 0.261928 1.12 0.837758 2.87103 -1.12
0.855211 0.267122 1.1108 0.855211 2.86473 -1.1108
0.872665 0.272298 1.1016 0.872665 2.85839 -1.1016
0.890118 0.277454 1.09242 0.890118 2.852 -1.09242
0.907571 0.282591 1.08325 0.907571 2.84556 -1.08325
0.925025 0.287708 1.07409 0.925025 2.83908 -1.07409
0.942478 0.292803 1.06494 0.942478 2.83254 -1.06494
0.959931 0.297878 1.0558 0.959931 2.82595 -1.0558
0.977384 0.30293 1.04667 0.977384 2.81931 -1.04667
0.994838 0.307959 1.03755 0.994838 2.81262 -1.03755
1.01229 0.312964 1.02845 1.01229 2.80586 -1.02845
1.02974 0.317945 1.01936 1.02974 2.79905 -1.01936
1.0472 0.3229 1.01028 1.0472 2.79219 -1.01028
1.06465 0.32783 1.00121 1.06465 2.78526 -1.00121
1.0821 0.332733 0.992152 1.0821 2.77826 -0.992152
1.09956 0.337608 0.983107 1.09956 2.77121 -0.983107
1.11701 0.342455 0.974075 1.11701 2.76408 -0.974075
1.13446 0.347272 0.965055 1.13446 2.75689 -0.965055
1.15192 0.352059 0.956047 1.15192 2.74963 -0.956047
1.16937 0.356815 0.947052 1.16937 2.74229 -0.947052
1.18682 0.361538 0.938069 1.18682 2.73488 -0.938069
1.20428 0.366228 0.929098 1.20428 2.7274 -0.929098
1.22173 0.370884 0.920141 1.22173 2.71983 -0.920141
1.23918 0.375505 0.911195 1.23918 2.71219 -0.911195
1.25664 0.380089 0.902263 1.25664 2.70446 -0.902263
1.27409 0.384636 0.893343 1.27409 2.69665 -0.893343
1.29154 0.389143 0.884436 1.29154 2.68875 -0.884436
1.309 0.393611 0.875541 1.309 2.68076 -0.875541
1.32645 0.398038 0.86666 1.32645 2.67268 -0.86666
1.3439 0.402422 0.857791 1.3439 2.6645 -0.857791
1.36136 0.406762 0.848935 1.36136 2.65623 -0.848935
1.37881 0.411058 0.840091 1.37881 2.64785 -0.840091
1.39626 0.415306 0.831261 1.39626 2.63938 -0.831261
1.41372 0.419507 0.822443 1.41372 2.63079 -0.822443
1.43117 0.423658 0.813639 1.43117 2.6221 -0.813639
1.44862 0.427758 0.804847 1.44862 2.61329 -0.804847
1.46608 0.431806 0.796068 1.46608 2.60437 -0.796068
1.48353 0.435799 0.787301 1.48353 2.59533 -0.787301
1.50098 0.439737 0.778548 1.50098 2.58616 -0.778548
1.51844 0.443616 0.769807 1.51844 2.57688 -0.769807
1.53589 0.447436 0.761079 1.53589 2.56746 -0.761079
1.55334 0.451195 0.752364 1.55334 2.5579 -0.752364
1.5708 0.45489 0.743661 1.5708 2.54822 -0.743661
1.58825 0.45852 0.734971 1.58825 2.53838 -0.734971
1.6057 0.462082 0.726294 1.6057 2.52841 -0.726294
1.62316 0.465575 0.717629 1.62316 2.51828 -0.717629
1.64061 0.468996 0.708977 1.64061 2.508 -0.708977
1.65806 0.472343 0.700337 1.65806 2.49757 -0.700337
1.67552 0.475613 0.69171 1.67552 2.48696 -0.69171
1.69297 0.478805 0.683095 1.69297 2.47619 -0.683095
1.71042 0.481915 0.674492 1.71042 2.46525 -0.674492
1.72788 0.484941 0.665902 1.72788 2.45413 -0.665902
1.74533 0.48788 0.657324 1.74533 2.44282 -0.657324
1.76278 0.49073 0.648757 1.76278 2.43132 -0.648757
1.78024 0.493487 0.640203 1.78024 2.41963 -0.640203
1.79769 0.496149 0.631661 1.79769 2.40774 -0.631661
1.81514 0.498713 0.623131 1.81514 2.39564 -0.623131
1.8326 0.501174 0.614613 1.8326 2.38332 -0.614613
1.85005 0.50353 0.606106 1.85005 2.37078 -0.606106
1.8675 0.505778 0.597611 1.8675 2.35802 -0.597611
1.88496 0.507914 0.589127 1.88496 2.34502 -0.589127
1.90241 0.509934 0.580655 1.90241 2.33177 -0.580655
1.91986 0.511834 0.572194 1.91986 2.31828 -0.572194
1.93732 0.51361 0.563745 1.93732 2.30453 -0.563745
1.95477 0.515259 0.555306 1.95477 2.29051 -0.555306
1.97222 0.516776 0.546879 1.97222 2.27621 -0.546879
1.98968 0.518157 0.538463 1.98968 2.26163 -0.538463
