theta_Dc theta_plab theta_pcm
0 -0 180 
1 89.4564 1 
2 88.9129 2 
3 88.3693 3 
4 87.8258 4 
5 87.2824 5 
6 86.7391 6 
7 86.1958 7 
8 85.6526 8 
9 85.1096 9 
10 84.5667 10 
11 84.0239 11 
12 83.4813 12 
13 82.9389 13 
14 82.3967 14 
15 81.8547 15 
16 81.3129 16 
17 80.7714 17 
18 80.2301 18 
19 79.689 19 
20 79.1483 20 
21 78.6078 21 
22 78.0676 22 
23 77.5278 23 
24 76.9883 24 
25 76.4491 25 
26 75.9103 26 
27 75.3719 27 
28 74.8338 28 
29 74.2962 29 
30 73.7589 30 
31 73.2221 31 
32 72.6857 32 
33 72.1498 33 
34 71.6143 34 
35 71.0793 35 
36 70.5447 36 
37 70.0107 37 
38 69.4771 38 
39 68.9441 39 
40 68.4115 40 
41 67.8796 41 
42 67.3481 42 
43 66.8172 43 
44 66.2869 44 
45 65.7571 45 
46 65.2279 46 
47 64.6993 47 
48 64.1713 48 
49 63.6439 49 
50 63.1172 50 
51 62.591 51 
52 62.0655 52 
53 61.5406 53 
54 61.0163 54 
55 60.4927 55 
56 59.9697 56 
57 59.4474 57 
58 58.9258 58 
59 58.4049 59 
60 57.8846 60 
61 57.365 61 
62 56.8461 62 
63 56.3279 63 
64 55.8104 64 
65 55.2936 65 
66 54.7775 66 
67 54.2621 67 
68 53.7474 68 
69 53.2334 69 
70 52.7202 70 
71 52.2077 71 
72 51.6959 72 
73 51.1848 73 
74 50.6744 74 
75 50.1648 75 
76 49.6559 76 
77 49.1478 77 
78 48.6404 78 
79 48.1337 79 
80 47.6277 80 
81 47.1225 81 
82 46.6181 82 
83 46.1143 83 
84 45.6113 84 
85 45.109 85 
86 44.6075 86 
87 44.1067 87 
88 43.6066 88 
89 43.1073 89 
90 42.6086 90 
91 42.1107 91 
92 41.6136 92 
93 41.1171 93 
94 40.6214 94 
95 40.1264 95 
96 39.6321 96 
97 39.1385 97 
98 38.6456 98 
99 38.1534 99 
100 37.6619 100 
101 37.1711 101 
102 36.681 102 
103 36.1915 103 
104 35.7028 104 
105 35.2147 105 
106 34.7273 106 
107 34.2406 107 
108 33.7545 108 
109 33.2691 109 
110 32.7843 110 
111 32.3002 111 
112 31.8167 112 
113 31.3339 113 
114 30.8516 114 
115 30.37 115 
116 29.889 116 
117 29.4086 117 
118 28.9289 118 
119 28.4497 119 
120 27.9711 120 
121 27.493 121 
122 27.0156 122 
123 26.5387 123 
124 26.0623 124 
125 25.5865 125 
126 25.1113 126 
127 24.6366 127 
128 24.1624 128 
129 23.6887 129 
130 23.2155 130 
131 22.7429 131 
132 22.2707 132 
133 21.799 133 
134 21.3278 134 
135 20.8571 135 
136 20.3868 136 
137 19.9169 137 
138 19.4475 138 
139 18.9785 139 
140 18.51 140 
141 18.0418 141 
142 17.5741 142 
143 17.1068 143 
144 16.6398 144 
145 16.1732 145 
146 15.707 146 
147 15.2411 147 
148 14.7756 148 
149 14.3104 149 
150 13.8455 150 
151 13.381 151 
152 12.9167 152 
153 12.4528 153 
154 11.9891 154 
155 11.5258 155 
156 11.0626 156 
157 10.5998 157 
158 10.1371 158 
159 9.67475 159 
160 9.21258 160 
161 8.75063 161 
162 8.28888 162 
163 7.82732 163 
164 7.36595 164 
165 6.90474 165 
166 6.4437 166 
167 5.98281 167 
168 5.52205 168 
169 5.06143 169 
170 4.60092 170 
171 4.14052 171 
172 3.68022 172 
173 3.22001 173 
174 2.75986 174 
175 2.29979 175 
176 1.83977 176 
177 1.37979 177 
178 0.91984 178 
179 0.459915 179 
