Generated by GetData Graph Digitizer 2.26.0.20 on April 17 2023, 13:42
from file 'C:\Users\tbt\Nutstore\1\physics\nuclear\D_nuclear_experiment\code\DSigamaOverDOmega.jpg'

Line #1
 theta(deg)    SigamaDA(mb/sr)
 2.64587973273942e+001    6.05348476514821e+000
 3.12694877505568e+001    4.42342697829071e+000
 3.56792873051225e+001    3.13247498700453e+000
 4.04899777282851e+001    2.39926384242385e+000
 4.48997772828508e+001    1.72591374783817e+000
 4.93095768374165e+001    1.40753370634175e+000
 5.37193763919822e+001    1.04477925784982e+000
 5.81291759465479e+001    7.87775753261022e-001
 6.25389755011136e+001    6.32455532033676e-001
 6.69487750556793e+001    5.23940585187354e-001
 7.09576837416481e+001    4.34044328656216e-001
 7.49665924276169e+001    3.43043458702170e-001
 7.89755011135857e+001    2.75407985440072e-001
 8.49888641425390e+001    2.21107724167425e-001
 9.10022271714922e+001    1.80319888457917e-001
 9.70155902004454e+001    1.64123077777590e-001
 1.03028953229399e+002    1.38112830985666e-001
 1.09042316258352e+002    1.29713359987853e-001
 1.15055679287305e+002    1.29713359987853e-001
 1.21069042316258e+002    1.25707170161841e-001
 1.27082405345212e+002    1.47056202111034e-001
 1.33496659242762e+002    1.56578693123492e-001
 1.39109131403118e+002    1.80319888457917e-001
 1.45523385300668e+002    2.04428888159166e-001
 1.51536748329621e+002    2.66902025303230e-001
 1.57951002227171e+002    3.07370961347293e-001
 1.62761692650334e+002    3.53975987151927e-001
 1.69977728285078e+002    4.47876984114629e-001
