Angle	Angle_p_lab	Angle_D_lab
38.9	68.9973	12.2565
43.7	66.4459	13.7166
48.4	63.9603	15.1265
54.1	60.9639	16.8055
58.9	58.4569	18.1884
63.7	55.9656	19.5381
68.6	53.4389	20.8761
73.4	50.9806	22.1416
78.4	48.4376	23.4045
83.3	45.9633	24.5786
88.3	43.4567	25.7012
98.4	38.4486	27.6816
103.5	35.9471	28.5014
108.6	33.4632	29.1716
113.8	30.948	29.673
119	28.4497	29.9572
124.2	25.9671	29.9836
128.4	23.9729	29.7842
133.7	21.4691	29.2024
139	18.9785	28.1896
143.3	16.9666	26.9999
148.6	14.4964	25.0135
154	11.9891	22.3268
158.3	9.9984	19.6685
161.6	8.47356	17.3071
164.8	6.99697	14.756
